LA SITE REF,NAME AND ADDRESS OF SITE,TOWNSHIP,PLAN OF SITE,GeoX,GeoY,COORDINATE REFERENCE SYSTEM,AREA (HA),LOCAL AUTHORITY,OPEN DATA WEBSITE,OWNERSHIP STATUS,LAND DELIVERABLE?,PLANNING STATUS,IF PERMISSIONED,,DESCRIPTION OF PROPOSED HOUSING DEVELOPMENT,MINIMUM NET DWELLINGS,MAXIMUM NET DWELLINGS,SCALE OF NON HOUSING DEVELOPMENT,DATE ENTERED ON REGISTER,DATE LAST UPDATED 
SH 0483,"Site Of 53-61 Tweedale Street, Rochdale",Rochdale,Available within individual site Pdf,389547,412564,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 0551,"Former Council Depot, Off Schofield Street, Littleborough",Pennines,Available within individual site Pdf,394320,416740,British Coordinate Systems,0.33,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 13 properties,13,13,Unknown,29/11/2017,
SH 0559,"Mechplant, Off Schofield Street, Littleborough",Pennines,Available within individual site Pdf,394309,416649,British Coordinate Systems,0.43,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 17 properties,17,17,Unknown,29/11/2017,
SH 0569,"Land Off Durn Street, Durn, Litleborough",Pennines,Available within individual site Pdf,394254,416598,British Coordinate Systems,0.58,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 23 properties,23,23,Unknown,29/11/2017,
SH 0591,"Darnhill School Site (Half), Sutherland Road, Heywood",Heywood,Available within individual site Pdf,383880,410038,British Coordinate Systems,0.48,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 19 properties,19,19,Unknown,29/11/2017,
SH 0594,"Ealees Area Of Opportunity, Littleborough",Pennines,Available within individual site Pdf,393906,416301,British Coordinate Systems,1.24,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,N/A,N/A,Site could deliver approximately 20 properties,20,20,Unknown,29/11/2017,
SH 0596,"Iversons Building, Drake Street, Rochdale",Rochdale,Available within individual site Pdf,389811,413280,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 12 properties,12,12,Unknown,29/11/2017,
SH 0597,"High Birch School, Bolton Road, Rochdale",Rochdale,Available within individual site Pdf,387829,411959,British Coordinate Systems,0.61,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,N/A,N/A,Site could deliver approximately 24 properties,24,24,Unknown,29/11/2017,
SH 0606,"Wardle Mill, Knowl Syke Street, Rochdale",Pennines,Available within individual site Pdf,391062,417070,British Coordinate Systems,0.95,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 29 properties,29,29,Unknown,29/11/2017,
SH 0610,"New Ladyhouse Mill, Off Stone Street, Milnrow",Pennines,Available within individual site Pdf,392898,412253,British Coordinate Systems,0.84,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 34 properties,34,34,Unknown,29/11/2017,
SH 0620,"Dale Mill / Arkwright Mill, Roch Street, Rochdale",Pennines,Available within individual site Pdf,390909,414370,British Coordinate Systems,1.82,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 74 properties,74,74,Unknown,29/11/2017,
SH 0641,"Land At Worcester Street, Stoneyfield, Rochdale",Rochdale,Available within individual site Pdf,389089,411881,British Coordinate Systems,0.38,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,N/A,N/A,Site could deliver approximately 15 properties,15,15,Unknown,29/11/2017,
SH 0660,"Site Of Process Plastics, Norwich Street, Rochdale",Rochdale,Available within individual site Pdf,390171,412218,British Coordinate Systems,1.67,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 67 properties,67,67,Unknown,29/11/2017,
SH 0666,"Land Off Glen Grove / Wade Street, Middleton Junction, Middleton",Middleton,Available within individual site Pdf,388449,405000,British Coordinate Systems,1.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 41 properties,41,41,Unknown,29/11/2017,
SH 0677,"Mutual Mills (1&2), Mutual Street, Heywood",Heywood,Available within individual site Pdf,386136,411080,British Coordinate Systems,1.18,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site coulde deliver approximately 240 properties,240,240,Unknown,29/11/2017,
SH 0827,"Dene Works, Edgar Street, Smallbridge",Pennines,Available within individual site Pdf,391051,414957,British Coordinate Systems,0.23,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 21 properties,21,21,Unknown,29/11/2017,
SH 0893,"Former Oakenrod School And Land At Bridgefield Street, Rochdale",Rochdale,Available within individual site Pdf,388754,413079,British Coordinate Systems,1.58,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,N/A,N/A,Site could deliver approximately 65 properties,65,65,Unknown,29/11/2017,
SH 0899,"Land At Moss Terrace / Bilberry Street, Rochdale",Rochdale,Available within individual site Pdf,390526,412832,British Coordinate Systems,0.06,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 5 properties,5,5,Unknown,29/11/2017,
SH 0902,"Norden Fire Station Edenfield Road, Roch",Rochdale,Available within individual site Pdf,386268,414447,British Coordinate Systems,0.07,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 5 properties,5,5,Unknown,29/11/2017,
SH 0911,"Bamford Squash, Bamford Road, Heywood",Heywood,Available within individual site Pdf,385548,411231,British Coordinate Systems,1.06,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,N/A,N/A,Site could deliver approximately 42 properties,42,42,Unknown,29/11/2017,
SH 0991,The Acres Wentworth Close Middleton,Middleton,Available within individual site Pdf,386295,405956,British Coordinate Systems,0.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 8 properties,8,8,Unknown,29/11/2017,
SH 0996,"Laurel Grove, Roch Valley Way Rochdale",Rochdale,Available within individual site Pdf,388604,411994,British Coordinate Systems,0.10,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 8 properties,8,8,Unknown,29/11/2017,
