field,enum,value
Deliverable,,completed
Deliverable,,false
Deliverable,,no
Deliverable,,unsuitable
Deliverable,yes,deliverable
Deliverable,yes,developable
Deliverable,yes,possibly developable
Deliverable,yes,the land is deliverable
Deliverable,yes,true
Deliverable,yes,y
Deliverable,yes,yes part
HazardousSubstances,,no
HazardousSubstances,no,expired
HazardousSubstances,yes,possible diesel fuel pollution
HazardousSubstances,yes,potentially subject to broken glass
HazardousSubstances,yes,y
PermissionType,,Application Refused/Rejected
PermissionType,full planning permission,FUL
PermissionType,full planning permission,full
PermissionType,full planning permission,full
PermissionType,full planning permission,Full Permission
PermissionType,full planning permission,full planning
PermissionType,full planning permission,Full planning
PermissionType,full planning permission,full planning application
PermissionType,full planning permission,full planning permis
PermissionType,full planning permission,Full planning permisison
PermissionType,full planning permission,Full planning permission & listed building consent
PermissionType,full planning permission,Full Planning Permission Subject to Legal Agreement
PermissionType,full planning permission,Full plannng permission
PermissionType,full planning permission,MMA/Full planning permission
PermissionType,full planning permission,permissioned
PermissionType,full planning permission,planning permission
PermissionType,full planning permission,With Full Permission
PermissionType,,none
PermissionType,,not permissioned
PermissionType,other,decision pending
PermissionType,other,determination for permitted development
PermissionType,other,Expired
PermissionType,other,Extant
PermissionType,other,"full planning permission, prior approval"
PermissionType,other,Hybrid Full/Outline
PermissionType,other,Hybrid Full/Outline planning permission with All Matters Reserved.
PermissionType,other,Hybrid planning permission
PermissionType,other,lapsed permission
PermissionType,other,Listed Building
PermissionType,other,Listed Building Consent
PermissionType,other,Not Permissioned
PermissionType,other,Oter
PermissionType,other,other & full planning permission
PermissionType,other,other - s73 MMA
PermissionType,other,otther
PermissionType,other,outline
PermissionType,other,Part Outline Part Fu
PermissionType,other,Part Outline Part Full Planning Permission
PermissionType,other,Pending
PermissionType,other,pending decision
PermissionType,other,permission lapsed
PermissionType,other,prior approval
PermissionType,other,Prior approval
PermissionType,other,Prior Approval
PermissionType,other,Prior Approval - Approved Change of Use
PermissionType,other,Prior Approval - Class O
PermissionType,other,Prior Notification
PermissionType,other,Renewal - full planning permission
PermissionType,other,Reserved Matters and Full Planning
PermissionType,other,Residential Development
PermissionType,other,technical details co
PermissionType,other,Under Construction
PermissionType,outline planning permission,Ouline planning permission
PermissionType,outline planning permission,outline
PermissionType,outline planning permission,outline permission
PermissionType,outline planning permission,Outline permission
PermissionType,outline planning permission,outline planning
PermissionType,outline planning permission,Outline Planning
PermissionType,outline planning permission,Outline Planning App
PermissionType,outline planning permission,Outline Planning Application
PermissionType,outline planning permission,Outline Planning Application with all matters reserved
PermissionType,outline planning permission,outline planning per
PermissionType,outline planning permission,Outline planning per
PermissionType,outline planning permission,Outline Planning Per
PermissionType,outline planning permission,outline planning permission 15/07/15
PermissionType,outline planning permission,Outline Planning Permission with all matters reserved
PermissionType,outline planning permission,Outline Reg 3 Planning Permission
PermissionType,outline planning permission,outline submitted
PermissionType,outline planning permission,With Outline Permission
PermissionType,planning permission granted under an order,full planning permission/Planning permission granted under an order
PermissionType,planning permission granted under an order,Planning Permission granted under an order
PermissionType,planning permission granted under an order,planning permission granted under an order/Full permission
PermissionType,reserved matters approval,reserved matters
PermissionType,reserved matters approval,reserved matters app
PermissionType,reserved matters approval,Reserved matters app
PermissionType,reserved matters approval,reserved matters application
PermissionType,reserved matters approval,reserved ?matters approval
PermissionType,reserved matters approval,reserved matters approval permission approval
PermissionType,reserved matters approval,reserved matters permission
PermissionType,reserved matters approval,Reserved matters planning permission
PermissionType,reserved matters approval,Reserved mattres approval
PermissionType,reserved matters approval,Reserve Matters
PermissionType,technical details consent,techincal details consent
