OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,6,"Banbury Road University Sites, Banbury Road, Oxford",51.762845,-1.258714,https://www.oxford.gov.uk/downloads/file/4173/site_006_-_banbury_road_university_sites,3.12,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,,,,"This site is allocated for mixed use development (including student accommodation and university staff housing) in the Sites and Housing Plan adopted in February 2013.  The allocation also remains in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).Many of the existing buildings on the site contribute to the character of the North Oxford Victorian Suburb Conservation Area or are listed. Therefore any significant redevelopment is unlikely to be suitable but there is some potential to intensify existing uses.",2017-10-25,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,9,"Blackbird Leys District Centre, Blackbird Leys Road, Oxford, (Blackbird Leys Central Area)",51.720095,-1.199227,https://www.oxford.gov.uk/downloads/file/4174/site_009_-_blackbird_leys_central_area,5.34,mixed ownership,pending decision,,,http://public.oxford.gov.uk/online-applications/,yes,200.0,300.0,,"Application 18/03405/FUL for 21 residential units. The site is allocated for mixed use development (including housing) in the Sites and Housing Plan adopted in February 2013. The allocation also remains in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings). Blackbird Leys is one of five priority regeneration areas identified in the Oxford Core Strategy 2026.",2017-10-25,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,10,"Former office and stores for telephone engineering depot, Hollow Way, Oxford, OX3 7JS, (BT Site)",51.742167,-1.202187,https://www.oxford.gov.uk/downloads/file/4178/site_010_-_bt_site,1.59,not owned by a public authority,permissioned,full planning permission,2018-07-05,http://public.oxford.gov.uk/online-applications/,yes,50.0,95.0,,This site has been removed from the register as the planning permission has been implemented. ,2017-10-25,2019-12-04,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,11,"Land at canalside, Oxford, OX2 6BX, (Jericho Canalside)",51.757599,-1.270245,https://www.oxford.gov.uk/downloads/file/4176/site_011_-_jericho_canalside,0.48,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,,,,"Planning permission 14/01441/FUL (now expired) was granted on 19/04/2016  for the demolition of various structures and the erection of 23 residential units together with new community centre, restaurant, boatyard, public square, winding hole and public bridge across the Oxford Canal. The site is in a sensitive location within the Jericho Conservation Area and adjacent to the Grade I listed St. Barnabas Church.  The site is allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2017-10-25,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,12,"Churchill Hospital and Ambulance Resource Centre, Oxford",51.749162,-1.21221,https://www.oxford.gov.uk/downloads/file/4184/site_012_-_churchill_hospital_site,22.74,owned by a public authority,pending decision,,,http://public.oxford.gov.uk/online-applications/,yes,136.0,148.0,,"In November 2019, the Council's East Area Planning Committee resolved to grant planning permission (19/01039/FUL), subject to the signing of a legal agreement, for the demolition of existing buildings, and the construction of key worker housing (19 cluster units) and associated works (additional/revised information). The site is allocated in the Sites and Housing Plan adopted in February 2013. The allocation also remains in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings). Key worker housing linked to the hospital is identified as a suitable use. General housing and student accommodation are identified as acceptable complementary uses.  Hospital operations would need to be maintained.",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,13,"Land at Court Place Gardens, Oxford, OX4 4EW, (Court Place Gardens)",51.726604,-1.238364,https://www.oxford.gov.uk/downloads/file/4224/site_013_-_land_at_court_place_gardens,1.3,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,26.0,55.0,,"The site is allocated for housing development in the Sites and Housing Plan adopted in February 2013. The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings). The site includes a listed building.  This site is partially greenfield and partially brownfield (as shown on the site location plan). The land area in hectares given on this Register relates to the brownfield part of the site only.  The capacity of this site has been calculated based on development being focused on the existing built footprint.",2017-10-25,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,14,"Templars Square, Between Towns Road, Oxford",51.732048,-1.216124,https://www.oxford.gov.uk/downloads/file/4179/site_014_-_templars_square,3.65,mixed ownership,pending decision,,,http://public.oxford.gov.uk/online-applications/,yes,,,,"In July 2017, the Council's East Area Planning Committee resolved to grant planning permission (16/03006/FUL), subject to the signing of a legal agreement, for a mixed use development to include 225 dwellings. The site is a Primary District Centre in Oxford's retail hierarchy as set out in the Core Strategy.   The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings), for a mixed use development.  ",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,16,"Cowley Marsh Depot, Marsh Road, Oxford, OX4 2HH",51.738964,-1.217163,https://www.oxford.gov.uk/downloads/file/4181/site_016_-_cowley_marsh_depot,1.71,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,,,,"The site is allocated for housing or student accommodation development in the Sites and Housing Plan adopted in February 2013 post NPPF.   The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,17,"Crescent Hall, Crescent Road, Oxford, OX4 2NS",51.737386,-1.209181,https://www.oxford.gov.uk/downloads/file/4180/site_017_-_crescent_hall,0.96,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,30.0,58.0,,"The site is allocated for housing or student accommodation development in the Sites and Housing Plan adopted in February 2013 post NPPF.  The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,18,"Ewert House, Ewert Place, Oxford, OX2 7DD, (Diamond Place and Ewert House)",51.776795,-1.262524,https://www.oxford.gov.uk/downloads/file/4188/site_018_-_diamond_place,1.73,mixed ownership,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,,,,"The site is allocated for a retail-led mixed use development (which could include housing or student accommodation) in the Sites and Housing Plan adopted in February 2013.   The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  The City Council has adopted the Diamond Place SPD to guide development on this site.",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,20,"15-17 Elsfield Way, Oxford, OX2 8EP, (Elsfield Hall)",51.788183,-1.266521,https://www.oxford.gov.uk/downloads/file/4182/site_020_-_elsfield_hall,0.76,owned by a public authority,permissioned,full planning permission,2019-06-10,http://public.oxford.gov.uk/online-applications/,yes,,,,"Application 18/03384/FUL approved in June 2019 for the demolition and relocation of the existing Cadet Hut (D2 Use Class) and the redevelopment of the Site to include erection of a 3 storey apartment block providing 26no. residential flats (C3 Use Class) comprising 9no. 1-bed and 17no. 2-bed apartments with associated access, parking and landscape arrangements.",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,24,"Government Buildings and Harcourt House, Marston Road, Oxford, OX3 0TY",51.75475,-1.235067,https://www.oxford.gov.uk/downloads/file/5388/site_024_-_government_buildings_and_harcourt_house,2.36,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,,,,"The site is allocated for housing, student accommodation and/or education in the Sites and Housing Plan adopted in February 2013. The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings). Key worker housing linked to the hospital is identified as a suitable use. General housing and student accommodation are identified as acceptable complementary uses. Hospital operations would need to be maintained.",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,27,"John Radcliffe Hospital, Headley Way, Oxford, OX3 9DU",51.763878,-1.219787,https://www.oxford.gov.uk/downloads/file/4187/site_027_-_john_radcliffe_hospital,27.75,owned by a public authority,pending decision,,,http://public.oxford.gov.uk/online-applications/,,,,,"In November 2019, the Council's East Area Planning Committee resolved to grant planning permission (19/01038/FUL), subject to the signing of a legal agreement, for the demolition of existing buildings and the phased construction of key worker housing comprising 56 cluster units, 21 x 1 bed studio apartments, 48 flats (17x1 bed, 31 x 2 beds), management office and associated works including parking and landscaping (additional/revised information). The site is allocated in the Sites and Housing Plan adopted in February 2013.  Key worker housing linked to the hospital is identified as a suitable use. General housing and student accommodation are identified as acceptable complementary uses. Hospital operations would need to be maintained. The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,28,"Kassam Stadium Sites, Grenoble Road, Oxford",51.715595,-1.207156,https://www.oxford.gov.uk/downloads/file/5389/site_028_-_kassam_stadium_sites,9.0,unknown ownership,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,,,,"The site is part of a site allocated for residential-led development in the Sites and Housing Plan adopted in February 2013. The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,34,"Littlemore Park, Armstrong Road, Oxford, OX4 4XG",51.716972,-1.224121,https://www.oxford.gov.uk/downloads/file/4189/site_034_-_littlemore_park,5.44,owned by a public authority,permissioned,outline planning permission,2016-03-30,http://public.oxford.gov.uk/online-applications/,yes,,,,"The site has detailed planning permission (18/02303/RES) attached to outline planning permission (14/02940/OUT) granted for 270 dwellings.  The site is allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,38,"Former Nielsen House, London Road, Oxford, OX3 9RX",51.76123,-1.183098,https://www.oxford.gov.uk/downloads/file/4226/site_038_-_nielsens_london_road,3.53,not owned by a public authority,permissioned,other,2016-12-13,http://public.oxford.gov.uk/online-applications/,yes,107.0,206.0,,"The site received prior approval (17/02969/B56) to convert Nielsen House to residential.  The site is allocated for residential-led development in the Sites and Housing Plan adopted in February 2013 post NPPF.  The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings). This site is partially greenfield and partially brownfield (as shown on the site location plan). The land area in hectares given on this Register relates to the brownfield part of the site only.
The capacity has been calculated with the greenfield sports field excluded.",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,39,"Northfield Hostel, Sandy Lane West, Oxford, OX4 6LD",51.723865,-1.213106,https://www.oxford.gov.uk/downloads/file/4225/site_039_-_northfield_hostel,0.45,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,24.0,42.0,,"The site is allocated for care accommodation and/or housing development in the Sites and Housing Plan adopted in February 2013.  The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings). This site is partially greenfield and partially brownfield (as shown on the site location plan). The land area in hectares (and resulting capacity estimate) given relates to the brownfield part of the site only.",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,44,"Land at King Edward Street, High Street, Oxford, OX1 4EW",51.751769,-1.253587,https://www.oxford.gov.uk/downloads/file/4192/site_044_-_land_at_king_edward_street,0.27,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,,,,The site is allocated in the Sites and Housing Plan adopted in February 2013 post NPPF. The allocation includes potential for student accommodation. The site includes a listed building. ,2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,50,"Paul Kent Hall, James Wolfe Road, Oxford, OX4 2WA",51.741481,-1.203878,https://www.oxford.gov.uk/downloads/file/4193/site_050_-_paul_kent_hall,0.72,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,22.0,49.0,,This site has been removed from the register as it is no longer available for development.  ,2017-10-26,2019-12-04,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,52,"Railway Lane, Oxford",51.719879,-1.226102,https://www.oxford.gov.uk/downloads/file/4200/site_052_-_railway_lane,0.97,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,34.0,65.0,,This site has been removed from the register as it is no longer available for development.  ,2017-10-26,2019-12-04,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,58,"Temple Cowley Pool, Temple Road, Oxford, OX4 2EZ",51.735539,-1.213526,https://www.oxford.gov.uk/downloads/file/4199/site_058_-_temple_cowley_pool,0.51,owned by a public authority,permissioned,full planning permission,2018-01-31,http://public.oxford.gov.uk/online-applications/,yes,,,,This site has been removed from the register as the planning permission has been implemented. ,2017-10-26,2019-12-04,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,60,"Travis Perkins site, Collins Street, Oxford",51.747585,-1.232728,https://www.oxford.gov.uk/downloads/file/4201/site_060_-_travis_perkins_site_collins_street,0.72,not owned by a public authority,permissioned,full planning permission,2016-04-05,http://public.oxford.gov.uk/online-applications/,yes,,,,This site has been removed from the register as the planning permission has been implemented. ,2017-10-26,2019-01-16,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,61,"Union Street Car Park, Union Street, Oxford, OX4 1JP",51.74813,-1.23556,https://www.oxford.gov.uk/downloads/file/4195/site_061_-_union_street_car_park,0.26,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,,,,"The site is allocated for housing and/or student accommodation in the Sites and Housing Plan adopted in February 2013.  The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2017-10-26,2019-12-04,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,62,University of Oxford Science Area & Keble Road Triangle,51.759449,-1.257526,https://www.oxford.gov.uk/downloads/file/4198/site_062_-_university_of_oxford_science_area_and_keble_road_triangle,12.41,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,,,,"The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  The allocation is for academic institutional and associated research.  ",2017-10-26,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,63,"Warneford Hospital, Warneford Lane, Oxford, OX3 7JX",51.750846,-1.2223,https://www.oxford.gov.uk/downloads/file/4197/site_063_-_warneford_hospital,8.67,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,16.0,20.0,,"The site is allocated for a range of uses (including housing and student accommodation) in the Sites and Housing Plan adopted in February 2013. Hospital operations would need to be maintained. The site includes listed buildings. The site is partially greenfield and partially brownfield (as shown on the site location plan). The land area in hectares (and resulting capacity estimate) given relates to the brownfield part of the site only.  The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2017-10-26,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,65,"West Wellington Square, Oxford",51.757069,-1.261597,https://www.oxford.gov.uk/downloads/file/4204/site_065_-_west_wellington_square,0.88,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,18.0,,,"The site is allocated in the Sites and Housing Plan adopted in February 2013 post NPPF. Student accommodation and staff housing are identified as suitable uses. The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  The minimum capacity of 18 dwellings is based on the Local Plan 2036 (as proposed to be modified) as this is the most up-to-date assessment of capacity of the site.  ",2017-10-26,2019-12-09,
