OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,yes,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,210,,Griffiths Way,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514686&y=206073&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.338773946,51.74115524,8.52,not owned by a public authority,,permissioned,outline planning permission,2018-01-26,,,100,"Outline application (access and scale sought) for mixed use development comprising Class A1 (discount foodstore), Class A1 (non food retail), D2 (gym) and Class A3/A5 (restaurant and drive-through) with associated access and ancillary works",Likely all or part retail use (permissioned). Possible mixed use,,,,,,Permission not for housing,2017-02-07,2018-06-29
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,227,,Jewson Depot,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=516955&y=207144&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.305568274,51.75030975,0.44,not owned by a public authority,yes,Not permissioned,,,,,20,,,,,,,,,2017-02-07,2017-05-23
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,251,,Civic Centre South,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514928&y=207252&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.334875312,51.75170234,0.88,owned by a public authority (part),yes,permissioned,other,2017-03-16,,,100,"Screening Opinion - Redevelopment consisting of new commercial and office units, approximately 83 residential units and associated works",Mixed use (SPD),,,,,,,2017-02-07,2018-06-29
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,256,,EMP9 (northern part) St Albans Road (adjacent to the Council depot),http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=515979&y=209314&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.318976334,51.77002342,2.4,not owned by a public authority,yes,Not permissioned,,,,,100,,,,,,,,,2017-02-07,2017-05-23
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,259,,Ariston Site (incl Pioneer Youth Club),http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=515112&y=208483&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.331809735,51.76273191,2.63,owned by a public authority,yes,Not permissioned,,,,,55,,Likely all or part retail use. Possible mixed use.,,,,,,,2017-02-07,2017-05-23
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,260,,222 London Road,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=515535&y=206385&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.326377187,51.74378074,0.66,not owned by a public authority,yes,Not permissioned,,,,,22,,,,,,,,,2017-02-07,2017-05-23
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,264,,West of St Peters Street,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514728&y=207437&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.337716969,51.75340591,2.13,owned by a public authority ,,Not permissioned,,,,,60,,Possible mixed use with parking.  Likely retail use (SLP),,,,,,,2017-02-07,2017-05-23
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,275,,Catherine Street,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514879&y=207648&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.335456337,51.7552755,0.81,not owned by a public authority,yes,Not permissioned,,,,,30,,Likely mixed use,,,,,,,2017-02-07,2017-05-23
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,281,,Ziggurat car park,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=515519&y=206595&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.326534381,51.74567711,0.44,not owned by a public authority,yes,permissioned,other,2017-08-16,,,12,"Screening Opinion - Erection of 74 apartments with associated access, parking, amenity space and landscaping",,,,,,,,2017-02-07,2018-06-29
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,461,,Electricity Works Campfield Road,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=516339&y=206978&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.314535535,51.74894695,0.66,not owned by a public authority,yes,permissioned,full planning permission,2017-02-09,,,25,"Construction of five storey building consisting of nine, one bedroom and twenty five, two bedroom flats with underground parking, amenity space and landscaping",,,,,,,,2017-02-07,2018-06-29
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,478,,Land at the Hedges Woollam Crescent,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514422&y=209239&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.341553211,51.76966265,0.27,owned by a public authority ,yes,Not permissioned,,,,,10,,Existing temporary housing,,,,,,,2017-02-07,2017-05-23
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,155,,Southern part of Murphys Chemicals Site Codicote Road,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=517912&y=214215&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.289294636,51.81366369,0.81,not owned by a public authority,yes,Not permissioned,,,,,18,,,,,,,,,2017-02-07,2017-05-23
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,Non SHLAA NS1,,Harpenden Public Hall,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=513586&y=214125&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.352061629,51.813751,0.47,owned by a public authority,yes,Not permissioned,,,,,18,,Possible mixed use,,,,,,,2017-02-07,2017-05-23
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,Non SHLAA NS2,,Former Sopwell Youth Club Site Land to the rear of Leyland Avenue ,https://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514894&y=206167&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.335663846,51.74184,0.5,owned by a public authority,yes,Not permissioned,,,,,8,,,,,,,,,2018-06-29,2018-06-29
http://opendatacommunities.org/id/district-council/st-albans,St Albans City and District Council,Non SHLAA NS3,,Oaktree Manor Nursing Home 2 Chene Drive Waverley Road ,https://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514678&y=208212&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,OSGB36,-0.338438884,51.76041,0.39,not owned by a public authority,yes,Not permissioned,,,,,14,,,,,,,,,2018-06-29,2018-06-29
