Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR001,"Former Leisure Centre, Park Road, Coleshill",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.49774,-1.709995,0.32,owned by a public authority,permissioned,full planning permission,2019-02-13 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,23,23,,Demolition of existing leisure centre and construction of twenty three new dwellings and ancillary site works,2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR002,"Former Polesworth Learning Centre, High Street, Polesworth",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.619884,-1.612026,0.62,not owned by a public authority,permissioned,full planning permission,2018-12-19 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,12,12,,"Conversion of The Old School Building to 3 no. dwellinghouses, demolition of modern flat roofed buildings, construction of 9 no. dwellinghouses and formation of new vehicular access",2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR003,"Land at Spon Lane, Grendon (former Sparrowdale School and Former Recycling Centre)",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.593033,-1.593722,2.1,owned by a public authority,permissioned,full planning permission,2019-05-17 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,56,56,,"Construction of 56 residential dwellings (class C3) including; construction of new vehicular access to Spon Lane, formalisation of existing vehicular access to Spon Lane, pedestrian accesses to Spon Lane and A5 (Watling Street), drainage infrastructure, landscaping, public open space and other works",2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR004,"Water Orton Primary School, Attleborough Lane, Water Orton ",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.512747,-1.742152,2.8,owned by a public authority,not permissioned,,,,yes,48,48,,"The land is allocated for residential development within the Submission Local Plan, reference H21",2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR005,"Land at Village Farm, Birmingham Road, Ansley",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.524222,-1.565247,0.6,not owned by a public authority,not permissioned,,,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,7,7,,"Outline application (all matters reserved) for the demolition of all modern farm buildings, conversion of traditional building into 2 dwellings, and erection of 5 new dwellings, garage block, parking areas and other associated works",2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR007,"Ansley Social Club, Birmingham Road, Ansley",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.519823,-1.559587,0.31,not owned by a public authority,permissioned,outline planning permission,2017-10-04 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,10,10,,"Outline application (all matters reserved) for the demolition of former social club and residential dwelling and the erection of up to 10 dwellings, along with associated open space and drainage infrastructure",2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR008,"Britannia Mill, Coleshill Road, Atherstone",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.573543,-1.549074,0.42,not owned by a public authority,permissioned,full planning permission,2019-11-07 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,70,70,,Erection of 70 apartments (use class C3) with extra care provision,2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,Listed Building,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR009,"Durnos Nurseries, Old Holly Lane, Atherstone",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.587271,-1.551531,3.65,not owned by a public authority,permissioned,full planning permission,,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,121,121,,Demolition of Virginia House and nursery buildings and erection of 121 dwellings with public open space and associated infrastructure,2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR010,"Phoenix Yard, Church Street, Atherstone",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.578295,-1.5478746,0.6,not owned by a public authority,permissioned,full planning permission,2007-10-16 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,73,73,,"Planning Permission and Conservation Area Consent to demolish unlisted buildings within the Atherstone Conservation Area, and to redevelop the site so as to provide 73 residential units through conversion and new build, together with associated access and parking provision",2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR012,"Chapel End Social Club, Coleshill Road, Hartshill",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.536872,-1.5211724,0.23,not owned by a public authority,permissioned,full planning permission,2015-06-16 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,13,13,,Demolition of existing social club & erection of 13 dwellings,2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR013,"Shortwoods Day Centre, The Shortwoods, Dordon",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.601542,-1.6167943,0.44,not owned by a public authority,permissioned,full planning permission,2015-09-15 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,27,27,,Demolition of existing building and construction of new supported housing for residents with learning difficulties/physical disabilities/mental health (21 no: self-contained apartments and 6 no: shared living bedrooms),2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR014,"L S Court Ltd, Coventry Road, Fillongley ",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.474567,-1.5741278,0.94,not owned by a public authority,permissioned,full planning permission,2018-04-18 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,5,5,,"Demolition of existing buildings and construction of 5 new dwellings with associated access, parking and turning facilities",2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR015,"31 Plough Hill Road, Chapel End ",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.536297,-1.5258079,0.38,not owned by a public authority,permissioned,full planning permission,2019-11-08 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,9,9,,"Demolition of 31 Plough Hill Road and erection of 5 no: detached (4 beds) pair of 3 bed semi, terrace of 1 no: 3 bed and 2no: 2 beds.  ",2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR016,"14 Market Street, Polesworth ",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.616683,-1.6172234,0.12,not owned by a public authority,permissioned,full planning permission,2019-12-04 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,5,5,,Conversion of existing building from bookstore (Class A1) to hot food takeaway (Class A5) at ground floor and 2 no: flats at upper floors (Class C3); demolition of existing outbuildings and erection of 3 no: residential dwelling houses (Class C3) and associated works,2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR017,"Rowan Centre, North Street, Atherstone",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.577713,-1.5439552,0.17,not owned by a public authority,permissioned,full planning permission,2017-08-21 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,16,16,,Erection of supported living facility and conversion of existing building into 16 supported living flats with associated Community Room,2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR018,"61 Coventry Road, Coleshill",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.493699,-1.7043367,0.21,not owned by a public authority,permissioned,other,2017-09-05 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,9,9,,Prior Notification for change of use from office use (class B1a) to nine residential apartments (class C3),2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR019,"BEC Engineering Ltd, Richmond Road, Atherstone",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.572804,-1.5483737,0.11,not owned by a public authority,permissioned,reserved matters approval,2014-11-12 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,6,6,,Approval of reserved matters pursuant to outline permission ref. PAP/2009/0126 for demolition of existing factory premises and erection of 6 dwellings with associated parking and landscaping,2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR020,"Hatters Arms, Church Road, Warton ",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.629696,-1.5841335,0.09,not owned by a public authority,permissioned,full planning permission,2015-07-17 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,7,7,,Conversion of former public house into four 2-bedroom apartments and construction of two 3-bedroom houses and one 2-bedroomed house on the former car park area,2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR022,"The Angel Inn, 24 Church Street, Atherstone",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.578462,-1.5470169,0.1,not owned by a public authority,permissioned,full planning permission,2016-04-07 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,12,12,,"Part demolition of rear extension. Construction of 1 small retail unit and first floor storage. Erection of 5 pairs of 2 bedroom semi-detached dwellings & 2 one bedroom flats, with associated access ways and bins store and fencing",2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR023,"49 High Street, Polesworth",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.620812,-1.6100085,0.21,not owned by a public authority,permissioned,outline planning permission,2017-01-17 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,5,5,,Outline application for clearance of derelict buildings and erection of 5 detached dwellings and access,2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR024,"Croft Mead Business Centre, Croft Mead, Ansley",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.519588,-1.5566564,0.2,not owned by a public authority,permissioned,full planning permission,2017-02-07 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,10,10,,Redevelopment of commercial yard to accommodate 10 dwellings,2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR027,"Coton House, Haunch Lane, Lea Marston",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.544449,-1.7017548,0.44,not owned by a public authority,permissioned,full planning permission,2018-09-20 00:00:00,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,10,10,,"Redevelopment of site for the erection of ten dwellings with associated access, car parking and landscaping. Demolition and removal of existing kennels, cattery and stable buildings.",2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
http://opendatacommunities.org/id/district-council/north-warwickshire,BFR029,"Kingsbury Hall, Coventry Road, Kingsbury",https://www.northwarks.gov.uk/info/20027/development_control/1088/self_custom_build_and_brownfield_land_register,52.564445,-1.6852589,1.18,not owned by a public authority,not permissioned,,,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,yes,81,81,,"Hybrid planning application comprising 1) Full planning application for the restoration and conversion of Kingsbury Hall and outbuildings to A3, C1 and D2 use classes; 2) Outline planning application (all matters reserved except access) for a high-dependency care centre of up to 4,565sq mtrs (use class C2) and 81 dwellings for over 55s (use class C3)",2018-12-10 00:00:00,2020-03-02 00:00:00,,,,,,,,,,2018-12-10,2020-02-15,
