OrganisationURI,OrganisationLabel,Site Reference,PreviouslyPartOf,SiteNameAddress,SitePlanURL CoordinateReferenceSystem,,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/3,,Ribble Close & Gas Holder Site,https://www.worcester.gov.uk/documents/10499/8862850/Ribble+Close+-+Site+Plan.pdf/3445c277-de88-5478-3cee-05a92391282e,ETRS89,52.190268,-2.203305,1.20,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,50,,,,40,50,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/19,,"Blackpole Road, Western Power Distribution Depot",https://www.worcester.gov.uk/documents/10499/8862850/Western+Power+Distribution+Power+Depot+-+Site+Plan.pdf/e3a71969-ad39-e4E2T6R-Sd889f7-85b487e5162e52.208674,,,-2.199564,2.58,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,40,,,,40,40,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/a,,73-77 Bromwich Road,https://www.worcester.gov.uk/documents/10499/8862850/Western+Power+Distribution+Power+Depot+-+Site+Plan.pdf/e3a71969-ad39-e4E2T6R-Sd889f7-85b487e5162e52.183613,,,-2.230961,0.14,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,11,,,,5,11,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/c,,"Malvern Gate, Bromwich Road",https://www.worcester.gov.uk/documents/10499/8862850/Malvern+Gate+-+Site+Plan.pdf/b2de51f2-b779-ffbd-9056-de5e0c94ce23,ETRS89,52.173761,-2.234108,1.28,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,55,,,,45,55,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/9,,"Old Brewery Service Station, Barbourne Road",https://www.worcester.gov.uk/documents/10499/8862850/Old+Brewery+Service+Station+-+Site+Plan.pdf/7de23f08-0e8b-5274-bcb3-f0396E2TaR0Sb894fd,,52.202013,-2.226100,0.14,not owned by a public authority,yes,permissioned,full planning permission,,https://www.worcester.gov.uk/planning-application-search,,18,,,,12,18,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/f,,"County Council Offices, Sherwood Lane",https://www.worcester.gov.uk/documents/10499/8862850/Sherwood+Lane+-+Site+Plan.pdf/053b371f-eb63-1221-cd67-6842d982a6ae,ETRS89,52.175020,-2.237981,0.50,owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,30,,,,25,30,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/g,,"County Council Offices, Bilford Road",https://www.worcester.gov.uk/documents/10499/8862850/Bilford+Road+-+Site+Plan.pdf/4fb13998-fcfa-a200-04f1-1d67fbc4aec0,ETRS89,52.213017,-2.216007,0.67,owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,20,,,,15,20,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/h,,"Laugherne Garage, Bransford Road",https://www.worcester.gov.uk/documents/10499/8862850/Bransford+Road+-+Site+Plan.pdf/c2c384dc-4a01-5ffb-85f1-c997093ce1bb,ETRS89,52.183961,-2.253973,0.44,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,10,,,,8,10,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/m,,"Former Club House, Tolladine Golf Course",https://www.worcester.gov.uk/documents/10499/8862850/Bransford+Road+-+Site+Plan.pdf/c2c384dc-4a01-5ffb-85f1-c997093ce1bb,ETRS89,52.199268,-2.188366,0.50,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,15,,,,9,15,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/q,,79 St Johns,https://www.worcester.gov.uk/documents/10499/8862850/79+St+Johns+-+Site+Plan.pdf/7aa8c869-4e5d-c6a4-4151-4c38aaf5ceef,ETRS89,52.186872,-2.235188,0.05,not owned by a public authority,yes,pending decision,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,10,,,,10,10,,
