OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0001,,Spring Road Riddings,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0692352277&lng=-1.3506579388,ETRS89,53.069235,-1.350658,1.27,not owned by a public authority,yes,permissioned,full planning permission,06/07/2004,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2004-0043,,14,14 new dwellings,,,14,14,,,The site is currently under construction,06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0002,,Land at Greenhill Lane Leabrooks,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0755165967&lng=-1.3720578812,ETRS89,53.075517,-1.372058,2.02,not owned by a public authority,yes,permissioned,reserved matters approval,15/11/2007,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2004-1104,,24,Residential development with two planning applications,,,24,24,,,The site is currently under construction,06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0005,,John Smedley Ltd Lea Road Lea Bridge,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.1040369302&lng=-1.5250554687,ETRS89,53.104037,-1.525055,0.46,not owned by a public authority,yes,permissioned,full planning permission,11/12/2015,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2014-0265,,26,Redevelopment of the site including conversion and new build to provide 26 dwellings,,,26,26,,,The site is currently under construction,06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0010,,Bradshaw Avenue Ridding,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0685877201&lng=-1.3622487862,ETRS89,53.068588,-1.362249,2.5,owned by a public authority,yes,permissioned,full planning permission,14/05/2019,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2018-0472,,87,Two-storey residential dwellings,,,87,87,,,,06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0017,,17 King Street Alfreton,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0967981203&lng=-1.3901619656,ETRS89,53.096798,-1.390162,1,not owned by a public authority,yes,permissioned,full planning permission,11/11/2015,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2015-0347,,11,"Conversion of buildings (17,19 and 21) into 11 flats",,,11,11,,,The site is currently under construction,06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0018,,Former American Adventure Theme Park Pit Lane Shipley,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.9936392978&lng=-1.3382626567,ETRS89,52.993639,-1.338263,46.48,owned by a public authority,,permissioned,outline planning permission,12/01/2016,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2015-0403,,307,Sustainable mixed use development including upto 307 residential units,"retirement provision, retail, business, leisure/assembly/training and garden centres uses, pub and hotel/conference facility, health and crae uses ",,307,307,,,(Outline planning application with 7years time period)Residential element as part of large mixed use development,06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0021,,Marehay Garage Derby Road Marehay,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0317361246&lng=-1.4065426835,ETRS89,53.031736,-1.406543,0.42,not owned by a public authority,,not permissioned,,,,,20,,,,,,,,"Previously had outline planning permission for demolition of existing buildings and proposed residential re-development, demolition works have taken place however permission has since lapsed.",06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0023,,Memory Lane Inn 72 Derby Road Heanor,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0135406622&lng=-1.3611515064,ETRS89,53.013541,-1.361152,0.12,not owned by a public authority,yes,permissioned,reserved matters approval,03/10/2017,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2017-0766,,13,"Reserved matters application for AVA/2016/1078. Appearance, Landscaping, layout, and scale",,,13,13,,,The site is currently under construction,06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0024,,Land West of Old Coppice Side Heanor,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0047326278&lng=-1.356408232,ETRS89,53.004733,-1.356408,0.93,owned by a public authority,yes,permissioned,full planning permission,21/12/2016,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2016-0729,,30,Erection of 30 dwellings,,,30,30,,,The site is currently under construction,06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0025,,Labour Club Lander Lane Belper,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.02399708&lng=-1.4776903346,ETRS89,53.023997,-1.47769,0.14,not owned by a public authority,yes,permissioned,full planning permission,13/01/2017,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2015-0338,,13,Demolition of former Labour Club buildings and erection of 13 dwellings,,,13,13,,,Demolition works have taken place ,06/12/2017,31/03/2020,
