Organisation URL,Organisation Label,SiteReference,AlternativeReferences,Previously Part of,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,EASTING,NORTHING,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3,PlanningAuthority,SOURCE,STATUS
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR1,STC2,,"""Morrisons Local and Car Park""",https://drive.google.com/file/d/1EZUg2F0-J89AyvhPrwz5_JIi2FPUON-J/view ,ETRS89,-0.195536,51.369930,525703.00,164975.00,0.21,not owned by a public authority,,not permissioned,other ,,,,37,,Part of a mixed-use allocation (STC2),,37,75,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR2,STC4,,"""Sutton West Centre, Robin Hood Lane""",https://drive.google.com/file/d/1kgdlGCIJrMRlJTG-zLbauW2kSwSC8a9E/view ,ETRS89,-0.200435,51.364790,525376.00,164395.00,0.80,owned by a public authority,,not permissioned,other ,,,,44,,Part of a school allocation (STC4),,44,180,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR3,STC5,,"""North of Lodge Place""",https://drive.google.com/file/d/1eD9yz_UjzbtEB4WjACjYzeFv8RrG7dse/view ,ETRS89,-0.192949,51.365371,525896.00,164471.00,0.30,not owned by a public authority,,not permissioned,other ,,,,52,,Part of a mixed-use allocation (STC5),,52,105,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR4,STC6,,"""South of Lodge Place""",https://drive.google.com/file/d/1mxhbqaQ2i55CSiz54HXcaLaxcbHWHfdi/view ,ETRS89,-0.192868,51.364613,525898.00,164392.00,0.37,not owned by a public authority,,not permissioned,other ,,,,65,,Part of a mixed-use allocation (STC6),,65,131,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR5,STC7,,"""Kwikfit""",https://drive.google.com/file/d/16Est7aYeZhYWLB5gqWMF6YFsw3js8rtP/view ,ETRS89,-0.192144,51.365219,525952.00,164457.00,0.07,owned by a public authority,,not permissioned,other ,,,,4,,Part of a mixed-use allocation (STC7),,4,16,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR6,STC8,,"""North of Greenford Road""",https://drive.google.com/open?id=1jl2SWkVtclNniCMYGJG41PdNtN-p5OWu,ETRS89,-0.195106,51.366236,525743.00,164565.00,0.07,not owned by a public authority,,not permissioned,other ,,,,12,,Part of a mixed-use allocation (STC8),,12,25,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR7,STC9,,"""Civic Centre""",https://drive.google.com/open?id=1R4DeBQTzwGH7clQGRaPv13asithwj_BY ,ETRS89,-0.195167,51.361867,525752.00,164079.00,0.90,owned by a public authority,,not permissioned,other ,,,,158,,Part of a mixed-use allocation (STC9),,158,321,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR8,STC41,,"""Times Square Car Park""",https://drive.google.com/open?id=1_PcbGRO4rFOs6UzEqPhbeESg3oCTkmqc ,ETRS89,-0.191587,51.364410,525993.00,164368.00,0.73,owned by a public authority,,not permissioned,other ,,,,127,,Part of a mixed-use allocation (STC41),,127,257,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR9,STC40,,"""Times House""",https://drive.google.com/open?id=1csz6adzLDXmc8Y9BNcnqvm3AObCtC8S7 ,ETRS89,-0.192180,51.363574,525954.00,164274.00,0.15,not owned by a public authority,,not permissioned,other ,,,,26,,Part of a mixed-use allocation (STC40),,26,53,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR10,STC45,,"""Elm Grove""",https://drive.google.com/open?id=1UJmyfgdQ9QsCoNsc167Quf9KIHY2sM2_ ,ETRS89,-0.193550,51.366931,525850.00,164642.00,0.60,owned by a public authority,,not permissioned,other ,,,,105,,Part of a mixed-use allocation (STC45),,105,213,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
