OrganisationURl,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,Net DwelingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdateDate,SiteProforma
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR22,,"""Daedalus, Broom Way, Lee on the Solent""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=455991.325&cpy=101397.793&scale=8000&redraw=cp,ETRS89,50.809424,-1.206682,34.3,owned by a public authority,,permissioned,,,,,249,,,,249,249,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr22.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR23,,"""Royal Clarence Yard, Weevil Lane, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=461731.116&cpy=100618.722&scale=5000&redraw=cp,ETRS89,50.801837,-1.125357,8.45,not owned by a public authority,,permissioned,,,,,58,,,,58,58,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr23.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR24,,"""Barclay House, Trinity Green, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=462124.079&cpy=99699.226&scale=1000&redraw=cp,ETRS89,50.793527,-1.119937,0.28,owned by a public authority,,not permissioned,,,,,25,,,,25,40,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr24.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR25,,"""Masonic Hall, 7 Clarence Road, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=461789.081&cpy=100150.875&scale=1000&redraw=cp,ETRS89,50.797624,-1.124614,0.08,not owned by a public authority,,not permissioned,,,,,8,,,,8,14,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr25.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR26,,"""Former Gosport Police Station, South Street, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=461885.846&cpy=99817.020&scale=1000&redraw=cp,ETRS89,50.794612,-1.123297,0.31,not owned by a public authority,,not permissioned,,,,,60,,,,60,60,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr26.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR27,,"""Fort Blockhouse / HMS Dolphin, Haslar Road Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=462260.777&cpy=99070.084&scale=5000&redraw=cp,ETRS89,50.787856,-1.118104,17.9,not owned by a public authority,,not permissioned,,,,,>1,,,,>1,>1,,,"The Government announced in November 2016 that it plans to release this site by 2020.� The Council has allocated it as a mixed use site in the Gosport Borough Local Plan 2029 which could include some residential. However given its enormous potential for marine employment due to its deep water access and features suited to the marine sector as well as its significant heritage assets, the Council has not yet determined a potential housing figure for this site at this stage. Further consideration is required including taking into account the significant flood risk on the site, the proximity to internationally protected habitats and understanding the full extent of the MoD release and which users are intending to remain on site.",15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr27.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR28,,"""Former Royal Sailor's Rest, Grange Lane, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=458503.206&cpy=101449.069&scale=1000&redraw=cp,ETRS89,50.809638,-1.171026,0.24,not owned by a public authority,,not permissioned,,,,,10,,,,10,14,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr28.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR31,,"""Rowner Road Service Station, Rowner Road, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=458429.196&cpy=101829.258&scale=1000&redraw=cp,ETRS89,50.813064,-1.172016,0.2,not owned by a public authority,,not permissioned,,,,,15,,,,15,15,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr31.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR32,,"""Carisbrooke Centre, Carisbrooke Road, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=457971.961&cpy=102717.6198&scale=1000&redraw=cp,ETRS89,50.821098,-1.178365,0.53,not owned by a public authority,,not permissioned,,,,,15,,,,15,25,,,,15/12/2017,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr32.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR33,,"""39-45A Stoke Road and 79-81 Jamaica Place, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=461301.386&cpy=99751.144&scale=1000&redraw=cp,ETRS89,50.794123,-1.13167,0.08,not owned by a public authority,,permissioned,,,,,11,,,,11,11,,,,21/12/2018,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr33.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR34,,"""133 Stoke Road, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=461024.002&cpy=99575.276&scale=1000&redraw=cp,ETRS89,50.792483,-1.135327,0.076,not owned by a public authority,,permissioned,,,,,18,,,,18,18,,,,21/12/2018,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr36.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR36,,"""Rear of 111 Elson Road, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=460196.818&cpy=101886.720&scale=1000&redraw=cp,ETRS89,50.813317,-1.146841,0.096,not owned by a public authority,,permissioned,,,,,12,,,,12,12,,,,21/12/2018,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr37.pdf
http://opendatacommunities.org/id/district-council/gosport ,Gosport Borough Council,BR37,,"""Haslar Immigration Removal Centre, Dolphin Way, Gosport""",http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=461580.462&cpy=98374.146&scale=2000&redraw=cp,ETRS89,50.78186,-1.12763,2.678,owned by a public authority,,not permissioned,,,,,>1,,,,>1,>1,,,,21/12/2018,21/12/2018,https://www.gosport.gov.uk/files/brownfieldlandregisterbr35.pdf
