OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Polygon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,2014/1061/OUT,,Land to the Rear 35-47 Jordan Court,https://maps.london.gov.uk/brownfield-site-register,OSGB36,538199,193488,0.11,not owned by a public authority,,not permissioned,,,,,5,[Lapsed] the demolition of existing garages and construction of 5 x 3-bedroom houses.,,,,,,,,43075,43445,"Polygon ((538147.84054431365802884 193500.35442681767744943, 538215.56193388812243938 193497.9241280319984071, 538220.26187595911324024 193455.70323887089034542, 538193.41133660112973303 193459.82342252240050584, 538194.41137509315740317 193464.68351921951398253, 538191.98132678307592869 193465.19353867223253474, 538193.99141421588137746 193477.70378964295377955, 538194.92148881650064141 193492.79409786040196195, 538192.90145851811394095 193495.90416950226062909, 538189.37138932733796537 193496.91420331853441894, 538168.90097030624747276 193497.92429932352388278, 538168.81096595129929483 193497.24428561161039397, 538147.84053785272408277 193498.59439047222258523, 538147.84054431365802884 193500.35442681767744943))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,132613,,1-20 Forest Court,https://maps.london.gov.uk/brownfield-site-register,OSGB36,539789,194086,0.1,not owned by a public authority,,not permissioned,,,,,5,[Lapsed] Conversion of roof spaces to form 5 x 1 bedroom self-contained flats (one flat to each block) involving front and rear dormer windows toall blocks and installation of ramp to blocks 4 and 5.,,,,,,,,43075,43445,"Polygon ((539732.41538268513977528 194076.71051186515251175, 539749.57575662527233362 194082.04055892903124914, 539749.03575366153381765 194084.2706069661071524, 539756.9159316651057452 194088.43066394265042618, 539757.34596518171019852 194095.14080093259690329, 539786.53661182266660035 194107.08094033197266981, 539786.85658399073872715 194097.70074544835370034, 539830.747549805091694 194113.89091864123474807, 539845.45770454674493521 194073.30002639343729243, 539843.53766331821680069 194072.8700245643267408, 539742.43547813664190471 194046.34984809963498265, 539739.66545651166234165 194056.04005838150624186, 539732.41538268513977528 194076.71051186515251175))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,181043,2014/0951,16 Forest View,https://maps.london.gov.uk/brownfield-site-register,OSGB36,539098,194845,0.09,not owned by a public authority,yes,permissioned,full planning permission,43319,,,5,Demolition of existing building and construction of a 4 storey building comprising 8 self contained flats (2 X 1 bed  6 X 2 bed).Provision of 8 car parking spaces  bin and cycle storage area.,,,,,,,,43075,43445,"Polygon ((539098.78514926962088794 194853.3788773434353061, 539112.6354161249473691 194848.15871868829708546, 539090.89475869061425328 194791.37762590253259987, 539077.47450346883852035 194797.34779846860328689, 539098.78514926962088794 194853.3788773434353061))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,151810,,Kirkdale House 7 Kirkdale Road,https://maps.london.gov.uk/brownfield-site-register,OSGB36,539379,187542,0.06,not owned by a public authority,,not permissioned,,,,,34,[Lapsed] Convert offices to 34 flats,,,,,,,,43075,43445,"Polygon ((539364.96374763175845146 187525.42657738283742219, 539367.8438313587103039 187532.03670330421300605, 539387.33434052695520222 187561.1172322568600066, 539405.55466393858660012 187546.72686824598349631, 539379.5640064604813233 187513.80628385476302356, 539364.96374763175845146 187525.42657738283742219))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,171743,,9 Osier Way,https://maps.london.gov.uk/brownfield-site-register,OSGB36,537620,186443,0.43,not owned by a public authority,yes,not permissioned,,,,,115,,,,,,,,,43075,43445,"Polygon ((537570.31269707065075636 186437.02068830712232739, 537586.67309186770580709 186452.55094896227819845, 537590.00316011509858072 186452.41093385353451595, 537595.13323702174238861 186444.50075169297633693, 537603.59343207511119545 186450.05083525867667049, 537606.22348895017057657 186450.75084006320685148, 537608.30353189981542528 186450.7508324307273142, 537610.94358538568485528 186450.4708169627119787, 537613.43363324250094593 186449.50078779552131891, 537616.62368942622561008 186446.8607215778902173, 537622.72383270272985101 186451.58079666196135804, 537667.09453876642510295 186394.30945127451559529, 537628.41363626904785633 186366.01900902821216732, 537618.28347952652256936 186380.3093412765301764, 537609.55330740683712065 186382.52941914869006723, 537570.31269707065075636 186437.02068830712232739))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,LHCSS17310271,,Oliver Road (Score Centre - Preferred options NOF 8),https://maps.london.gov.uk/brownfield-site-register,OSGB36,537782,186364,2.89,owned by a public authority,yes,not permissioned,,,,,550,,,,,,,,,43075,43445,"Polygon ((537641.44430419011041522 186474.73120600607944652, 537709.10586614988278598 186519.66188552492531016, 537719.09606428700499237 186517.44180302886525169, 537793.68721581716090441 186411.50934196345042437, 537792.57718269666656852 186408.72928863379638642, 537848.58806654904037714 186334.40754847030621022, 537851.3581227189861238 186334.12753252539550886, 537921.24921282008290291 186237.90528922015801072, 537845.81751082930713892 186198.53475302568404004, 537761.79619918274693191 186313.89744340116158128, 537759.57614721497520804 186312.22741706331726164, 537728.24566609272733331 186357.41846515599172562, 537726.57562856387812644 186356.58845414302777499, 537719.36551329435314983 186365.74866974621545523, 537721.58556419820524752 186367.12869009550195187, 537716.31547471473459154 186372.39881825598422438, 537714.37542959256097674 186371.01879687875043601, 537693.85511165752541274 186399.84946748794754967, 537696.35517142515163869 186402.06950415641767904, 537687.75503152632154524 186412.33974777918774635, 537641.44430419011041522 186474.73120600607944652))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,160233,,Rowden Parade,https://maps.london.gov.uk/brownfield-site-register,OSGB36,537438,191790,0.15,not owned by a public authority,yes,permissioned,full planning permission,42906,,,30,Residential development. Demolition of existing building and construction of 2 to 5 storey building including basement to provide 30 residential units (14 x 1 bed  11 x 2 bed and 5 x 3 bed). Amenitys space provision of 20 x surface level car parking spaces,,,,,,,,43075,43445,"Polygon ((537423.03932404145598412 191796.84190811187727377, 537423.95934458158444613 191797.26191340899094939, 537437.72964156849775463 191800.70193390792701393, 537462.65017369261477143 191805.47194094897713512, 537465.75008807063568383 191764.70108762150630355, 537427.14927678450476378 191760.84114958759164438, 537423.03932404145598412 191796.84190811187727377))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,162160,,676-678 High Road Leytonstone,https://maps.london.gov.uk/brownfield-site-register,OSGB36,539527,187461,0.15,not owned by a public authority,yes,permissioned,full planning permission,42760,,,9,Partial demolition of the existing building and construction of part one  part two-storey rear extension and a three-storey building comprising of retail floor space (Class use A1/A3  and nine residential units (3 x 1 bedroom  5 x 2 bedroom  1 x 3 bedroo,Partial demolition of the existing building and construction of part one  part two-storey rear extension and a three-storey building comprising of retail floor space (Class use A1/A3  and nine residential units (3 x 1 bedroom  5 x 2 bedroom  1 x 3 bedroo,,,,,,,43075,43445,"Polygon ((539522.91679207421839237 187466.28477651055436581, 539551.79729937808588147 187442.02416957233799621, 539541.80702413781546056 187423.23381823708768934, 539557.32731565099675208 187415.34359835792565718, 539555.56726576690562069 187411.65352862095460296, 539539.95697268913500011 187419.62375048408284783, 539538.02691988204605877 187416.09368467470631003, 539533.91683963977266103 187417.35372577677480876, 539516.79650771175511181 187423.23391002364223823, 539518.39655862259678543 187428.10400471260072663, 539525.85676562006119639 187442.53427530353656039, 539518.97665497125126421 187451.09447730821557343, 539513.51655947766266763 187455.79459439811762422, 539522.91679207421839237 187466.28477651055436581))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,171712,,428 Hale End Road,https://maps.london.gov.uk/brownfield-site-register,OSGB36,538595,191758,0.03,not owned by a public authority,yes,permissioned,full planning permission,43007,,,5,Construction of an additional floor and three storey infill side extension to provide a mixed use scheme comprising retail (Class A1)  dental surgery (Class D1)and five residential units (Class C3) comprising 4 x 1 bedroom and 1 x 2 bedroom units ,Construction of an additional floor and three storey infill side extension to provide a mixed use scheme comprising retail (Class A1)  dental surgery (Class D1)and five residential units (Class C3) comprising 4 x 1 bedroom and 1 x 2 bedroom units ,,,,,,,43075,43445,"Polygon ((538594.79337044944986701 191755.82676031067967415, 538609.63366801908705384 191753.406655861181207, 538607.80361701420042664 191749.80658823612611741, 538601.12342327460646629 191734.60629886452807114, 538596.86334752710536122 191737.93638326798100024, 538593.58329124609008431 191741.05645973852369934, 538593.0832840777002275 191741.91647933458443731, 538592.81328151212073863 191742.73649725975701585, 538592.68328286532778293 191743.83652045245980844, 538592.81329039507545531 191745.15654723416082561, 538594.79337044944986701 191755.82676031067967415))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,153229,,Gresham Works Rear of 1-3 Mornington Road,https://maps.london.gov.uk/brownfield-site-register,OSGB36,538764,194464,0.03,not owned by a public authority,yes,permissioned,other,42342,,,9,Change of use from (Class B) to (Class C3) - 9 flats,,,,,,,,43075,43445,"Polygon ((538754.85664268909022212 194470.92224181076744571, 538776.73706814250908792 194463.73201299423817545, 538779.70704286801628768 194440.14151491649681702, 538771.72687461948953569 194439.20152480126125738, 538770.79688695131335407 194447.79170561407227069, 538765.16677699924912304 194449.51176180533366278, 538756.4165917111095041 194448.26176811702316627, 538755.79659384989645332 194452.33185444481205195, 538756.26662301446776837 194457.63196217105723917, 538754.85664268909022212 194470.92224181076744571))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
