1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Unnamed: 28
Mandatory,Mandatory,Mandatory,Optional,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Optional,Mandatory,Optional,Optional,Optional,Optional,Mandatory,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Mandatory,Mandatory,Entry updated for 31/12/17?
OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,
http://opendatacommunities.org/id/district-council/east-northamptonshire,East Northamptonshire Council,BFR E26,,"7/Factory/Land Corner Of Station Road And Church Street, Irthlingborough, NN9 5SN",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1602,OSGB36,494797.52,270705.51,0.520886,not owned by a public authority,,permissioned,full planning permission,2016-05-04 00:00:00,"15/00990/FUL
http://bit.ly/2mtFCf1",,20,"15/00990/FUL - 20 No. two storey dwellings with associated access, parking and landscaping",Erection of 2No. retail units (1No. class A1 retail unit of 930 square metres and 1No. mixed use class A1/A3 unit of 130.55 square metres) ,,20,20,,15/00990/FUL,,2016-06-30 00:00:00,2017-12-31 00:00:00,
http://opendatacommunities.org/id/district-council/east-northamptonshire,East Northamptonshire Council,BFR E56,,"77 Kimbolton Road, Higham Ferrers, NN10 8HL",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1603,OSGB36,496307.57,268899.7,0.289833,not owned by a public authority,,permissioned,reserved matters approval,2010-04-29 00:00:00,"09/00405/REM 
http://bit.ly/2D94eOe ",,24,09/00405/REM - Reserved Matters: Landscaping associated with demolition of existing buildings and redevelopment of twenty four dwellings with associated external works pursuant to outline planning permission EN/04/02158/OUT dated 21/03/2006.,,,24,24,,09/00405/REM - Site under construction as at 31 March 2017.,,2016-06-30 00:00:00,2017-12-31 00:00:00,
http://opendatacommunities.org/id/district-council/east-northamptonshire,East Northamptonshire Council,BFR E65,,"Factory Premises, Oakley Road, Rushden, NN10 6UR",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1604,OSGB36,495068.93,267111.33,0.294131,not owned by a public authority,,not permissioned,,,,,14,,,,14,15,," Derelict Industrial Site where the former ""GBD Reproduction Furniture"" warehouse was located.",,2016-06-30 00:00:00,2017-12-31 00:00:00,
http://opendatacommunities.org/id/district-council/east-northamptonshire,East Northamptonshire Council,BFR E66,,"High Beech, 8 Hayway, Rushden, NN10 6ES",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1605,OSGB36,495591.94,267572.4,0.384095,unknown ownership,,permissioned,full planning permission,2015-03-11 00:00:00,"14/02228/FUL
http://bit.ly/2Dw68vW",,5,14/02228/FUL - Demolition of existing building and erection of five detached dwellings pursuant to planning permission 13/01585/FUL.,,,5,5,,14/02228/FUL,,2016-06-30 00:00:00,2017-12-31 00:00:00,
http://opendatacommunities.org/id/district-council/east-northamptonshire,East Northamptonshire Council,BFR E67,,"REXAM Factory, Upper Queen Street, Rushden, NN10 0DU",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1606,OSGB36,496208.16,267072.72,0.736937,unknown ownership,,permissioned,full planning permission,2015-10-21 00:00:00,"14/00683/FUL
http://bit.ly/2FILMh8
",,47,14/00683/FUL - Erection of 47 dwellings with associated access road including demolition of extensions and sheds to the rear of listed building,,,47,47,,14/00683/FUL - Site was under construction (and nearly complete) pursuant to extant permission at 31/03/2017. ,,2016-06-30 00:00:00,2017-12-31 00:00:00,
http://opendatacommunities.org/id/district-council/corby,Corby Borough Council,BFR C1,,"Car Park, Pytchley Court, Corby, NN17 2PL",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1594,OSGB36,486899.83,289698,0.379256,owned by a public authority,,not permissioned,,,"Previously proposed as a Housing Allocation (HA21) for 13 dwellings in the Proposed Site Specific Allocations Development Plan Document as consulted upon by Corby Borough Council in September 2009 (Saved Local Plan Policy R2).

",,9,,,,9,9,,,,2016-06-30 00:00:00,2017-12-31 00:00:00,Y
http://opendatacommunities.org/id/district-council/corby,Corby Borough Council,BFR C16,,"Garage Court, Lindisfarne Road, Corby, NN17 2HW",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1595,OSGB36,487568.06,290137.73,0.283413,owned by a public authority,,not permissioned,,,,,11,,,,11,11,,Majority of site is in public sector ownership but the remaining garages are private. Site considered in mutiple ownership as a result.,,2016-06-30 00:00:00,2017-12-31 00:00:00,Y
http://opendatacommunities.org/id/district-council/corby,Corby Borough Council,BFR C20,,"Maple House, Canada Square, Corby, NN18 9HU",http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1596,OSGB36,487035.92,287221.71,0.419532,owned by a public authority,,not permissioned,,,Pre-application discussions held previously by the owners and council held with a view to bringing site forward for Housing use. No planning application at November 2017.,,11,,,,11,11,,A Tree Preservation Order exists on site (TPO/2014/5),,2016-06-30 00:00:00,2017-12-31 00:00:00,Y
