OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,End Date
http://opendatacommunities.org/id/london-borough-council/brent,BR00003,"Ground, First and Second Floor, 328-330 High Road, Wembley, HA9 6AZ",https://maps.london.gov.uk/brownfield-site-register,-0.287413639,51.55366046,0.03,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,6,6,,,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00004,"Heron House, 109-115 Wembley Hill Road, Wembley, HA9 8DA",https://maps.london.gov.uk/brownfield-site-register,-0.287560814,51.55726467,0.15,not owned by a public authority,permissioned,full planning permission,24/05/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,40,40,,16/4156,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00005,"Stonebridge Primary School Annexe, Twybridge Way, London, NW10 0ST",https://maps.london.gov.uk/brownfield-site-register,-0.266283417,51.54272316,0.6,owned by a public authority,permissioned,full planning permission,24/06/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,67,67,,Most recent permission: 18/4810,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00006,"1 Olympic Way, Wembley, HA9 0NP",https://maps.london.gov.uk/brownfield-site-register,-0.278971333,51.56199228,0.54,not owned by a public authority,permissioned,other,19/12/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,227,227,,17/4538,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00008,"Olympic Office Centre, 8 Fulton Road, Wembley, HA9 0NU",https://maps.london.gov.uk/brownfield-site-register,-0.279097776,51.55931014,0.49,not owned by a public authority,pending decision,full planning permission,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,253,253,,17/5097,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00009,"205, 205A, 205B and Church Road car park and Building rear of 189-203 Church Road, London, NW10 9EP",https://maps.london.gov.uk/brownfield-site-register,-0.249060746,51.54826228,0.3,not owned by a public authority,permissioned,full planning permission,10/02/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,34,34,,13/1098,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00010,"Wembley Point, 1 Harrow Road, Wembley, HA9 6DE",https://maps.london.gov.uk/brownfield-site-register,-0.274157348,51.54464389,0.92,not owned by a public authority,permissioned,other,11/01/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,439,439,,18/3125,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00012,"Oman Avenue Garages, Oman Avenue, London",https://maps.london.gov.uk/brownfield-site-register,-0.227656555,51.55584779,0.42,not owned by a public authority,permissioned,full planning permission,30/03/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,7,7,,17/0500,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00013,"2 Atlip Road, Wembley, HA0 4LU",https://maps.london.gov.uk/brownfield-site-register,-0.297194304,51.54008385,2.58,not owned by a public authority,permissioned,full planning permission,26/05/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,99,99,,15/2061,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00020,"Land R/O 37-41, High Street, London, NW10",https://maps.london.gov.uk/brownfield-site-register,-0.247182741,51.53640922,0.1,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,12,12,,,15/12/2017,13/12/2019,
