OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/ua/E06000003,464,"Bridge House, Bridge Court, Normanby",https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202019/464_19.pdf,54.55582927,-1.159834262,0.17,not owned by a public authority,permissioned,full planning permission,,https://planning.redcar-cleveland.gov.uk/(S(uu2vptib0zpyew1olpkpck1q))/plaRecord.aspx?AppNo=R/2015/0645/FFM,yes,12,12,,Permission expired June 2019. Building remains in use as care home.,10/11/2017,03/12/2019,03/12/2019
http://opendatacommunities.org/id/geography/administration/ua/E06000003,136,"Wilton Lane, Guisborough",https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202019/136_19.pdf,54.53952405,-1.054712451,0.27,not owned by a public authority,permissioned,full planning permission,,https://planning.redcar-cleveland.gov.uk/(S(uu2vptib0zpyew1olpkpck1q))/plaRecord.aspx?AppNo=R/2017/0407/FFM,yes,14,14,,Site under development.,10/11/2017,03/12/2019,03/12/2019
http://opendatacommunities.org/id/geography/administration/ua/E06000003,387,"Land Adjacent Ryehills School, Redcar",https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202019/387_19.pdf,54.6050446,-1.057576039,1.4,owned by a public authority,permissioned,full planning permission,,,yes,49,49,,Site under development.,10/11/2017,03/12/2019,03/12/2019
http://opendatacommunities.org/id/geography/administration/ua/E06000003,360,"Former Rosecroft School, Rosecroft Lane, Loftus",https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202019/360_19.pdf,54.55070842,-0.891034741,1.38,owned by a public authority,permissioned,full planning permission,,,yes,69,69,,Site under development.,10/11/2017,03/12/2019,03/12/2019
http://opendatacommunities.org/id/geography/administration/ua/E06000003,389,"Hummersea Hills Phase 1, Loftus",https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202019/389_19.pdf,54.55768836,-0.886762733,0.41,not owned by a public authority,permissioned,full planning permission,08/03/2010,https://planning.redcar-cleveland.gov.uk/(S(y3dqliq10gifg4sfkqqfuc4f))/plaRecord.aspx?AppNo=R/2009/0766/FFM,,17,17,,Comprises remaining development area on extant consent at phase 1 .,10/11/2017,03/12/2019,
http://opendatacommunities.org/id/geography/administration/ua/E06000003,392,"Hummersea Hills Phase 2, Loftus",https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202019/392_19.pdf,54.55740199,-0.889832332,3.11,not owned by a public authority,permissioned,full planning permission,04/11/2011,https://planning.redcar-cleveland.gov.uk/(S(y3dqliq10gifg4sfkqqfuc4f))/plaRecord.aspx?AppNo=R/2011/0375/FFM,,104,104,,"Site excludes 1.0ha associated public open space which is part of the planning permission and is adjacent to the site.
Comprises remaining dwellings on phase 2 and excludes separate permission on part of the site for 60 extra-care apartments which is expected to lapse in June 2018. The figure of 104 includes 34 dwellings previously proposed on the apartment permission site. ",10/11/2017,03/12/2019,
http://opendatacommunities.org/id/geography/administration/ua/E06000003,457,"Former Abattoir Site, Boosbeck",https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202019/457_19.pdf,54.54463979,-0.983965932,0.81,not owned by a public authority,permissioned,outline planning permission,22/02/2017,https://planning.redcar-cleveland.gov.uk/(S(uu2vptib0zpyew1olpkpck1q))/plaRecord.aspx?AppNo=R/2016/0759/OOM,,31,31,,"Local Plan Housing Allocation
https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf
Part of larger allocation site (4.3ha.) site with outline permission for 69 dwellings. Rest of allocation is currently Council owned open space.",10/11/2017,03/12/2019,
http://opendatacommunities.org/id/geography/administration/ua/E06000003,456,"Former Handale Primary School, Loftus",https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202019/456_19.pdf,54.5542369,-0.892608846,0.28,owned by a public authority,permissioned,,,,,10,10,,Permission granted October 2019 for non-resiodential uses.,10/11/2017,03/12/2019,03/12/2019
http://opendatacommunities.org/id/geography/administration/ua/E06000003,376,"Land at Park Lane, Guisborough",https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202019/376_19.pdf,54.53659616,-1.05726839,0.48,owned by a public authority,not permissioned,,,,,20,20,,"Local Plan Housing Allocation
https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf",10/11/2017,03/12/2019,
http://opendatacommunities.org/id/geography/administration/ua/E06000003,405,"Land at Stanghow Road, Skelton",https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202019/405_19.pdf,54.56026274,-0.972612912,0.33,not owned by a public authority,not permissioned,,,,,10,10,,"Local Plan Housing Allocation
https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf",10/11/2017,03/12/2019,
http://opendatacommunities.org/id/geography/administration/ua/E06000003,472,"Former Salvation Army Hall, Bolckow Street, Eston ",https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202019/472_19.pdf,54.55776298,-1.140836847,0.18,not owned by a public authority,permissioned,full planning permission,03/08/2016,https://planning.redcar-cleveland.gov.uk/(S(uy1ufumhnyqs3jgp1edp505h))/plaRecord.aspx?AppNo=R/2016/0181/FF,yes,6,6,,Permission expired 2019.  Building remains in use as storage depot.,10/11/2017,03/12/2019,03/12/2019
http://opendatacommunities.org/id/geography/administration/ua/E06000003,135,"Low Grange Farm (part), South Bank",https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202019/135_19.pdf,54.57673748,-1.165608144,11.2,not owned by a public authority,permissioned,outline planning permission,31/03/2016,https://planning.redcar-cleveland.gov.uk/Planning/Display?applicationNumber=R%2F2014%2F0372%2FOOM,,438,438,,"Local Plan Housing Allocation
https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf
This site comprises a cleared housing area and a former landfill site and forms part of a larger (32ha.) area of land at Low Grange Farm with outline planning permission for up to 1,250 dwellings which was granted for a period of 10 years, to 2026, to reflect the scale and market location of the site.",11/12/2018,03/12/2019,
