PublisherLabel,PublisherURI,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-1,,"Lichfield Highway Depot, Trent Valley Road, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,413223,309288,1.37,owned by a public authority,yes,not permissioned,,,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=0000778OUT,,52,Highways depot and waste/recycling centre and associated car parking.,,,52,57,,,No alternative site for current uses identified by land owner (SCC) therefore considered to be uncertain in terms of delivery. However would represent potential brownfield option.,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-2,,"Land rear of Chase Terrace Primary School, Rugeley Road, Burntwood",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,404724,309499,1.56,owned by a public authority,yes,permissioned,full planning permission,27/06/2017 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OD4GTVJEH0R00,,12,"Derelict land to rear of school, formerly car park.",,,12,12,,,"Allocated in adopted local plan, site is under construction",17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-3,,"Land at Maple Close, Burntwood",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,405031,309072,1.33,owned by a public authority,yes,not permissioned,,,,,29,"Former primary school building, currently used as offices. Large grassed area to rear",,,29,35,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-4,,"Whittington Youth Centre, Main Street, Whittington",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,416069,308312,0.32,owned by a public authority,yes,permissioned,full planning permission,26/02/2018 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OV1GADJELRR00,,8,Derelict buildings of former youth centre and tarmacked play ground,,,8,8,,,"Allocated in adopted local plan,",17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-5,,"Minster Hall Youth Centre, Bird Street, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,411695,309615,0.15,owned by a public authority,yes,not permissioned,,,,,13,Youth centre buildings,,,13,17,,,Site promoter suggests site is still available,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-6,,"Shenstone Business Park and Birchbrook Industrial Estate, Lynn Lane, Shenstone",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,410545,304567,2.09,not owned by a public authority,yes,pending decision,,,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PMIF2TJELRO00,,45,Several small to medium sized buildings used for employment uses and associated car parking,Made' Neighbourhood Plan requires 1000sqm of B1/B1a floorspace to be provided as part of scheme for the site.,,45,55,,,Allocated through 'made' Shenstone neighbourhood plan and adopted local plan. Planning application submitted,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-7,,"Former Lichfield Tennis Club, St Johns Hospice, Birmingham Road, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,411646,309035,0.45,not owned by a public authority,yes,not permissioned,,,,,16,Derelict club house and concrete tennis courts,,,16,20,,,Proposed for allocation in LPA. Adjacent part of site currently under construction for residential development.,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-8,,"Former Integra Works, Eastern Avenue, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,412163,311522,2.8,not owned by a public authority,yes,permissioned,full planning permission,16/12/2016 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=O7UCICJEFNJ00,,99,"Derelict land, former site of large industrial unit. Redevelopment currently under construction",,,99,99,,,Site currently under construction. Proposed for allocation in LPA,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-9,,"St Chads House, Cross Keys, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,411738,309715,0.15,not owned by a public authority,yes,permissioned,full planning permission,17/05/2018 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=P4QZLAJEGP900,,12,Three storey office building,,,12,12,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-11,,"Packington Hall, Tamworth Road",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,416338,306325,2.31,not owned by a public authority,yes,permissioned,full planning permission,05/11/2018 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=P2G5QDJEG2R00,,24,Listed Building to front of site with large modular warehousing to rear,,,28,28,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
