OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority,DataUpdate
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-5067,, 146a Landells Road  SE22 9PL,,OSGB3,534107.95999999996,174456.67999999999,0,Unknown ownership,yes,Permissioned,planning permission ,2017-01-16,,,1,"Change of use of a building and its curtilage from Class B8 (storage or
distribution) to Class C3 (dwelling houses).",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/11376/FULL,,"Dev Site At 19-35 Baker Street, 88-110 George Street, 69-71 Blandford Street And 30Gloucester PlaceLondon",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/11376/FULL,OSGB36,527993.90121768403,181463.23201091401,0.2784500117,Unknown ownership,,Pending decision,,,,,11,"Demolition of the existing buildings at 19-35 Baker Street, 88-110 George Street, 69-71 Blandford Street and redevelopment to create a mixed use scheme providing offices (Class B1), retail (Class A1 a",,,0,0,,,5-15 House Supply,2017-11-30,2017-11-30,Westminster,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-0675,," Unit 1, Old Stable House Between 53 And 55 North Cross Road  SE22 9ET",,OSGB3,533912.66000000003,174917.26000000001,0,Unknown ownership,yes,Permissioned,planning permission ,2016-04-19,,,1,Change of use from Office (Class B1a) to a residential dwelling (Class C3) to provide 1 x 1 bed plus study unit.,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,15-AP-1883,, 80 Peckham High Street  SE15 5ED,,OSGB3,534185.08999999997,176719.23000000001,0,Unknown ownership,yes,Permissioned,full planning permis,2015-07-09,,,2,"Erection of mixed use development comprising ground floor Class A1 retail space and 2 x self contained flats
above.","Erection of mixed use development comprising ground floor Class A1 retail space and 2 x self contained flats
above.",,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-4063,, 5 Draymans Mews  SE15 4PW,,OSGB3,533756.52000000002,176126.76999999999,0,Unknown ownership,yes,Permissioned,full planning permis,2017-01-13,,,1,Conversion of 4 storey house into a self contained flat and a 3 storey maisonette,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2009/1858,,1-3 Mount Pleasant Road London N17 6TR London,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=206086,ETRS89,-0.078967999999999997,51.589325000000002,0,Not owned by a public authority,yes,Permissioned,full planning permis,2010-07-27,,,4,"Demolition of existing building and erection of part thtee storey/ part two-storey block to accommodate a mixed use development comprising of 1 x Office (A2), 4 residential units consisting of 2 x two",65sqm B1a floorspace,,,,,,,,,Haringey,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,15-AP-1900,, 97 Azenby Road  SE15 5AJ,,OSGB3,533637.66000000003,176276.35999999999,0,Unknown ownership,yes,Permissioned,full planning permis,2015-09-09,,,1,Change of use of a vacant shop unit (A1 Class) to a studio flat (Use Class C3a),,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,HS002,,Lttle Church Street,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=HS002,OSGB36,527090.41732359095,182115.82313245899,0.0047728750000000002,Unknown ownership,,Not permissioned,,,,,20,"The Little Church Street site currently comprises 45 homes. If redeveloped, the site has the potential to deliver around 65 new homes.",,,0,0,,,5-15 House Supply,2017-11-30,2017-11-30,Westminster,2018
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2016/3169,,Garage at rear 19 Willoughby Road London N8 0JE,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=294779,ETRS89,-0.1041,51.588535,0,Not owned by a public authority,yes,Permissioned,full planning permis,2017-01-27,,,1,"Construction of a part 1, part 2 storey dwelling (C3) with accommodation at basement level following demolition of existing single detached lock up garage (sui generis)",,,,,,,,,,Haringey,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,14-AP-1125,, 15 Winchester Walk  SE1 9AG,,OSGB3,532557.66000000003,180345.63,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-01-19,,,3,ERECTION OF A NEW FOUR STOREY EXTENSION OVER EXISTING ELECTRICITY SUBSTATION TO PROVIDE X3 TWO BED UNITS.,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
