OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/south-derbyshire,SOUTH DERBYSHIRE DISTRICT COUNCIL,9/2014/0300,,"""47-51  ALEXANDRA ROAD, SWADLINCOTE"" ",http://maps.south-derbys.gov.uk/ishareLIVE.Web/atmyresponsivecouncil.aspx?MapSource=mapsources/AllMaps&StartEasting=429784.96412936&StartNorthing=319352.67195786&StartZoom=500&o=1&Layers=Brownfield_Land_Register,OSGB36,429782,319351,0.19,not owned by a public authority,yes,permissioned,full planning permission,15/12/2014,,,12,"""THE RESIDENTIAL DEVELOPMENT TO FORM 12 HOUSES INCLUDING PROVISION OF PARKING AND GARDENS""",,,,,,http://www.planning.south-derbys.gov.uk/ApplicationDetail.aspx?Ref=9/2014/0300,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/south-derbyshire,SOUTH DERBYSHIRE DISTRICT COUNCIL,9/2015/0396,,"""145 OVERSETTS ROAD, NEWHALL, SWADLINCOTE, DERBYSHIRE"" ",http://maps.south-derbys.gov.uk/ishareLIVE.Web/atmyresponsivecouncil.aspx?MapSource=mapsources/AllMaps&StartEasting=428416.55416639&StartNorthing=320405.77613859&StartZoom=500&o=1&Layers=Brownfield_Land_Register,OSGB36,428414,320405,0.27,not owned by a public authority,yes,permissioned,full planning permission,23/01/2017,,,6,"""THE ERECTION OF 6 3-BED DWELLINGS""",,,,,,http://www.planning.south-derbys.gov.uk/ApplicationDetail.aspx?Ref=9/2015/0396,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/south-derbyshire,SOUTH DERBYSHIRE DISTRICT COUNCIL,9/2016/0322,,"""FORMER BRETBY POTTERY SITE, SWADLINCOTE ROAD, WOODVILLE, SWADLINCOTE, DERBYSHIRE""",http://maps.south-derbys.gov.uk/ishareLIVE.Web/atmyresponsivecouncil.aspx?MapSource=mapsources/AllMaps&StartEasting=431193.54670677&StartNorthing=319141.94149361&StartZoom=500&o=1&Layers=Brownfield_Land_Register,OSGB36,431192,319141,0.45,not owned by a public authority,yes,permissioned,full planning permission,09/11/2016,,,27,"""RESIDENTIAL DEVELOPMENT OF 27 AFFORDABLE HOUSING UNITS""",,,,,,http://www.planning.south-derbys.gov.uk/ApplicationDetail.aspx?Ref=9/2016/0322,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/south-derbyshire,SOUTH DERBYSHIRE DISTRICT COUNCIL,9/2015/0730,,"""STENSON HOUSE BARN, STENSON ROAD, STENSON, DERBY, DERBYSHIRE""",http://maps.south-derbys.gov.uk/ishareLIVE.Web/atmyresponsivecouncil.aspx?MapSource=mapsources/AllMaps&StartEasting=432568.95147353&StartNorthing=330140.28546269&StartZoom=500&o=1&Layers=Brownfield_Land_Register,OSGB36,432534,330118,0.11,not owned by a public authority,,permissioned,full planning permission,02/10/2015,,,1,"""CHANGE OF USE OF EXISTING WORKSHOP BUILDING TO A LIVE WORK UNIT WITH ASSOCIATED EXTERNAL WORKS""",,,,,,http://www.planning.south-derbys.gov.uk/ApplicationDetail.aspx?Ref=9/2015/0730,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/south-derbyshire,SOUTH DERBYSHIRE DISTRICT COUNCIL,9/2013/0342,,"""MILL GREEN HOUSE, SCROPTON, DERBYSHIRE""",http://maps.south-derbys.gov.uk/ishareLIVE.Web/atmyresponsivecouncil.aspx?MapSource=mapsources/AllMaps&StartEasting=419620.89815178&StartNorthing=329967.38866484&StartZoom=1500&o=1&Layers=Brownfield_Land_Register,OSGB36,419398,330005,2.96,not owned by a public authority,yes,permissioned,full planning permission,28/08/2013,,,6,"""THE ERECTION OF SIX DWELLINGS WITH IMPROVEMENTS TO SITE ACCESS AND TO BROOK LANE/ LEATHERSLEY LANE JUNCTION""",,,,,,http://www.planning.south-derbys.gov.uk/ApplicationDetail.aspx?Ref=9/2013/0342,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/south-derbyshire,SOUTH DERBYSHIRE DISTRICT COUNCIL,LP HOUSING POLICY 7,,"""LAND AT THE MEASE, HILTON, DERBYSHIRE""",http://maps.south-derbys.gov.uk/ishareLIVE.Web/atmyresponsivecouncil.aspx?MapSource=mapsources/AllMaps&StartEasting=425260.77725715&StartNorthing=329736.89034843&StartZoom=1500&o=1&Layers=Brownfield_Land_Register,OSGB36,425262,329741,16.91,not owned by a public authority,,permissioned,reserved matters approval,11/12/2015,,,485,"""OUTLINE APPLICATION WITH ALL MATTERS EXCEPT ACCESS RESERVED FOR FUTURE APPROVAL FOR A MIXED USED DEVELOPMENT COMPRISING UP TO 485 DWELLINGS"" ","""EMPLOYMENT UNITS FOR USE AS OFFICES AND/OR LIGHT INDUSTRY (USE CLASSES B1 A & C), GENERAL INDUSTRY (USE CLASS B2) AND/OR STORAGE OR DISTRIBUTION (USE CLASS B8), PRIMARY SCHOOL, COMMUNITY FACILITIES INCLUDING DOCTORS, DENTIST AND/OR CRECHE (USE CLASSES D1), RETAIL (USE CLASS A1) AND OTHER SERVICE USES CONSISTING OF FINANCIAL AND PROFESSIONAL SERVICES (USE CLASS A2 ), RESTAURANTS AND CAFES (USE CLASS A3) AND/OR HOT FOOD TAKEAWAYS (USE CLASS A5) AND ASSEMBLY AND LEISURE (USE CLASS D2) ALONG WITH ASSOCIATED ACCESS, PARKING, FOOTPATH/CYCLEWAYS, PUBLIC OPEN SPACE INCLUDING ALLOTMENTS, LANDSCAPING AND OTHER INFRASTRUCTURE""",,,,,http://www.planning.south-derbys.gov.uk/ApplicationDetail.aspx?Ref=9/2013/1044,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/south-derbyshire,SOUTH DERBYSHIRE DISTRICT COUNCIL,9/2011/0329,,"""FORMER KATHGLOW PREMISES, DOMINION ROAD, SWADLINCOTE, DERBYSHIRE""",http://maps.south-derbys.gov.uk/ishareLIVE.Web/atmyresponsivecouncil.aspx?MapSource=mapsources/AllMaps&StartEasting=429903.06697713&StartNorthing=320104.21860854&StartZoom=500&o=1&Layers=Brownfield_Land_Register,OSGB36,429900,320103,0.2,not owned by a public authority,yes,permissioned,full planning permission,24/08/2011,,,12,"""THE RESIDENTIAL DEVELOPMENT OF 12 DWELLINGS""",,,,,,http://www.planning.south-derbys.gov.uk/ApplicationDetail.aspx?Ref=9/2011/0329,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/south-derbyshire,SOUTH DERBYSHIRE DISTRICT COUNCIL,9/2009/1026,,"""BARLEY MOW, PARK ROAD, CHURCH GRESLEY, DERBYSHIRE""",http://maps.south-derbys.gov.uk/ishareLIVE.Web/atmyresponsivecouncil.aspx?MapSource=mapsources/AllMaps&StartEasting=430128.33606964&StartNorthing=318971.06956367&StartZoom=400&o=1&Layers=Brownfield_Land_Register,OSGB36,430126,318970,0.08,not owned by a public authority,yes,permissioned,full planning permission,06/03/2013,,,8,"""THE CHANGE OF USE AND CONVERSION OF THE PUBLIC HOUSE INTO FOUR APARTMENTS, THE REBUILDING OF A SINGLE UNIT AT THE REAR AND THE ERECTION OF THREE DWELLINGS""",,,,,,http://www.planning.south-derbys.gov.uk/ApplicationDetail.aspx?Ref=9/2009/1026,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/south-derbyshire,SOUTH DERBYSHIRE DISTRICT COUNCIL,LP HOUSING POLICY 23K,,"""H K WENTWORTH FACTORY & ARRIVA BUS DEPOT, MIDLAND ROAD, SWADLINCOTE, DERBYSHIRE""",http://maps.south-derbys.gov.uk/ishareLIVE.Web/atmyresponsivecouncil.aspx?MapSource=mapsources/AllMaps&StartEasting=430065.91887752&StartNorthing=319948.87470792&StartZoom=500&o=1&Layers=Brownfield_Land_Register,OSGB36,430064,319948,1.48,not owned by a public authority,yes,permissioned,full planning permission,16/02/2016,,,57,"""THE ERECTION OF 57 TWO, THREE & FOUR BEDROOM DWELLINGS AND ASSOCIATED HIGHWAYS AND PARKING""",,,,,,http://www.planning.south-derbys.gov.uk/ApplicationDetail.aspx?Ref=9/2015/0498,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/south-derbyshire,SOUTH DERBYSHIRE DISTRICT COUNCIL,9/2013/0675,,"""HILLTOP NURSING HOME, COLLIERY ROAD, CHURCH GRESLEY, SWADLINCOTE, DERBYSHIRE""",http://maps.south-derbys.gov.uk/ishareLIVE.Web/atmyresponsivecouncil.aspx?MapSource=mapsources/AllMaps&StartEasting=429207.98804633&StartNorthing=318110.47420512&StartZoom=400&o=1&Layers=Brownfield_Land_Register,OSGB36,429207,318110,0.13,not owned by a public authority,,permissioned,full planning permission,15/04/2016,,,15,"""CONVERSION OF EXISTING RESIDENTIAL NURSING HOME AND ASSOCIATED ACCOMMODATION INTO RESIDENTIAL APARTMENTS""",,,,,,http://www.planning.south-derbys.gov.uk/ApplicationDetail.aspx?Ref=9/2013/0675,,31/12/2017,06/12/2018
