Organisation Label,Organisation Uri,Brownfield Register Reference,Local Plan Site Allocation Reference / SLAA Site Reference,Site Address ,Co-ordinate Reference System,Eastings (Geo X),Northings (Geo Y),Area (ha),Ownership Status,Type of Permission ,Planning Status,Planning Application Reference,Site Plan URL,Planning History URL,Description of Proposed Development,Minimum amount of Dwellings,Maximum amount of Dwellings,Non-housing development,Additional Notes ,Date Entered on Part 1 of Brownfield Register,Information Updated
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR001,BUCK.R1,St. Just 1 Powell Road Buckhurst Hill IG9 5RF,OSGB36,541743.0,194345.0,0.84,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,31,31,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR002,BUCK.R2,"Lower Car Park,Queens Road Buckhurst Hill IG9 5BZ ",OSGB36,541837.0,193716.0,0.43,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,41,41,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR003,BUCK.R3,2-7 Lower Queens Road Buckhurst Hill IG9 6DL,OSGB36,541844.0,193772.0,0.3,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,15,15,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR004,CHIG.R1,Grove Lane Chigwell IG7 6JF,OSGB36,545933.0,193364.0,0.62,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/0329/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,12,12,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR005,CHIG.R2,Woodview Lambourne Road Chigwell IG7 6HX,OSGB36,545733.0,192970.0,1.32,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2473/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,23,23,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR006,CHIG.R5,245 High Road Chigwell IG7 5BL,OSGB36,543318.0,192560.0,1.66,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,65,65,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR007,CHIG.R7,801-803 Chigwell Road Woodford Bridge IG8 8AU,OSGB36,542951.0,192182.0,1.67,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,28,28,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR008,CHIG.R9,Grange Court 72 High Road Chigwell IG7 6PT,OSGB36,544109.0,193672.0,0.42,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,8,8,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR009,CHIG.R10,The Maypole 171 Lambourne Road Chigwell IG7 6EF,OSGB36,546412.0,193341.0,0.21,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,11,11,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR010,CHIG.R6,The Limes Estate Chigwell IG7 5LP,OSGB36,544653.0,191979.0,22.59,Mixed Ownership,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,100,100,,,2018-03-05,
