OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Alternative Reference
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC001,,Sangster Court Church Road Rayleigh SS6 8PZ,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,581525.6,190573.4,0.31,not owned by a public authority,,not permissioned,,,,,9.0,,,,9.0,12,,,Site from 2017 SHELAA,2017-12-28,2019-11-21,
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC002,,Lime Court and Poplar Court Greensward Lane Hockley SS5 5HB,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,584347.34,192843.36,0.6,not owned by a public authority,,not permissioned,,,,,18.0,,,,18.0,24,,,Site from 2017 SHELAA,2017-12-28,2019-11-21,
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC003,,Former Adult Community College Rocheway Rochford SS4 1DQ,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,588121.27,190546.56,1.05,owned by a public authority,yes,permissioned,,,http://maps.rochford.gov.uk/DevelopmentControl.aspx?pageno=1&pagerecs=10&maxrecords=100&template=DevelopmentControlResults.tmplt&requestType=parseTemplate&history=96d2ceb3f4934fe195f5942e26f9b9dc&usesearch=true&order=DATEAPRECV%3ADESCENDING&q%3ALIKE=Adult+Community+College,,74.0,"Proposed Demolition of Vacant Adult Community Learning Centre and Redevelopment of the Site to Accommodate a 60 Unit Independent Living Residential Home (Class C2) With Associated Infrastructure and Car Park, and 14 Dwelling Houses (Class C3), Vehicle Access and Hard and Soft Landscaping",,,74.0,74,,,"Site falls within Green Belt and adjacent to Open Space. Development went to development committee on 19 October 2017, Section 106 agreement completed 14th March 2018.",2017-12-28,2019-11-21,17/00102/FUL
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC004,,Castle Road Recycling Centre Rayleigh SS6 7RP,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,580668.96,190182.09,0.31,owned by a public authority,yes,not permissioned,,,,,9.0,,,,9.0,12,,,Site from 2017 SHELAA,2017-12-28,2019-11-21,
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC005,,Eldon Way/Foundry Industrial Estate Hockley ,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,584149.93,192771.26,4.6,mixed ownership,,not permissioned,,,http://maps.rochford.gov.uk/DevelopmentControl.aspx?pageno=1&pagerecs=10&maxrecords=100&template=DevelopmentControlResults.tmplt&requestType=parseTemplate&history=96d2ceb3f4934fe195f5942e26f9b9dc&usesearch=true&order=DATEAPRECV%3ADESCENDING&q%3ALIKE=15%2F00144%2FOUT,,150.0,,,,150.0,150,,https://www.rochford.gov.uk/sites/default/files/documents/files/planning_all_allplan.pdf,"Site is allocated for residential development in the Rochford District Council Allocations Plan 2014. A small part of the site was approved for 20 dwellings at a development committee in March 2016, awaiting Section 106 agreement as at September 2019.",2017-12-28,2019-11-21,
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC006,,Stambridge Mills Rochford,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,588694.47,190373.25,1.84,not owned by a public authority,,not permissioned,,,,,41.0,,,,41.0,115,,https://www.rochford.gov.uk/sites/default/files/documents/files/planning_all_allplan.pdf,Site is allocated for residential development in the Rochford District Council Allocations Plan 2014. ,2017-12-28,2019-11-21,
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC007,,Rawreth Industrial Estate Rayleigh,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,579578.89,192244.07,6.2,mixed ownership,,not permissioned,,,,,93.0,,,,93.0,140,,https://www.rochford.gov.uk/sites/default/files/documents/files/planning_all_allplan.pdf,Site is allocated for residential development in the Rochford District Council Allocations Plan 2014. ,2017-12-28,2019-11-21,
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC010,,5A Castle Road Rayleigh SS6 7QD,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,580447.32,190483.74,0.06,not owned by a public authority,yes,permissioned,full planning permission,2015-10-15,http://maps.rochford.gov.uk/DevelopmentControl.aspx?pageno=1&pagerecs=10&maxrecords=100&template=DevelopmentControlResults.tmplt&requestType=parseTemplate&history=96d2ceb3f4934fe195f5942e26f9b9dc&usesearch=true&order=DATEAPRECV%3ADESCENDING&q%3ALIKE=5A+Castle+Road,,9.0,Change of Use From Gymnasium/Beauty Salonn to 6No 1-bed and 1No. 2-bed Self-contained Flats to Ground and First Floors and add Additional Floor With 2 No 1-bed Flats,,,9.0,9,,,Planning permission expired,2017-12-28,2019-11-21,
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC013,,Bullwood Hall Bullwood Hall Lane Hockley ,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,582530.82,191628.21,3.6,not owned by a public authority,yes,permissioned,outline planning permission,2015-12-16,http://maps.rochford.gov.uk/DevelopmentControl.aspx?pageno=1&pagerecs=10&maxrecords=100&template=DevelopmentControlResults.tmplt&requestType=parseTemplate&history=96d2ceb3f4934fe195f5942e26f9b9dc&usesearch=true&order=DATEAPRECV%3ADESCENDING&q%3ALIKE=Site+of+Bullwood+Hall,,60.0,"Outline Application to Demolish Existing Prison Complex Buildings, Convert Bullwood Hall into Terrace of Three Houses Incorporating Extension, Provide Residential Development of  60no. Dwellings, Alterations to Access and Access Road",,,60.0,72,,,Site forms part of the Council's housing land trajectory.,2017-12-28,2019-11-21,15/00379/OUT
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC017,,Timber Grove London Road Rayleigh ,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,579318.35,191954.87,3.03,not owned by a public authority,yes,permissioned,,,,,83.0,,,,83.0,91,,,This site forms a small part of the housing allocation Policy SER1 of the Rochford District Council Allocations Plan (2014),2017-12-28,2019-11-21,16/00899/FUL
