SiteReference,SiteName,SiteAddress,UPRN,CoordinateReferenceSystem,GeoX,GeoY,Hectares,PlanningStatus,PlanningHistory,Constraints,OwnershipStatus,Owners,HousingEstimate,MinHomes,Events,Notes,OrganisationURI,OrganisationLabel,FirstAddedDate,LastUpdatedDate
BR1,Caravan Storage Site,"Harton View, West Boldon",,EPSG,435217,561244,0.7,Not Permissioned,Allocated for housing development in the LDF,Landscape Character Study 2012,Not in Public Ownership,,19,19,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR2,Former Depot/storage yard and residential gardens,"Hardie Drive, West Boldon",,EPSG,435399,561349,0.14,Not Permissioned,Allocated for housing development in the LDF,Landscape Character Study 2012,Unknown,,4,4,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR3,Residential garages,"Hindmarch Drive, West Boldon",,EPSG,435773,561478,0.24,Not Permissioned,Allocated for housing development in the LDF,Landscape Character Study 2012,Public Ownership,,7,7,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR4,Cleadon North Farm farmstead (north),"Shields Road, Cleadon",,EPSG,438250,562839,0.6,Not Permissioned,,Site is located in the Green Belt,Not in Public Ownership,,14,14,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR5,Garage block,"Wark Crescent, Jarrow",,EPSG,432899,562693,0.08,Permissioned,ST/1145/15/LAA,,Not in Public Ownership,,8,8,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR6,Hebburn Regeneration area,"Victoria Road West, Hebburn",,EPSG,430743,564383,7.5,Not Permissioned,Allocated for housing development in the LDF,Site is within a Mineral Safeguarding Area,Public Ownership,,100,100,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR7,Ashworth Frazer Industrial Estate and Hebburn Community Centre,"Station Road/Argyle Street, Hebburn",,EPSG,430794,564801,2.7,Not Permissioned,Allocated for housing development in the LDF,Area for further investigation in relation to contamination.,Not in Public Ownership,,100,100,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR8,Garage and car wash,"Victoria Road East, Hebburn",,EPSG,432096,564985,0.5,Not Permissioned,Allocated for housing development in the LDF,Area for further investigation in relation to contamination.,Unknown,,18,18,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR9,Campbell Park Road Civic Site/Hebburn Police Station,"Campbell Park Road/Victoria Road East, Hebburn",,EPSG,431579,564436,3.1,Not Permissioned,Allocated for housing development in the LDF,Site is within a Mineral Safeguarding Area,Public Ownership,,93,93,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR10,Former Short Circuit testing Centre/Trench UK,"Victoria Road West/South Drive, Hebburn",,EPSG,430403,563508,10.4,Not Permissioned,,Area of further investigation in relation to contamination.,Not in Public Ownership,,300,300,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
