OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/bradford,AD/022,"Church Street/Main Street, Addingham",-1.873512,53.941284,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=408368.23,449443.6,408439.8,449500.52,27700",0.24,owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9301120OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JWFJFXDH0BY00&activeTab=summary|https://planning.bradford.gov,7,10,yes,"Site currently in use for winter grit storage, it is likely to be brought to the market in the near future",2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,BA/026,"Baildon Golf Clubhouse, Moorgate, Baildon",-1.770028,53.856189,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415192.55,439992.7506,415252.6502,440044.8209,27700",0.17,not owned by a public authority,,permissioned,full planning permission,2015-04-17,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J6M85DDHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J6MBC9DHU8000&activeTab=summary|https://planning.bradford.,0,0,yes,. Current golf clubhouse with planning permission for demolition and redevelopment of land for 5 homes,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,BA/031,"Knoll Terrace, Denby Drive, Baildon",-1.776479,53.841177,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414783.66,438334.89,414827.9683,438361.2846,27700",0.1,owned by a public authority,,permissioned,full planning permission,2017-05-12,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NK0MSRDHLT000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=P0YF9ADHIFB00&activeTab=summary|https://planning.bradford.,0,0,yes,. Site with permission for 5 townhouses,2018-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,BI/001,"Victoria Street, Bingley",-1.835429,53.846341,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=410869.12,438866.7167,410975.5,438956.85,27700",0.39,not owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7902222FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KLZZDFDHFH000&activeTab=summary|https://planning.bradford.gov,20,38,yes,Work is starting to demolish and clear the site. The site is suitable for residential and/or mixed uses,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,BI/006,"Keighley Road, Crossflatts",-1.849875,53.863434,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=409886.75,440772.3728,410033.0978,440851.75,27700",0.74,not owned by a public authority,,permissioned,outline planning permission,2018-08-14,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JAZL9KDHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8075881FUL&activeTab=summary|https://planning.bradford.gov,0,0,yes,. Permission for 10 units,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,BI/021,"Gilstead Water works. Warren Lane, Eldwick",-1.820422,53.850628,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=411748.3,439245.511,412063.39,439513.06,27700",4.49,owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7504010FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=K0RI78DH0A600&activeTab=summary|https://planning.bradford.gov,138,169,,Site currently in use as water works. The owner has indicated that the site will be available when the site is no longer required.,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,BI/038,"Marley Court, Crossflatts",-1.850887,53.866342,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=409833.925,441101.1428,409964.5261,441165.097,27700",0.3,owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=L3UR9SDH0DX00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LJP2W3DHC1000&activeTab=summary|https://planning.bradford.,12,15,yes,Cleared site with expired permission. The owners intends resubmitting a planning application in the near future,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,BI/039,"Former Bingley Auction Mart, Keighley Road",-1.842006,53.854321,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=410393.85,439672.97,410567.2,439900.0,27700",1.76,not owned by a public authority,,pending decision,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7801452DUMMY&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7801565FUL&activeTab=summary|https://planning.bradford.gov.,0,0,yes,The site is considered suitable for mixed use. It has been acquired by a retirement home developer. 104 units under consideration for elderly people,2018-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,BU/011,"Greenholme Mills, Great Pasture Lane, Burley in Wharfedale",-1.745905,53.917176,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416699.1,446668.45,416875.218,446970.63,27700",2.89,not owned by a public authority,,permissioned,full planning permission,2017-02-27,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NLTNXBDHLT000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=OURT6XDH0CY00&activeTab=summary|https://planning.bradford.,0,0,yes,. Land and buildings with permission for conversion and new build.,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/001,"Fulton Street/Tetley Street/ Sunbridge Road, City Centre",-1.758903,53.7937,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415950.1563,433006.6873,416006.0,433130.4061,27700",0.51,not owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9702664OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9002284ADV&activeTab=summary|https://planning.bradford.gov.uk,100,100,,Planning permission has now expired. The site is identified in the City Centre AAP (ref V1.7) as a site suitable for residential development with a minumum 100 homes,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/003,"Hamm Strasse/ Grammar School Street, City Centre",-1.756113,53.798223,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416116.5938,433524.3505,416213.5625,433638.8123,27700",0.51,not owned by a public authority,,permissioned,full planning permission,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8102567FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8507048MAJ&activeTab=summary|https://planning.bradford.gov.uk,0,0,yes,Permission approved for 166 unit apartment block,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/007,"Beehive Mills, Thornton Road, City Centre",-1.763471,53.793795,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415602.75,433012.7,415758.0,433139.0499,27700",1.05,mixed ownership,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7606437FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=L5YRPCDH0I700&activeTab=summary|https://planning.bradford.gov,220,220,,Cleared site which had permission for mixed use development but this has expired. Owner intentions at present are unknown but the site is identified in the city centre AAP as having potential for around 220 units. AAP ref V/1.6,2017-11-01,2018-11-01,
