OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,1,"Former Mansfield Brewery (part B), Great Central Road, Mansfield",-1.19,53.14,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9535&p=0,0.76,not owned by a public authority,,permissioned,permission in principle,2017-12-12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9535&p=0,20,30,,"2017/0631/PIP

https://planning.mansfield.gov.uk/online-applications",2017-09-26,2017-12-13,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,2,"Former Mansfield General Hospital, West Hill Drive, Mansfield",-1.2,53.15,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,1.11,owned by a public authority,,permissioned,full planning permission,2016-03-10,,,,yes,"
REGULATION 3 APPLICATION FOR 42 NO APARTMENTS WITH COMMUNAL AREAS AND 12 NO. BUNGALOWS FOR OCCUPATION BY THE ELDERLY
",2017-09-26,2017-09-26,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,33,"Wood Lane (Miners Welfare), Wood Lane, Church Warsop",-1.17,53.21,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9536&p=0,1.05,not owned by a public authority,,permissioned,permission in principle,2017-12-12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9536&p=0,25,35,,"2017/0633/PIP

https://planning.mansfield.gov.uk/online-applications",2017-09-26,2017-12-13,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,54,"Former Evans Halshaw site, Nottingham Road, Mansfield",-1.19,53.12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,1.92,not owned by a public authority,,permissioned,full planning permission,2017-06-30,,,,yes,"
DEMOLITION OF EXISTING BUILDINGS AND CONSTRUCTION OF 66 NO. RESIDENTIAL DWELLINGS WITH ASSOCIATED ACCESS CAR PARKING AND GARAGES
",2017-09-26,2017-09-26,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,68,"Kirkland Avenue Industrial Park, Kirkland Avenue, Mansfield",-1.21,53.14,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9537&p=0,0.7,not owned by a public authority,,permissioned,permission in principle,2017-12-12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9537&p=0,15,25,,"2017/0636/PIP

https://planning.mansfield.gov.uk/online-applications",2017-09-26,2017-12-13,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,75,"Former Mansfield Hosiery Mill Car Park & Electricity Board workshops & social club, Botany Avenue, Mansfield",-1.21,53.14,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9538&p=0,0.97,not owned by a public authority,,permissioned,permission in principle,2017-12-12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9538&p=0,25,35,,"2017/0637/PIP

https://planning.mansfield.gov.uk/online-applications",2017-09-26,2017-12-13,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,86,"Land at the corner of Quarry Lane, Mansfield., Quarry Lane, Mansfield",-1.21,53.13,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.25,not owned by a public authority,,permissioned,full planning permission,2015-10-21,,,,yes,"
CONSTRUCTION OF 21 NO. TWO AND THREE BEDROOM APARTMENTS TOGETHER WITH ASSOCIATED PARKING AND SITE DEVELOPMENT WORKS
",2017-09-26,2017-09-26,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,92,"Pleasley Hill Regeneration Area, Chesterfield Road North, Pleasley",-1.24,53.17,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,3.81,not owned by a public authority,,permissioned,full planning permission,2014-12-19,,,,yes,"
151 NO. NEW HOMES INCLUDING 12 NO. APARTMENTS AND 1 NO. COMMERCIAL/RETAIL BUILDING
",2017-09-26,2017-09-26,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,95,"Vauxhall Garage, Sutton Road, Mansfield",-1.22,53.14,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.87,not owned by a public authority,,permissioned,outline planning permission,2016-09-06,,,,,"
APPLICATION TO REPLACE AN EXTANT PERMISSION (2010/0407/ST) IN ORDER TO EXTEND THE TIME LIMIT FOR IMPLEMENTATION - OUTLINE APPLICATION FOR RESIDENTIAL DEVELOPMENT COMPRISING 41 NO. UNITS AND FORMATION OF NEW MEANS OF ACCESS FROM SUTTON ROAD.
",2017-09-26,2017-09-26,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,96,"Land at Hermitage Lane, Mansfield",-1.22,53.14,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.9,not owned by a public authority,,permissioned,full planning permission,2015-05-18,,,,yes,"
DEMOLITION OF EXISTING BUILDING AND ERECTION OF 25 NO. HOUSES AND ANCILLARY WORKS
",2017-09-26,2017-09-26,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,99,"18 Burns Street, Mansfield",-1.21,53.15,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.17,not owned by a public authority,,pending decision,full planning permission,,,,,yes,"
CONVERSION OF DISUSED FACTORY AND ANCILLARY BUILDINGS TO 8NO. APARTMENTS AND 13NO. FLATS
",2017-09-26,2017-09-26,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,105,"Land at 7 Oxclose Lane, Grosvenor Close, Mansfield Woodhouse",-1.2,53.16,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.45,not owned by a public authority,,permissioned,full planning permission,2016-12-15,,,,yes,"
RESIDENTIAL DEVELOPMENT OF 17 NO. BUNGALOWS (FOR THE OVER 50 AGE GROUP) WITH OFF ROAD PARKING AND AMENDED VEHICULAR ACCESS
",2017-09-26,2017-09-26,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,106,"Former Mansfield Sand Co, Sandhurst Avenue, Mansfield",-1.19,53.13,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,3.35,not owned by a public authority,,permissioned,outline planning permission,2014-09-09,,,,yes,"
APPLICATION FOR OUTLINE PLANNING PERMISSION FOR RESIDENTIAL DEVELOPMENT (107 UNITS) WITH ACCESS TO BE CONSIDERED AND OTHER MATTERS RESERVED
",2017-09-26,2017-09-26,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,109,"Land off Sutton Road, Mansfield",-1.23,53.13,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.21,not owned by a public authority,,permissioned,full planning permission,2015-12-30,,,,yes,"
RESIDENTIAL DEVELOPMENT OF 10 NO. THREE BEDROOM DWELLINGS WITH ACCESS ROAD AND LANDSCAPING
",2017-09-26,2017-09-26,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,156,"Former Miners Offices, Berry Hill Lane, Mansfield",-1.18,53.13,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.93,not owned by a public authority,,permissioned,reserved matters approval,2015-03-31,,,,yes,"
APPROVAL OF RESERVED MATTERS (APPEARANCE, LANDSCAPING, LAYOUT AND SCALE) FOR 18 NO. DWELLINGS FOLLOWING OUTLINE PERMISSION (2013/0174/ST)
",2017-09-26,2017-09-26,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,164,"Former garage site Alexandra Avenue, Mansfield",-1.2,53.17,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.19,not owned by a public authority,,permissioned,full planning permission,2014-06-02,,,,yes,"
RESIDENTIAL DEVELOPMENT OF 5 NO. 3 BEDROOM HOUSES
",2017-09-26,2017-09-26,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,168,"10A Montague Street, Montague Street, Mansfield",-1.18,53.14,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.11,owned by a public authority,,permissioned,full planning permission,2014-06-23,,,,yes,"
NEW RESIDENTIAL DEVELOPMENT OF 8 NO. 3 BEDROOM HOUSES
",2017-09-26,2017-09-26,
