OrganisationURI,OrganisationLabel,SiteReference,AlternateReferences,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part 2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdated
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0001,7-03-0842,BLR17,"""22 to 22a (car park) St Stephen""s Road, BH2 6JP""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408202.41759&y=91523.6356499999&scale=1000,ETRS89,-1.88516352,50.72327973,0.12,owned by a public authority,Yes,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,9,,,,9,11,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0002,917,BLR17,"""8-10 Madeira Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409339.849969999&y=91595.69658&scale=1000,ETRS89,-1.86904813,50.7239108,0.25,not owned by a public authority,Yes,permissioned,reserved matters approval,22/12/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,74,"""Erection of a 3/4/5/6 storey block of 74 flats with basement parking and cycle and bin stores - Approval of reserved matters in respect of application no. 7-2014-14107-W""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0003,2359,BLR17,"""59 Christchurch Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=410651.88474&y=91493.9321999999&scale=1000,ETRS89,-1.85046368,50.72297336,0.06,not owned by a public authority,Yes,permissioned,reserved matters approval,27/02/2012,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,14,"""Erection of a 3/4 storey block of 14 flats with underground parking. Application for Reserved Matters in respect of application 7-2009-21552-D""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0007,3553,BLR17,"""55 Southwick Road and 11a Warnford Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=413419.757459999&y=92831.4141399999&scale=1000,ETRS89,-1.81120433,50.73494402,0.36,not owned by a public authority,Yes,permissioned,full planning permission,21/08/2013,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,23,"""Erection of 20 dwellinghouses and 3 flats, bin and cycle stores and formation of vehicular access and parking spaces - Revised application""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0017,3866,BLR17,"""9 Southbourne Overcliff Drive""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=413143.612789999&y=91379.23414&scale=1000,ETRS89,-1.81516865,50.72189139,0.05,not owned by a public authority,Yes,permissioned,full planning permission,29/02/2016,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,5,"""Erection of a 3/4 storey block of 6 flats, bin and cycle store, modification to existing access and formation of parking spaces""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0021,3938,BLR17,"""1 Lorne Park Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409231.593969999&y=91459.75809&scale=1000,ETRS89,-1.87058513,50.72269007,0.07,not owned by a public authority,Yes,permissioned,outline planning permission,23/05/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,38,"""Outline submission for the erection of a 4/5 storey block of student accommodation with bin and cycle storage, formation of vehicular access and parking spaces""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0024,4023,BLR17,"""23 Hinton Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409025.910199999&y=91058.22286&scale=1000,ETRS89,-1.87350864,50.71908239,0.11,not owned by a public authority,Yes,permissioned,full planning permission,30/05/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,39,"""A hybrid planning application comprising a detailed (full) application for the conversion of the ground, first, second and third floor to 23 units of accommodation. Outline application with matters of access, appearance, layout and scale to be considered for addition of upper floor extensions to provide residential accommodation - Variation of condition no. 8 of application no. 7-2015-4287-F to replace plans referenced 201B and 202 with 16068/2003 and 16068/2004 and variation of condition no. 10 of application no. 7-2015-4287-F to read prior to occupation not prior to commencement""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0028,4056,BLR17,"""7 East Overcliff Drive""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409409.185059999&y=90977.0821799999&scale=1000,ETRS89,-1.86808146,50.71834672,0.16,not owned by a public authority,Yes,permissioned,outline planning permission,05/01/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,6,"""Outline submission for the erection of block of 6 flats and formation of vehicular access with surface and underground parking""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0032,4086,BLR17,"""32-34 Tregonwell Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408326.197329999&y=90961.6162699999&scale=1000,ETRS89,-1.88342249,50.71822395,0.25,not owned by a public authority,Yes,permissioned,full planning permission,24/07/2015,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,54,"""Minor material amendment to no. 1 of application no. 7-2014-5810-S, variation of condition no. 12 and removal of condition nos: 2, 3 and 4 to remove all reference to holiday flats and for the erection of a solely residential block of 54 flats with associated access and parking""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0033,4088,BLR17,"""75-87 Grove Road and 33-35 East Overcliff Drive""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=410054.61599&y=91136.3855&scale=1000,ETRS89,-1.85893454,50.7197686,0.88,not owned by a public authority,Yes,permissioned,full planning permission,26/01/2015,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,119,"""Demolition of existing buildings and the erection of a 6 storey 90 bedroom hotel (Block A) and the erection of 2 assisted living blocks: a 9 storey building comprising 69 units (Block B) and a 7 storey building comprising 53 units (Block C) with associated ancillary facilities, formation of new vehicular access, basement parking, bin, buggy and cycle stores.""",,,,,,,,21/12/2017,17/12/2018
