OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Uni_ID,Settlement,Parish,SHLAA2018_Suitable,SHLAA2018_Available,SHLAA2018_Achievable,SHLAA2018_Timescale,SHLAA2018_Capacity,Latest_MostRelevantResidentialApplication,Total_ha,BF_ha,CoordinateReferenceSystem_WGS84,GeoX_WGS84,GeoY_WGS84,CoordinateReferenceSystem_ETRS89,GeoX_ETRS89,GeoY_ETRS89
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,0018x,0018,"""Land South West of Swanfield Park, Alnwick (brownfield parcel)""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,417865,612027,0.48,not owned by a public authority,,not permissioned,,,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NTKWB4QS0GA00,,5,"Builders yard, stables and small amount of associated land, brownfield in part located in a rural location. Developable site but outside settlement boundary. Brownfield element (0.48ha) - indicative yield of around 5 dwellings can be calculated based on methodological approach, although likely to represent the maximum appropriate. For indicative purposes in the BF Register, the original SHLAA site (ref 0018) is split to reflect brownfield and greenfield elements - total area of 1.27ha. Any proposal for development should reflect rural setting",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Application refused for change of use from builders yard and stable to a single dwelling on part of site - 15/02778/FUL,2017-12-17,2017-12-17,1,Not in a Settlement,Alnwick CP,Suitable,Available,Achievable,6-10 Years,5,15/02778/FUL,1.27,0.48,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,0055,,"""North of Station House, Christon Bank""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,421278,623288,1.40,not owned by a public authority,,not permissioned,,,,,5,"Narrow, linear site adjacent to railway line (ECML) at Christon Bank. Currently occupied for caravan storage but capable of supporting a residential development of a limited size if pursued for redevelopment. Identified yield of homes reflective of physical characteristics",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,No relevant planning history,2016-06-30,2017-12-17,2,Christon Bank,Embleton CP,Suitable In Part,Available,Achievable,11-15 Years,5,,1.40,1.40,WGS84,-1.66470,55.50295,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,0057,,"""West of Nursery, Craster""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,425676,619886,0.23,not owned by a public authority,,not permissioned,,,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DHATGLI000,,5,Previous planning permission for 6 units lapsed. However delivery of this scheme is currently considered uncertain. Within settlement limit and considered to represent an appropriate location for small-scale residential scheme,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Previous planning permission for redevelopment of land and buildings for 6 dwellings lapsed - 14/04120/OUT. Previous application refused for a single dwelling on part of the SHLAA site.,2016-06-30,2018-12-31,3,Craster,Craster CP,Suitable,Available,Achievable,6-10 Years,6,14/04120/OUT,0.23,0.23,WGS84,-1.59539,55.47216,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,0115,,"""East of Bridge of Aln Hotel, Whittingham""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,408912,612204,2.03,unknown ownership,,not permissioned,,,,,9,Site of former railway station although somewhat isolated from wider settlement. Rural location but opportunity for potential redevelopment of limited part of large site. The reduced yield indicated recognises potential suitability for small scale development of 15 units.,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,No relevant planning history,2018-12-31,2018-12-31,246,Whittingham,Whittingham CP,Suitable In Part,Available,Achievable,11-15 Years,10,,2.03,2.03,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,0230,,"""Allerburn House, Alnwick""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,419415,613248,1.32,owned by a public authority,yes,permissioned,full planning permission,2017-02-27,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=KTCQIDLW00600,,20,Permitted site for 20 units - yet to commence but forecast to be delivered within next 5 years. Redevelopment of site currently occupied by a range of buildings immediately to north of established residential development,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Scheme to provide 20 dwellings through conversion (10 units) and new-build (10 units) - 16/03770/FUL. Development yet to commence,2016-06-30,2017-12-17,4,Alnwick,Alnwick CP,Suitable,Available,Achievable,0-5 Years,20,16/03770/FUL,1.32,1.32,WGS84,-1.69488,55.41281,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,0280x,0280,"""Walkergate, Alnwick (brownfield parcel)""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,418457,613754,0.32,not owned by a public authority,yes,permissioned,full planning permission,2011-07-19,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DIGTGLI000,,5,"Permitted site for 15 units - now implemented, residential aspect of development yet to commence but forecast to be delivered within next 5 years. Redevelopment of mixed site, including vacant land and allotments. Brownfield element (0.32ha) represents around two-thirds of site - indicative yield of around 5 dwellings can be calculated based on methodological approach. For indicative purposes in the BF Register, the original SHLAA site (ref 0280) is split to reflect brownfield and greenfield elements  - total area of 0.96ha. Although consent has been implemented and will not lapse, until residential development progresses site will remain on the BF Register",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Construction of 15 residential dwellings and associated landscaping and infrastructure - A/2010/0450. Permission technically implemented through site works although residential aspect of development has yet to commence,2017-12-17,2017-12-17,5,Alnwick,Alnwick CP,Suitable,Available,Achievable,0-5 Years,5,A/2010/0450,0.96,0.32,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,0282x,0282,"""Dukes Middle School, Hope House Lane, Alnwick (brownfield parcel)""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,418716,612846,0.80,owned by a public authority,,not permissioned,,,,,20,"Existing school site but facility to close and will be surplus to requirements in due course. Overall site identified as having potential for 72 homes and considered to be reflective of a predominantly residential area. Brownfield element (0.80ha) only relating northern part of the site - indicative yield of around 22 dwellings can be calculated based on methodological approach. For indicative purposes in the BF Register, the original SHLAA site (ref 0282) is split to reflect brownfield and greenfield elements - total area of 4.79ha",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Pre-app for residential development has been submitted in 2018.,2017-12-17,2018-12-31,6,Alnwick,Alnwick CP,Suitable,Available,Achievable,6-10 Years,22,18/00596/PREAPP,4.76,0.80,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,0285,,"""Corn Exchange, Alnwick""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,418734,613204,0.12,not owned by a public authority,,not permissioned,,,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=L8W74GQS04N00,,5,Potential for conversion of listed building within town centre location - yield reflects urban infill opportunity at relatively high density to provide apartments,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Change of use application permitted for alterations from cinema to public house - 13/02501/FUL,2016-06-30,2017-12-17,7,Alnwick,Alnwick CP,Suitable,Available,Achievable,11-15 Years,5,,0.12,0.12,WGS84,-1.70565,55.41244,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,0286,,"""Roxbro Place, Alnwick""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,418777,613219,0.14,not owned by a public authority,,not permissioned,,,,,5,"Redevelopment opportunity in town centre location - existing site mixed, being part vacant and part occupied by existing buildings. Yield outlined reflective of relatively high density development within urban environment",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Allocated for housing in the Alnwick and Denwick Neighbourhood Plan - Site H2-9. Previous planning permission lapsed.,2016-06-30,2018-12-31,8,Alnwick,Alnwick CP,Suitable,Available,Achievable,11-15 Years,6,,0.14,0.14,WGS84,-1.70497,55.41257,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,0382x,0382,"""St Johns Roman Catholic School, Lisburn Terrace, Alnwick (brownfield parcel)""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,418407,612941,0.49,unknown ownership,yes,permissioned,full planning permission,2017-10-11,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=OI7WZPQS0CE01,,17,"Permitted application for development of 29 units yet to commence, with revised scheme of 24 homes now also approved - forecast to be delivered within next five years. Former school site, mostly brownfield in nature. Original permission(s) relate to Site 0382 - over half of the of site is brownfield land (0.49ha) - indicative yield of around 17 dwellings can be calculated based on methodological approach. The original SHLAA site (ref 0382) is split to reflect brownfield and greenfield elements - total area of 0.86ha. Revised proposal relates to Site 8081 (greenfield)",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Latest application for revised scheme of 24 homes approved October 2017 - 16/02211/FUL. This updates previous residential scheme of 29 units permitted but yet to commence - A/2009/0034. Revised proposal (16/02211/FUL) covers Sites 0382 and 8081 - former is majority brownfield whereas latter is greenfield.,2017-12-17,2018-12-31,10,Alnwick,Alnwick CP,Suitable,Available,Achievable,0-5 Years,17,16/02211/FUL,0.86,0.49,,,,,,
