FirstAddedDate,LastUpdatedDate,ID,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,PlanningReference,DevelopmentDescription,NonHousingDevelopment,ConstructionStatus,OtherSiteInformation,Part2allocation,ProposedForPIP,Notes,Hazardous Substances Regs 2015,NetDwellingsRangeFrom,NetDwellingsRangeTo
2017-11-20,2019-12-05,1,http://opendatacommunities.org/id/district-council/boston,Boston Borough Council,BLR/BOS/001,,"Whitehorse Lane, Boston",http://www.mybostonuk.com/wp-content/uploads/2019/12/Whitehorse-Lane.pdf,OSGB36,532779,343690,0.48,not owned by public authority,yes,permissioned,full planning permission,2018-06-06,https://www.mybostonuk.com/planning-application-search/?ref=B/17/0121,50,B/17/0121,"1. Erection of two apartment blocks, one fronting John Adams Way and the other fronting White Horse Lane, Boston 
2. Erection of one dwelling attached to the north gable of 82 High Street, Boston 
3. Conversion of Haven Wharf warehouse to provide 21 flats 
4. Relevant demolition in a conservation area including the demolition of outbuilding to the rear of 78 High Street Boston, an industrial building attached to the south elevation of Haven Wharf Warehouse and buildings nos 1, 2 and 3",,not started,https://www.rightmove.co.uk/commercial-property-for-sale/property-77836019.html,no,no,"Planning permission for the development of 60 dwellings (B/17/0121). The site is identified as a housing allocation capable of providing 50 dwellings in the South East Lincolnshire Local Plan 2011-2036: Adopted March 2019, site ref no: Cen001. The site is for sale.",,50,60.0
2017-11-20,2019-12-05,2,http://opendatacommunities.org/id/district-council/boston,Boston Borough Council,BLR/BOS/002,,"138-142 High Street, Boston",http://www.mybostonuk.com/wp-content/uploads/2019/12/138-142-High-Street.pdf,OSGB36,532756,343410,0.19,not owned by public authority,yes,permissioned,full planning permission,2003-09-18,https://www.mybostonuk.com/planning-application-search/?ref=B/03/0358,17,B/03/0358,Residential development for 17 houses,,under construction,,no,no,"9 dwellings completed, 8 outstanding but there has been no activity for about 15 years.",,17,17.0
2017-11-20,2019-12-05,3,http://opendatacommunities.org/id/district-council/boston,Boston Borough Council,BLR/BOS/003,,"Land to the north of Langrick Road, Boston",http://www.mybostonuk.com/wp-content/uploads/2019/12/Land-to-the-north-of-Langrick-Road.pdf,OSGB36,531238,344591,1.16,not owned by public authority,yes,pending decision,outline planning permission,,https://www.mybostonuk.com/planning-application-search/?ref=B/18/0435,35,B/18/0435,"Demolition of dwelling and outbuildings; Outline planning permission for up to 46 no. residential dwellings with consideration given to access (Appearance, Landscaping, Layout, and Scale reserved matters for later approval)",,not started,,no,no,"The site is identified as a housing allocation capable of providing 35 dwellings in the South East Lincolnshire Local Plan 2011-2036: Adopted (March 2018), site ref no: Fen002.",,35,46.0
2017-11-20,2019-12-05,7,http://opendatacommunities.org/id/district-council/boston,Boston Borough Council,BLR/BOS/007,,"Land to the north of Main Ridge East, Boston",http://www.mybostonuk.com/wp-content/uploads/2019/12/Main-Ridge-East.pdf,OSGB36,533258,344202,0.25,not owned by public authority,yes,not permissioned,,,,8,,,,not started,,no,no,An outline  planning application B/09/0074 for residential development (maximum 14 dwellings) plus means of access has lapsed.,If the site is allocated in Part 2 it requires assessment against Reg26(3) of Hazardous Substances Regulations and Schedule 2(3) of Brownfield Land Register Regulations 2017.,8,14.0
2017-11-20,2019-12-05,10,http://opendatacommunities.org/id/district-council/boston,Boston Borough Council,BLR/BOS/011,,"Former Norton Lea (NHS) Site, Cork Tree Crescent, London Road, Boston",http://www.mybostonuk.com/wp-content/uploads/2019/12/Norton-Lea.pdf,OSGB36,532514,342566,2.08,owned by public authority,yes,not permissioned,,,,60,,,,not started,https://www.rightmove.co.uk/commercial-property-for-sale/property-58956275.html,no,no,"A planning application B/15/0009 for the Demolition of existing buildings and outline consent (up to 60 dwellings) with consideration given to access. (Matters relating to appearance, landscaping, layout and scale are reserved for later approval) has lapsed.  The Site is also shown as a commitment on the SE Lincolnshire Adopted Local Plan. (The application had not lapsed on 31 Match 2017, which is the date housing data is calculated at). The site is for sale.",If the site is allocated in Part 2 it requires assessment against Reg26(3) of Hazardous Substances Regulations and Schedule 2(3) of Brownfield Land Register Regulations 2017.,60,62.0
2017-11-20,2019-12-05,11,http://opendatacommunities.org/id/district-council/boston,Boston Borough Council,BLR/BOS/012,,"Magnadata International, Norfolk Street, Boston",http://www.mybostonuk.com/wp-content/uploads/2019/12/Norfolk-Street.pdf,OSGB36,532974,344776,1.21,not owned by public authority,yes,not permissioned,,,,36,,,,not started,,no,no,Planning permission was granted subject to the signing of a s106 agreement and as a consequence the site is shown as a commitment in the SE Lincolnshire Adopted Local Plan. The application was withdrawn afterwards.,,36,48.0
2017-11-20,2019-12-05,12,http://opendatacommunities.org/id/district-council/boston,Boston Borough Council,BLR/BOS/013,,"Magnadata International, Horncastle Road, Boston",http://www.mybostonuk.com/wp-content/uploads/2019/12/Horncastle-Road.pdf,OSGB36,532890,345187,5.78,not owned by public authority,yes,not permissioned,,,,173,,,,not started,,no,no,,,173,173.0
2017-11-20,2019-12-05,14,http://opendatacommunities.org/id/district-council/boston,Boston Borough Council,BLR/BOS/015,,"Land to the south of Swineshead Road, Boston",http://www.mybostonuk.com/wp-content/uploads/2019/12/Land-to-the-south-of-Swineshead-Road.pdf,OSGB36,530042,342883,2.84,not owned by public authority,yes,not permissioned,,,,85,,,,not started,,no,no,"The site is identified as a housing allocation capable of providing 85 dwellings in the South East Lincolnshire Local Plan Adopted March 2019, site ref no: Wyb013.",If the site is allocated in Part 2 it requires assessment against Reg26(3) of Hazardous Substances Regulations and Schedule 2(3) of Brownfield Land Register Regulations 2017.,85,85.0
2017-11-20,2019-12-05,15,http://opendatacommunities.org/id/district-council/boston,Boston Borough Council,BLR/BOS/016,,"291-293 London Road, Wyberton, Boston",http://www.mybostonuk.com/wp-content/uploads/2019/12/291-293-London-Road.pdf,OSGB36,531442,341211,1.38,not owned by public authority,yes,not permissioned,,,,28,,,,not started,,no,no,"The site is identified as a housing allocation capable of providing 41 dwellings in the South East Lincolnshire Local Plan 2011-2036: Adopted March 2019, site ref no: Wyb041.",If the site is allocated in Part 2 it requires assessment against Reg26(3) of Hazardous Substances Regulations and Schedule 2(3) of Brownfield Land Register Regulations 2017.,28,41.0
2017-11-20,2019-12-05,26,http://opendatacommunities.org/id/district-council/boston,Boston Borough Council,BLR/BOS/027,,"New Castle Inn, 36 Fydell Street, Boston",http://www.mybostonuk.com/wp-content/uploads/2019/12/New-Castle-Inn.pdf,OSGB36,532221,344434,0.12,not owned by public authority,yes,permissioned,full planning permission,2017-03-06,https://www.mybostonuk.com/planning-application-search/?ref=B/16/0424,9,B/16/0424,"Conversion of a public house to 4 apartments, and the erection of 5.no attached 3 storey apartments",,not started,https://www.mybostonuk.com/planning-application-search/?ref=B/18/0370,no,no,"A planning application (B/18/0370) for the erection of 3 no. three storey apartment blocks consisting of 55 no. flats including some amenity facilities, following demolition of existing public house and additional land was refused.",,9,9.0
2017-11-20,2019-12-05,29,http://opendatacommunities.org/id/district-council/boston,Boston Borough Council,BLR/BOS/030,,"Land off Carmel Green, Park Road, Boston",http://www.mybostonuk.com/wp-content/uploads/2019/12/Carmel-Green.pdf,OSGB36,532185,342805,0.17,not owned by public authority,yes,permissioned,reserved matters approval,2018-04-09,https://www.mybostonuk.com/planning-application-search/?ref=B/17/0494,6,B/17/0494,Application for approval of reserved matters (including appearance and landscaping) for the erection of 8 no. dwellings,,not started,,no,no,The site has been cleared and condition discharge application has been submitted.,,6,8.0
