OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/shropshire,10/00540/OUT,"""Land Between 94A Willow Street and Oak Street, Oswestry""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.861606,-3.05816,0.06,Not owned by a public authority,Not permissioned,,,,,6,6,,"""Lapsed Outline Planning Permission previously granted for 6 dwellings.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,10/00968/FUL,"""Phoenix Garage, Great Hales Street, Market Drayton""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.903575,-2.48162,0.31,Not owned by a public authority,Not permissioned,,,,,14,14,,"""Lapsed Full Planning Permission previously granted for a residential development of 14 dwellings.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,10/01319/FUL,"""Land At 1 Pinkham, Cleobury Mortimer""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.379613,-2.47849,0.3,Not owned by a public authority,Not permissioned,,,,,9,9,,"""Lapsed Full Planning Permission previously granted for a residential development of 9 dwellings.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,10/04143/OUT,"""Pentons Haulage And Coldstore, School Road, Ruyton XI Towns, Shrewsbury, Shropshire, SY4 1JT""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.796102,-2.905193,4.77,Not owned by a public authority,Not permissioned,,,,,80,80,,"""Outline Planning Permission previously granted on the 23/12/2011 (10/04143/OUT) for 94 dwellings. The application subsequently lapsed. |There remains a known interest in bringing this site forward for residential development.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,11/00983/FUL,"""6 St Marys Street, Market Drayton""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.903287,-2.484148,0.03,Not owned by a public authority,Not permissioned,,,,,5,5,,"""Lapsed Full Planning Permission previously granted for a residential development of 5 dwellings.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,11/02325/FUL,"""Land at 1 Forge Way, Dorrington, Shrewsbury""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.621864,-2.77324,0.05,Not owned by a public authority,Not permissioned,,,,,5,5,,"""Lapsed Full Planning Permission previously granted for a residential development of 5 dwellings.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,11/03859/OUT,"""Coach Garage, Village Road, Childs Ercall, Market Drayton""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.82229,-2.499056,0.19,Not owned by a public authority,Not permissioned,,,,,5,5,,"""Lapsed Outline Planning Permission previously granted for 5 dwellings.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,11/04508/FUL,"""7 Claremont Street, Shrewsbury""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.708154,-2.756135,0.04,Not owned by a public authority,Not permissioned,,,,,7,7,,"""Lapsed Full Planning Permission previously granted for a residential development of 7 dwellings.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,13/00022/OUT,"""Bromfield, 66 Spring Gardens, Shrewsbury, Shropshire, SY1 2TE""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.720582,-2.740744,0.13,Not owned by a public authority,Not permissioned,,,,,9,9,,"""Lapsed Outline Planning Permission previously granted for 9 dwellings, net.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,13/00097/FUL,"""McKeand Smith & Co Ltd, Station Road, Albrighton, Wolverhampton, WV7 3EA""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.637485,-2.268485,0.17,Not owned by a public authority,Permissioned,Full planning permission,2018-09-13,,Yes,8,8,,"""Planning Permission 13/00097/FUL superseded by Planning Permission 17/02469/FUL granted n the 13/09/2018 for 8 dwellings.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,13/01405/OUT,"""Land East Of Black Park Road, Black Park, Whitchurch, Shropshire""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.972029,-2.670954,2.18,Not owned by a public authority,Not permissioned,,,,Yes,60,60,,"""Outline Planning Application (13/01405/OUT) pending decision for a residential development of up to 60 dwellings. | The site is considered deliverable.""",2020-03-20,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,13/01854/OUT,"""Land West Of Mill Green, Knighton, Powys""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.346827,-3.04837,1.06,Not owned by a public authority,Permissioned,Outline planning permission,2015-01-27,,Yes,26,26,,,2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,13/02550/OUT,"""Dale House, Newport Road, Hinstock, Market Drayton, TF9 2TH""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.829464,-2.454482,0.15,Not owned by a public authority,Not permissioned,,,,,5,5,,"""Lapsed Outline Planning Permission previously granted for 5 dwellings.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,13/02623/FUL,"""Land At Broseley Social Club, Bank House, High Street, Broseley, Shropshire, TF12 5EZ""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.613187,-2.484366,0.14,Not owned by a public authority,Not permissioned,,,,,6,6,,"""Lapsed Full Planning Permission. | Part of the site is brownfield (Approx 65%) and part is greenfield (Approx 35%). | The brownfield element of the site is approximately 0.14ha, whilst the total site size is some 0.21ha. | It is anticipated that the brownfield component of the site has a capacity for all the 6 dwellings proposed within the development. | The map shows the full extent of the site and not only the brownfield area.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,13/03051/FUL,"""117 Cheshire Street, Market Drayton, Shropshire, TF9 1AE""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.907427,-2.487999,0.02,Not owned by a public authority,Not permissioned,,,,,6,6,,"""Lapsed Full Planning Permission for change of use to form 6 apartments.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,13/03135/P3JPA,"""The Square, Market Place, Shifnal, Shropshire, TF11 9AX""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.666178,-2.372563,0.2,Not owned by a public authority,Permissioned,Other,2014-03-05,,Yes,6,6,,"""Prior Approval (13/03135/P3JPA) for change of use of first and second floor offices to 6 dwellings.| The site is considered deliverable.""",2020-03-20,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,13/03205/P3JPA,"""28 Castle Street, Shrewsbury, Shropshire, SY1 2BQ""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.709611,-2.750687,0.14,Not owned by a public authority,Permissioned,Other,2018-11-15,,Yes,16,16,,"""Prior Approval 13/03205/P3JPA superseded by Prior Approval 18/04290/P3JPA, granted under Part 3 Class J of the Town & Country Planning (General Permitted Development) Order 2013 for the change of use first, second and third floor offices to 16 apartments.""",2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,13/03415/FUL,"""Evans And Stubbs Building, Dale Street, Craven Arms, Shropshire, SY7 9NY""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.43958,-2.83268,0.1,Not owned by a public authority,Permissioned,Full planning permission,2015-08-03,,Yes,7,7,,,2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,13/03481/OUT,"""Storage Land And Premises (former Dairy), Mile Bank Road, Whitchurch, Shropshire""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.982963,-2.66692,3.93,Not owned by a public authority,Permissioned,Outline planning permission,2015-09-17,,Yes,70,70,,,2017-12-22,2020-03-20,
http://opendatacommunities.org/id/unitary-authority/shropshire,13/03521/FUL,"""Lea Manor, Holyhead Road, Albrighton, Wolverhampton, WV7 3BX""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,52.624652,-2.289618,0.57,Not owned by a public authority,Permissioned,Full planning permission,2015-02-19,,Yes,7,7,,,2017-12-22,2020-03-20,
