SiteReference,OrganisationURI,OrganisationLabel,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,DevelopmentDescription,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeto,FirstAddedDate,Last_updated_Date,PreviouslyPartOf,Alternate_CoordinateReferenceSystem,ALT_X_Ref,ALT_Y_Ref
BLR002,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Egginton Street Car Park, Egginton Street, Hull Local Plan Housing Allocation H2, HU2 8BT""",http://hullcc.limehouse.co.uk/file/4808511,WGS84,-0.338922098232746,53.7481761489208,0.12078545636853,owned by a public authority,False,Not Permissioned,,2007-09-26,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=I13TFJSO50000,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 24 flats/dwellings. 04/01171/OUT Erection of a three storey apartment block for 18 two bedroom and 6 one bedroom apartments""",24,24,24,2017-12-20,2018-12-01,Not applicable,OSGB36,509635.169543239,429258.42108422
BLR007,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Upper Floors 41 - 65 George Street (Upper Floors), Hull Local Plan Housing Allocation H7, HU1 3BA""",http://hullcc.limehouse.co.uk/file/4808525,WGS84,-0.337181453757941,53.7462195359913,0.0688549625161644,not owned by a public authority,False,Not Permissioned,,2013-09-25,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MR3T8TSO05500,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 6 (net) flats. Change of use of floors 1, 2 and 3 from existing single apartment per floor to 3 apartments per floor.""",6,6,6,2017-12-20,2018-12-01,Not applicable,OSGB36,509755.039141762,429043.442719791
BLR008,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""25 - 27 Dock Street, Hull Local Plan Housing Allocation H8, HU1 3DL""",http://hullcc.limehouse.co.uk/file/4808530,WGS84,-0.336344475933873,53.7458352545306,0.0203672499998477,not owned by a public authority,True,Permissioned,full planning permission,2014-12-05,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NCV1DOSO00300,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 9 flats/dwellings. 14/01212/FULL (implemented) & 11/01161/FULL Erection of 7 storey building, offices on first floor/self contained flats on floors 2 - 6 (9 flats)""",9,9,9,2017-12-20,2018-12-01,Not applicable,OSGB36,509811.231564562,429001.985470752
BLR027,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""177 Sharp Street (West End), Hull Local Plan Housing Allocation H27, HU5 2AD""",http://hullcc.limehouse.co.uk/file/4808528,WGS84,-0.366058352080179,53.7636024888169,0.353892574594458,not owned by a public authority,False,Permissioned,full planning permission,2016-07-25,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=OKN5AKSOHTZ00,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 15 dwellings. Erection of 15 dwellings.""",15,15,15,2017-12-20,2018-12-01,Not applicable,OSGB36,507806.37695811,430933.038094426
BLR029,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""United Reformed Church and Car Park Holderness Road, Kingston Upon Hull, HU9 3DW""",http://hullcc.limehouse.co.uk/file/4808529,WGS84,-0.304054784315562,53.7593892150463,0.202109352307246,not owned by a public authority,True,Permissioned,full planning permission,2016-04-27,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NSYGPHSOHHJ00,"""Erection of three storey building comprising 4 units on ground floor for use within classes A1, A2, A3 and A5 with 4 flats on the first and second floors and erection of 5 two storey dwellings.""",13,13,13,2017-12-20,2018-12-01,Not applicable,OSGB36,511904.468588938,430560.135666076
BLR035,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""121 - 123 Sharp Street, Kingston Upon Hull, HU5 2AE""",http://hullcc.limehouse.co.uk/file/4808537,WGS84,-0.363800281650637,53.7633368308735,0.0508608092974586,not owned by a public authority,False,Permissioned,,2015-01-29,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MGZF3VSO05500,"""Erection of two storey building 3 self contained flats. Erection of 2 dwellings at the rear""",5,5,5,2017-12-20,2018-12-01,Not applicable,OSGB36,507955.896776538,430906.911248974
BLR043,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""48 Pearson Park, Hull Local Plan Housing Allocation H43, HU5 2TG""",http://hullcc.limehouse.co.uk/file/4808531,WGS84,-0.355062406870609,53.7599298850603,0.0532805431643153,owned by a public authority,False,Not Permissioned,,2013-12-05,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MU5EYESO3B000,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 6 dwellings. 13/01025/PCOU Change of use from offices to 6 flats""",6,6,6,2017-12-20,2018-12-01,Not applicable,OSGB36,508540.62778516,430541.206815093
BLR051,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""20-24 Lambert Street, Hull Local Plan Housing Allocation H51, HU5 2SJ""",http://hullcc.limehouse.co.uk/file/4808536,WGS84,-0.353557201765535,53.7638217401222,0.0704161673289682,not owned by a public authority,True,Permissioned,full planning permission,2012-09-07,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=LAC47NSO05500,"""Hull Local Plan 2016 to 2032 - Housing Allocation indicative capacity 5 flats/dwellings. 10/01024/FULL Erection Part three and part two storey building -5 flats. Two storey building - 2 flats.Single storey building -2 flats""",5,5,9,2017-12-20,2018-12-01,Not applicable,OSGB36,508629.814905997,430976.457232176
BLR054,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Former Sutton Place Safe Centre, Saltshouse Road, Hull Local Plan Housing Allocation H54, HU8 9HR""",http://hullcc.limehouse.co.uk/file/4808538,WGS84,-0.296325434291695,53.7785792888236,0.989063626466736,not owned by a public authority,True,Permissioned,,2015-10-02,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NQEN67SOLMI00,"""Hull Local Plan 2016 to 2032 -Housing Allocation indicative capacity of 23  dwellings/flats. 15/00759/OUT Outline application 13 dwellings & conversion of Woodside House building - 7 dwellings plus erection of 3 new dwellings""",23,23,23,2017-12-20,2018-12-01,Not applicable,OSGB36,512362.778119291,432707.12251742
BLR1001,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Land at Convent Lane, Anlaby Road. HU3 2SA""",http://hullcc.limehouse.co.uk/file/4808576,WGS84,-0.355611627958502,53.742576248397,0.241011974951647,owned by a public authority,False,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,"""Potential for housing  - New build 12 dwellings.""",12,12,12,2017-12-20,2018-12-01,Not applicable,OSGB36,508549.110447716,428609.85630836
