SiteReference,SiteName,SiteAddress,UPRN,CoordinateReferenceSystem,GeoX,GeoY,Hectares,PlanningStatus,PlanningHistory,Constraints,OwnershipStatus,Owners,HousingEstimate,MinHomes,Events,Notes,OrganisationURI,OrganisationLabel,FirstAddedDate,LastUpdatedDate
Barlby-1,"Greencore, Barlby Road, Barlby",,10093090450,OSGB36,463278,433400,15.85,Not Permissioned,No relevant planning history,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Mr N Blakey,186,186,,Entire site lies within flood zone 2 and 3 and is an area benefiting from flood defences. Possible ground contamination from existing factory.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Brotherton-2,"Land at Pasture Lane, Brotherton",,10093090452,OSGB36,447995,426114,1.6,Not Permissioned,No relevant planning history,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Mr Dean Hunter,43,43,,The northern to the southern boundary on the western side of the site lies within flood zone 2. Electricity Pylons cross the site.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Brotherton-8,"Lyndale Caravan Park, School Croft, Brotherton",,10093090453,OSGB36,448244,425797,0.36,Permissioned,2013/1114/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Mr John Wilson,13,13,,,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Byram-7,"St Edwards Close/East Acres, Byram",,10093088470,OSGB36,449055,425390,0.13,Permissioned,2015/1158/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Public Ownership,Selby District Council,5,5,,,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Byram-8,"Land West of Wood Lea, Byram",,10093090485,OSGB36,448711,425672,0.13,Not Permissioned,No relevant planning history,http://www.selby.gov.uk/authorities-monitoring-report,Public Ownership,Selby District Council,5,5,,,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-29,2016-06-29
Carlton-6,"Oddfellows Arms, High Street, Carlton",,10093090454,OSGB36,464731,424103,0.16,Permissioned,2013/0835/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Punch Taverns Ltd,7,7,,Whole site is in a groundwater protection zone 3,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Cawood-9,"Cawood Methodist Church, Sherburn Street, Cawood",,10093090455,OSGB36,457264,437723,0.09,Permissioned,2014/0621/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Goole And Selby Circuit The Methodist Church,5,5,,,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Eggborough-21,"parking court behind 18-34  Westfield Road, Eggborough",,10093088447,OSGB36,455814,423634,0.17,Permissioned,2015/1240/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Public Ownership,Selby District Council,5,5,,,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Eggborough-9,Westfield View,,10093088446,OSGB36,455804,423498,0.14,Permissioned,2015/1237/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Public Ownership,Selby District Council,5,5,,,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-29,2016-06-29
Hambleton-8,"Main Road Farm, Main Road",,10093090456,OSGB36,455332,430856,0.28,Permissioned,2012/1068/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Ms I & H & M Lister,5,5,,Possible ground contamination from farm buildings on the eastern half of the site.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-10,"Land at Beech Tree Surgery, Selby",,10093090457,OSGB36,460700,431329,0.38,Not Permissioned,No relevant planning history,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Beech Tree Surgery,15,15,,Entire site lies within flood zone 2 and is an area benefiting from flood defences.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-12,"Land at Portholme Crescent, Selby",,10093090458,OSGB36,461515,432089,0.46,Not Permissioned,No relevant planning history,http://www.selby.gov.uk/authorities-monitoring-report,Public Ownership,Selby District Council,18,18,,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-13,"Land south of Portholme Road, Selby",,10093090461,OSGB36,461446,431859,0.95,Not Permissioned,2012/0604/COU,http://www.selby.gov.uk/authorities-monitoring-report,Public Ownership,Selby District Council,38,38,,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Possible ground contamination for the northern half of the site from former rail works.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-14,"Depot, New Millgate, Selby",,10093090462,OSGB36,461409,432787,0.34,Not Permissioned,2014/1171/COU,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Mr G Hodge,14,14,,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-2,"Industrial Chemicals Ltd, Canal View, Bawtry Road, Selby",,10093090463,OSGB36,461544,431318,6.0,Not Permissioned,2016/0189/REM,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Industrial Chemicals Group Ltd,300,300,,"Sites lies within the inner area of a health and safety executive consultation zone, however this restraint is planned to be removed by the promoter as part of the redevelopment of the site. Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Sites lies within a health and safety executive consultation zone, however this restraint is planned to be removed by the promoter as part of the redevelopment of the site. Possible ground contamination for the northern half of the site from the former chemical works",http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-25,"Land At Holme Lane, Coupland Road, Selby",,10093090464,OSGB36,461425,432978,7.43,Permissioned,2009/0805/REM,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Bovis Homes Ltd,301,301,,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Possible areas of ground contamination on the northern half of the site,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-27,"Friendship Inn, 58 Millgate",,10093090294,OSGB36,461407,432721,0.06,Permissioned,2011/1169/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Mr Rizwan Haq,6,6,,Entire site lies within flood zones 2 and 3.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-3,"Land at Canal View, Bawtry Road, Selby",,10093090465,OSGB36,461803,431621,0.75,Not Permissioned,No relevant planning history,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Industrial Chemicals Group Ltd,30,30,,Most of site within health and safety executive consultation zone and edge of site 50m away from a health and safety executive inner zone. Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Possible areas of contaminated land within the site from works buildings. Most of site within health and safety executive consultation zone.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-31,"Shipyard Road Pump Station, Shipyard Road",,10093090466,OSGB36,462058,432111,0.14,Not Permissioned,2012/1132/OUT,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,KeyLand Developments Limited,14,14,,Entire site lies within flood zones 2 and 3 and is benefiting from flood defences. Possible ground contamination on site from former factory.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-32,"Bridge Wharf, Ousegate",,10093090467,OSGB36,461787,432405,0.17,Permissioned,2014/0541/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Colton Property Development Ltd,13,13,,Entire site lies within flood zone 2 whilst the top half other site also lies within flood zone 3.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-51,"Brooklands, Leeds Road, Selby",,10093090469,OSGB36,460581,432029,0.4,Permissioned,2013/1065/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,St. Philips Care Group Ltd,16,16,,Listed building in the centre of the site. Floodzone 3 on the entire site. Listed building in the centre of the site,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-53,"Former Tiles Warehouse And Tyre Depot, Gowthorpe, Selby",,200001028745,OSGB36,461067,432193,0.23,Permissioned,2013/0730/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Andrew Hillas Developments Ltd,9,9,,Floodzone 2 on the entire site. Areas of possible ground contamination from the former Tiles Warehouse and Tyre Depot,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-54,"Rigid Group Ltd, Denison Road, Selby",,10093090470,OSGB36,462274,432015,7.53,Permissioned,2012/0159/OUT,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Immowell NV,305,305,,Floodzones 2&3 on the entire site. Areas of possible ground contamination from the former factory,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-60,Council waste depot at the end of Prospect Way,,10093090472,OSGB36,461645,431690,0.64,Not Permissioned,2004/1264/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Public Ownership,Selby District Council,32,32,,"Sites lies within the inner area of a health and safety executive consultation zone, however this restraint is planned to be removed by the promoter as part of the redevelopment of the site. Area benefitting from flood defences. Floodzone 3 on the majority of the site, apart from the southwest corner, which is in floodzone 2. Areas of possible ground contamination from former uses",http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-61,"Former Gas Holders, Prospect Way, Selby",,10093090473,OSGB36,461662,431788,0.63,Not Permissioned,No relevant planning history,http://www.selby.gov.uk/authorities-monitoring-report,Unknown,,32,32,,Area benefitting from flood defences. Floodzone 3 on the entire site. Areas of possible ground contamination from former uses.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-62,"Former Civic Centre, Portholme Road, Selby",,10093090459,OSGB36,461344,431898,2.29,Not Permissioned,2013/0291/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Tesco Stores Ltd,103,103,,"Area benefitting from flood defences. Floodzone 3 on the majority of the site, remainder is in floodzone 2. Areas of possible ground contamination from former uses",http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-65,"Old Maltings Site, Ousegate",,10023489818,OSGB36,461946,432244,0.41,Not Permissioned,No relevant planning history,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,"East Coast Electric Generating Company, Toad Hall, Station Road, Foggathorpe, Selby YO8 6PS",21,21,,Area benefitting from flood defences. Floodzone 2 on the entire site. Areas of possible ground contamination from former uses. Two listed buildings on the northern edge of the site.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Selby-66,"Land at Carr Street / Denison Road, Selby",,10093090474,OSGB36,462491,431981,5.44,Not Permissioned,No relevant planning history,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Derek Arnold,218,218,,Area benefitting from flood defences. Floodzone 3 on the entire site. Areas of possible ground contamination from former uses,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
