OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EndDate,Planning ref,Current Status
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0001,,The Hop Pocket 59 Maidstone Road Paddock Wood Tonbridge Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,567017,145472,0.2,not owned by a public authority,Yes,permissioned,full planning permission,2017-01-03,08/03962/FULMJ (approved),,10,"Construction of part two, three and four-storey building incorporating 10 affordable housing units (6 No. one-bed flats and 4 No. two-bedroom flats) including new access, 10 car parking spaces, 10 cycle spaces, refuse storage and associated landscaping",,,10,10,,LBD/TPO/Potential Contamination/Flood risk,,2017-11-23,2017-11-23,,16/505613/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0002,,Bradleys (Speldhurst) Ltd Speldhurst Hill Speldhurst Royal Tunbridge Wells Kent TN3 0NG,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,555792,141679,2,not owned by a public authority,Yes,permissioned,full planning permission,2015-12-15,14/501170/LBC (approved),,5,"Demolition of existing commercial buildings and introduction of 4 new dwellings comprising two detached houses of traditional design and a pair of semi-detached 'workers cottages', the conversion of the existing Listed Mill building to provide a 4 bedroom dwelling, and the provision of garaging/parking and associated landscaping.",,,5,5,,Green Belt/ AONB/ Listed Building/Flood Risk/ Contamination/Ecological survey/PROW,,2017-11-23,2017-11-23,,14/501167/FULL,Expired
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0003,,Bassetts FarmGoudhurst RoadHorsmondenTonbridgeKentTN12 8AS,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,570626,140390,0.97,not owned by a public authority,Yes,permissioned,outline planning permission,2016-06-06,"18/00685/REM (refused), 04/02109/OUTMJ (refused), 04/02112/FULMJ (refused)",,30,Outline application for the demolition of existing buildings (with the exception of the building at the corner of access road) and for the erection of up to 30 dwellings (Point of Access to site not reserved).,,,30,30,,PDL/outside but adjacent to LBD/PROW/Flood Zone 1/potential contamination/Section 106 agreement,,2017-11-23,2017-11-23,,15/505340/OUT,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0008,,Garlinge Lodge6 Garlinge RoadSouthboroughRoyal Tunbridge WellsKentTN4 0NR,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558118,142443,0.062,not owned by a public authority,Yes,permissioned,full planning permission,2016-10-17,None recent,,6,Conversion of existing carehome into 6 No. self-contained flats,,,6,6,,LBD/Air Quality Management Area,,2017-11-23,2017-11-23,,16/06018/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0010,,Calverley House55 Calverley RoadRoyal Tunbridge WellsKentTN1 2TU,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558694,139615,0.22,not owned by a public authority,Yes,permissioned,other,2018-09-25,"18/02102/FULL (approved 9 units 4th/5th floor), 18/01053/FULL (Approved external alterations), 18/00479/PNOCLA (Prior approval not required 85 units), 17/02345/PNOCLA (Prior approval not required 80 units), 16/06195/PNOCLA (Prior approval not required 112 units) 13/02000/PNRES (prior approval not required)",,77,Notification for prior approvalfor proposed change of use of building from office use (Class B1(a)) to 112 residnetila units (Class c3) - four upper floors only,Retail use on ground floor,,77,112,,LBD/Primary Shopping Area/Central Access Zone/ Town Centre Boundary/Central parking Zone/Conservation Area,,2017-11-23,2017-11-23,,18/02408/PNOCLA,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0011,,13 - 15 Commercial RoadPaddock WoodTonbridgeKentTN12 6EN,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,567081,145137,0.07,not owned by a public authority,Yes,permissioned,other,2016-10-19,15/510061/PNOCLA (prior approval not required),,5,Notification for prior approval for a proposed change of use of a building from office use (Class B1(a)) to five dwellings (Class C3) -first floor only,Library on ground floor,,5,5,,LBD/Flood Zone 2,,2017-11-27,2017-11-27,,16/06501/PNOCLA,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0012,,69-71 Culverden DownRoyal Tunbridge WellsTN4 9SL,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,557677,140411,0.17,not owned by a public authority,Yes,permissioned,full planning permission,2017-02-15,"15/504820/FULL (approved), 15/508764/FULL (approved)",,8,Proposed demolition of existing dwelling and proposed development of 8 apartments with associated hard and soft landscaping,,,8,8,,LBD,,2017-11-27,2017-11-27,,16/07150/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0013,,Westcombe House2 - 4 Mount EphraimRoyal Tunbridge WellsKent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558294,140000,0.06,not owned by a public authority,Yes,permissioned,full planning permission,2017-11-15,16/07532/PNOCLA (prior approval not required 24 units),,9,Notification for Prior Approval for a Proposed Change of Use of a building from Office Use (Class B1(a)) to Dwellinghouse (Class C3) - creating 24 new units,Small part B1(a) onN ground floor,,9,24,,LBD/Adjoining CA/Air Quality Management Area,,2017-11-27,2017-11-27,,17/03114/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0016,,Reliance Recovery13A Benhall Mill RoadRoyal Tunbridge WellsKentTN2 5JH,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,559240,137870,0.19,not owned by a public authority,Yes,permissioned,full planning permission,2016-08-12,None recent,,6,Redevelopment of site to provide 6 dwellings.,,,6,6,,LBD,,2017-11-27,2017-11-27,,16/505200/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0024,,Unit 1The Southborough Centre1 Draper StreetSouthboroughRoyal Tunbridge WellsKentTN4 0PG,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,557964,142612,0.03,not owned by a public authority,,not permissioned,other,2015-03-30,None recent,,12,Prior notification for the change of use of Conversion of 1st and 2nd floors from B1 offices to C3 residential 6x1 bed flats and 6x2 bed flats,Other commercialunits in business centre,,12,12,,LBD/CA,,2017-11-27,2017-11-27,,15/500805/PNJCLA,Expired
