OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,Siteplan,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,HELAA Reference
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR001,,"NRT Electrical & Mechanical, Castle House, Park Road, Banstead",http://www.reigate-banstead.gov.uk/downloads/file/3819/rbbcblr001,OSGB36,525916.00,525916.00,0.18,Not owned by a public authority.,Yes,Permissioned,Full planning,19/11/15,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,10,Conversion of ground floor and first floor of southern wing of Castle House from office use to residential use.,,,,,,31/12/17,,BV20
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR002,,"Hengest Farm, Woodmansterne Lane, Banstead",http://www.reigate-banstead.gov.uk/downloads/file/3820/rbbcblr002,OSGB36,526372.00,160059.00,0.59,Not owned by a public authority.,Yes,Permissioned,Full planning,22/12/16,http://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OA5NMYMVLXX00,7,Permission to demolish the existing buildings on site to provide 7 dwellings.,,,,,,31/12/17,,BV30
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR003,,"8 Brighton Road, Hooley",http://www.reigate-banstead.gov.uk/downloads/file/3822/rbbcblr003,OSGB36,528831.00,156748.00,0.10,Not owned by a public authority.,Yes,Permissioned,Full planning,24/03/13,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,5,Conversion of detached 7 bedroomhouse to 5 flats.,,,,,,31/12/17,,CHW14
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR004,,"Courtlands Farm, Park Road, Banstead",http://www.reigate-banstead.gov.uk/downloads/file/3825/rbbcblr004,OSGB36,526616.00,159185.00,2.50,Not owned by a public authority.,Yes,Permissioned,Full planning,20/01/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,9,"Removal of hardstanding and buildings, erection of 9 detached houses and retained bunker.",,,,,,31/12/17,,CHW15
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR005,,"Kingswood Station, Waterhouse Lane, Kingswood",http://www.reigate-banstead.gov.uk/downloads/file/3829/rbbcblr005,OSGB36,524810.00,156592.00,0.78,Not owned by a public authority.,Yes,Permissioned,Full planning,24/05/17,http://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OB2ZPSMVGSQ00,18,Redevelopment of the site to provide 18 residential dwelling houses.,,,,,,31/12/17,,KBH12
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR006,,"Land south of Margery Lane (Kingswood Hall Estate), Lower Kingswood",http://www.reigate-banstead.gov.uk/downloads/file/3830/rbbcblr006,OSGB36,525180.00,152543.00,0.36,Not owned by a public authority.,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,7,,,7,,,,31/12/17,,KBH23
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR007,,"Frith Park Mansion, Sturts Lane, Walton on the Hill",http://www.reigate-banstead.gov.uk/downloads/file/3823/rbbcblr007,OSGB36,521577.00,153806.00,1.64,Not owned by a public authority.,Yes,Permissioned,Full planning,24/03/16,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,37,Full planning permission and listed building consent is sought for a mixed-use redevelopment comprising 37 residential dwellings and employment uses.,46sqm B1(a)/ B1(c)/ B2/ B8,,,,,31/12/17,,TW05
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR008,,"Hockley Business Centre, Hooley Lane, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3828/rbbcblr008,OSGB36,527836.00,149721.00,0.52,Not owned by a public authority.,Yes,Permissioned,Full planning,08/05/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,50,"Partial demolition of existing buildings and erection of 4 apartment blocks containing 49 flats, retention of locally listed wall and conversion of existing building into 2 bed house.",,,,,,31/12/17,,EW08
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR009,,"Redhill Aerodrome, Kings Mill, Lane, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3824/rbbcblr009,OSGB36,530118.00,147960.00,6.54,Not owned by a public authority.,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,130,,,130,,,"The site has been identified, as part of a wider site, in the Regulation 19 Development Management Plan as a safeguarding site.",31/12/17,,EW09
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR010,,"Units 1 & 2 and Land R/O 8-13 Maple Works, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3826/rbbcblr010,OSGB36,527705.00,148025.00,0.15,Not owned by a public authority.,Yes,Permissioned,Full planning,16/02/16,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,6,Demolition of warehouses and erection of 6 four bedroom houses.,,,,,,31/12/17,,EW14
