SiteReference,SiteName/Address,CoordinateReferenceSystem,Grid reference easting,Grid reference northing,Hectares,PlanningStatus,Planningapplicationreference,PermissionType,PermissionDate,PlanningHistory,OwnershipStatus,Deliverable,HousingEstimate,NetDwellingsRangeFrom,NetDwellingsRangeTo,NonHousingDevelopment,Discription/Notes,OrganisationURI,OrganisationLabel,FirstAddedDate,LastUpdatedDate,Siteplan
BR001,"Normoss Farm, Normoss Road, Poulton",WSG84,334412,437538,0.61,Permissioned,15/00297,Full planning permisison,24/04/2017,https://publicaccess.wyre.gov.uk/online-applications/ ,Not owned by a public authority,Yes,17,,,,Redevelopment of existing farm and caravan park to create 21 residential units with associated landscaping and vehicular access onto Normoss Road,http://opendatacommunities.org/id/district-council/wyre ,Wyre Council,14/12/2017,,https://arcg.is/0nuG4n
BR002,"South of Kepple Lane, Garstang",WSG84,348727,444847,2.87,Pending decision,17/00305,Reserved mattres approval,,https://publicaccess.wyre.gov.uk/online-applications/ ,Not owned by a public authority,Yes,75,,,,"Reserved matters application for the erection of 75 dwellings following the grant of outline permission under reference 14/00053/OUTMAJ. Matters of access, layout, scale, appearance and landscaping to be determined.",http://opendatacommunities.org/id/district-council/wyre ,Wyre Council,14/12/2017,,https://arcg.is/0nuG4n
BR003,"52-60 Poulton Road, Fleetwood",WSG84,333197,447736,0.05,Permissioned,14/00967,Full planning permisison,20/04/2015,https://publicaccess.wyre.gov.uk/online-applications/ ,Not owned by a public authority,Yes,9,,,,Erection of six two bedroomed and three one bedroomed self-contained apartments with parking to the rear (resubmission of 13/00712/FULMAJ),http://opendatacommunities.org/id/district-council/wyre ,Wyre Council,14/12/2017,,https://arcg.is/0nuG4n
BR004,"Land north and east of Bourne Road, Thornton.",WSG84,333983,444090,5.16,Permissioned,12/00074,Full planning permisison,10/10/2012,https://publicaccess.wyre.gov.uk/online-applications/ ,Not owned by a public authority,Yes,186,,,,Residential development consisting of 186 dwellings,http://opendatacommunities.org/id/district-council/wyre ,Wyre Council,14/12/2017,,https://arcg.is/0nuG4n
BR005,"Royal Oak, 64 Breck Road, Poulton",WSG84,335072,439837,0.12,Permissioned,17/00070,Full planning permisison,08/06/2017,https://publicaccess.wyre.gov.uk/online-applications/ ,Not owned by a public authority,Yes,12,,,,Variation of condition 2 on application 14/00928/FULMAJ to allow for the full demolition of existing building and the erection of a three storey and part two storey apartment block (12 apartments) including associated access/parking provision and a cycle store.,http://opendatacommunities.org/id/district-council/wyre ,Wyre Council,14/12/2017,,https://arcg.is/0nuG4n
BR006,"Preesall Service Station, Sandy Lane, Preesall",WSG84,336916,447746,0.12,Permissioned,15/00074,Reserved mattres approval,22/01/2016,https://publicaccess.wyre.gov.uk/online-applications/ ,Not owned by a public authority,Yes,6,,,,"Reserved matters application for the appearance, landscaping and scale of six dwellings, following outline approval 11/00599/OUT",http://opendatacommunities.org/id/district-council/wyre ,Wyre Council,14/12/2017,,https://arcg.is/0nuG4n
BR007,"Brimelows Garage, 54 Hardhorn Road, Poulton",WSG84,334796,439143,0.14,Permissioned,15/00166,Reserved mattres approval,14/01/2016,https://publicaccess.wyre.gov.uk/online-applications/ ,Not owned by a public authority,Yes,12,,,,Reserved matters application for the appearance and landscaping of 7 town houses and 6 apartments following outline approval 11/00765/OUTMAJ,http://opendatacommunities.org/id/district-council/wyre ,Wyre Council,14/12/2017,,https://arcg.is/0nuG4n
BR008,"Fairfield Nurseries, Puddle House Lane, Poulton",WSG84,335723,437531,1.18,Permissioned,17/00597,Reserved mattres approval,27/09/2017,https://publicaccess.wyre.gov.uk/online-applications/ ,Not owned by a public authority,Yes,9,,,,Reserved matters application for the erection of nine detached dwellings (following outline approval 17/00410/OUTMAJ),http://opendatacommunities.org/id/district-council/wyre ,Wyre Council,14/12/2017,,https://arcg.is/0nuG4n
BR009,"West of Nightingale Way, Catterall",WSG84,349297,443061,0.6,Permissioned,13/00607,Outline planning permission,11/06/2014,https://publicaccess.wyre.gov.uk/online-applications/ ,Not owned by a public authority,Yes,9,,,,Outline application for erection of 9 dwellings including siting and access,http://opendatacommunities.org/id/district-council/wyre ,Wyre Council,14/12/2017,,https://arcg.is/0nuG4n
BR010,"Lincluden, Wallace Lane, Forton",WSG84,349129,451886,0.43,Permissioned,14/00920 & 15/00929,Full planning permisison,09/08/2015 & 28/01/2016,https://publicaccess.wyre.gov.uk/online-applications/ ,Not owned by a public authority,Yes,7,,,,"14/00920 - External alterations including the erection of a roof lift and addition of solar panels to existing dwelling to form 6 retirement apartments. Conversion, external alterations and addition of solar panels to existing garages to form 2 retirement apartments and creation of associated parking and landscaping.
15/00929 - Erection of one dwelling (following the part demolition of existing garage)",http://opendatacommunities.org/id/district-council/wyre ,Wyre Council,14/12/2017,,https://arcg.is/0nuG4n
