OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,DateUpdate,SiteReferenceAlternate,Easting,Northing
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00001,,"""Monk Bridge Road (3)  LS6""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00001,ETRS89,-1.5737459,53.826719,0.51,not owned by a public authority,yes,not permissioned,,,,,9,,,,9,9,,,,11/07/2016,01/02/2019,3,428155,436801
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00004,,"""Spenfield House Otley Road Headingley Leeds LS16 5""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00004,ETRS89,-1.5913333,53.833512,1.22,not owned by a public authority,yes,permissioned,full planning permission,19/04/2017,,,13,"Part demolition and conversion of Spenfield to create 6 apartments and studio flat together with construction of 7 terraced dwellings on car park to the rear with associated boundary treatments, landscaping and car parking.",,,13,13,,,,11/07/2016,01/02/2019,8,426993,437550
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00006,,"""Scarcroft Lodge Wetherby Road Scarcroft Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00006,ETRS89,-1.4470002,53.8645,5.79,not owned by a public authority,yes,not permissioned,,,,,100,,,,100,100,,,,19/12/2017,01/02/2019,15,436465,441062
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00009,,"""Land North Of Morrisons Swinnow Road Swinnow Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00009,ETRS89,-1.6364688,53.804581,0.69,not owned by a public authority,yes,permissioned,reserved matters approval,23/01/2018,,,25,Reserved Matters application for residential development of 25 dwellings,,,25,25,,,,11/07/2016,01/02/2019,26,424039,434315
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00011,,"""Daytona Works Carlisle Road Pudsey Leeds LS28 8PL""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00011,ETRS89,-1.6676442,53.790848,0.53,not owned by a public authority,yes,permissioned,full planning permission,01/06/2012,,,18,Erection of 23 dwelling houses,,,18,18,,,,11/07/2016,01/02/2019,33,421993,432777
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00012,,"""Riverside Mill Low Hall Road Horsforth Leeds LS19""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00012,ETRS89,-1.6706731,53.834403,7.86,not owned by a public authority,yes,permissioned,reserved matters approval,25/09/2015,,,85,"Reserved matters application for the erection of 120 dwellings, conversion of two buildings to form three dwellings, laying out of public open space and associated infrastructure",,,85,85,,,,11/07/2016,01/02/2019,34,421771,437622
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00013,,"""Land At Vesper Road Kirkstall Leeds LS5 3NU""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00013,ETRS89,-1.6067481,53.826229,0.48,not owned by a public authority,,not permissioned,,,,,17,,,,17,17,,,,11/07/2016,01/02/2019,37,425983,436734
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00014,,"""Moorfield Road / Tower Works""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00014,ETRS89,-1.6038112,53.799345,1.00,not owned by a public authority,yes,not permissioned,,,,,62,,,,62,62,,,,11/07/2016,01/02/2019,41,426193,433744
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00017,,"""South Park Mills, 15, 15a, 16 And 17, Acrivan Ltd, Fulneck""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00017,ETRS89,-1.6581512,53.780377,1.32,not owned by a public authority,yes,permissioned,outline planning permission,20/01/2017,,,21,Outline application for residential development of up to 21 dwellings,,,21,21,,,,11/07/2016,01/02/2019,64,422624,431615
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00018,,"""Woodside Mill Low Lane Horsforth Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00018,ETRS89,-1.6231576,53.841247,1.30,not owned by a public authority,yes,not permissioned,,,,,59,,,,59,59,,,,11/07/2016,01/02/2019,65,424894,438399
