Organisation URI,Organisation label,Site Reference,Previously part of,Site name/address,Site plan (url),Site coordinate,GeoX,GeoY,Hectares,Ownership status,Deliverable,Planning status,Permission type,Permission date,Planning history,Proposed for PIP,Minimum net dwellings,Development description,Non-housing development,Site information,Notes,FirstAddedDate,LastUpdatedDate,Part2,Net dwellings,Net dwellings,Non-housing development,Hazardous substances
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Land Rear Church And Dwight, 
Caesars Way, Folkestone, Kent",,,620287,137503,,"Owned by a 
public authority",,"Permitted
Planning ref Y16/0403/SH",,,,,77,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Land Adjoining Fairlight Terrace, 
Lydd Road, New Romney, Kent, TN28 8HE",,,605876,124771,0.425 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y14/1428/SH",,,,,21,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"11 Littlestone Road, 
Littlestone, 
Kent, TN28 8LN",,,,,,"Not owned by a 
public authority",,"Permitted
Planning ref Y11/0121/SH",,,,,11,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Two Bells Inn , 58 Canterbury Road, 
Folkestone, Kent, CT19 5NJ",,,623125,136868,0.05 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y16/0220/SH",,,,,12,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Charlier House, 8 - 12 Stade Street, 
Hythe, Kent, CT21 6BE",,,615998,134549,0.13 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y16/0987/SH",,,,,6,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"12-14 Princess Street, 
Folkestone, Kent, CT19 6EB",,,,,0.03 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y05/1391/SH",,,,,8,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"The Leas Club, The Leas, 
Folkestone, Kent, CT19 2DP",,,622622,135710,0.25 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y08/1212/SH",,,,,68,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"72 Cheriton High Street,
 Folkestone,
 Kent,
 CT19 4HF",,,,,0.158 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y12/1000/SH",,,,,12,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"52 - 54 Guildhall Street, 
Folkestone, Kent, CT20 1EE",,,,,0.035 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y13/0166/SH",,,,,14,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Folkestone Constitutional Club, 
43-45 Guildhall Street, Folkestone, Kent CT20 1EF",,,622715,136132,0.034 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y14/0411/SH",,,,,8,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"116 Cheriton Road, Folkestone,
Kent, CT19 5HQ",,,621847,136377,0.08 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y14/0834/SH",,,,,9,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Squirrels, Cannongate Road, Hythe, 
Kent, CT21 5PT",,,616830,135137,0.125 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref
Y10/0717/SH",,,,,8,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Shakespeare Centre, 145-147 Sandgate Road, 
Folkestone, Kent, CT20 2DA",,,,,0.05 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref
Y14/0703/SH",,,,,6,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"The Paddocks, 13 Prospect Road, Hythe, Kent, CT21 5NN
(Land Adjoining The Paddocks Car Park, Prospect Road, Hythe, Kent)",,,616240,134686,0.08 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref 
Y15/0467/SH",,,,,10,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"124 Sandgate High Street, Sandgate, 
Folkestone, Kent, CT20 3BZ",,,,,0.016 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref
Y05/0237/SH",,,,,5,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"58 - 60 & 62 Shorncliffe Road, Folkestone, 
Kent, CT20 2NQ",,,620957,135937,0.24 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref 
Y14/1149/SH",,,,,42,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"12 Jointon Road, Folkestone, Kent, 
CT20 2RG",,,621825,135910,0.26 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y15/0178/SH",,,,,8,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"5 Trinity Crescent,
 Folkestone,
 Kent,
 CT20 2ES",,,621952,135513,0.147 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y12/0650/SH",,,,,5,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA1,,"East Station Goods Yard, Southern Way, 
Folkestone, Kent",,,623411,136694,1.25 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y14/0928/SH",,,,,41,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Harbour Community Church, Harvey Street, 
Folkestone, Kent, CT20 1LH",,,,,0.043 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y15/0533/SH",,,,,5,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Coach Depot
 King Street
 Brenzett, 
Kent, TN29 9UD",,,,,0.2 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y14/0578/SH",,,,,11,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA2,,"Former Rotunda Amusement Park, Marine Parade, Folkestone, Kent",,,623209,135663,23 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y12/0897/SH",,,,,1000,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Shepway Resource Centre, Military Road, 
Folkestone, Kent, CT20 3SP",,,620051,135846,0.69 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y16/0463/SH",,,,,41,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Stoneleigh House, Tram Road, 
Folkestone, Kent, CT20 1QS",,,,,0.1 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y13/0858/SH",,,,,14,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,ND1,,"Former Officers Mess, Aerodrome Road, Hawkinge",,,620510,139543,3.75 hectares,"Not owned by a 
public authority",,"Resolution to grant
Y15/0030/SH",,,,,70,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"11 Tontine Street, Folkestone, Kent, CT20 1JT",,,623146,136065,0.0291 hectares,"Not owned by a 
public authority",,Y15/0072/SH,,,,,8,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Land Adjoining Sir John Moore 
Barracks, Military Road, Sandgate, Kent",,,620327,135489,1.44 hectares,"Not owned by a 
public authority",,Y11/0137/SH,,,,,6,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA3,,"The Royal Victoria Hospital, 
Radnor Park Avenue",,,,,1 hectare,,,,,,,,42,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA4,,"3-5 Shorncliffe Road, Folekstone",,,,,0.15 hectares,,,,,,,,20,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA7,,"Former Gas Works, Ship Street, 
Folkestone",,,,,1.5 hectares,,,,,,,,100,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA8,,"Highview School, Moat Farm Road",,,,,0.9 hectares,,,,,,,,27,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA9,,"Brockman Family Centre, Cheriton",,,,,0.87 hectares,,,,,,,,26,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA10,,"The Cherry Pickers Public House, 
Cheriton",,,,,0.23 hectares,,,,,,,,10,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA11,,"Affinity Water, Shearway Road, 
Cheriton",,,,,2.87 hectares,,,,,,,,70,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA12,,"Encombe House, Sandgate",,,,,1.65 hectares,,,,,,,,36,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA13,,"Smiths Medical Campus, Hythe",,,,,3.2 hectares,,,,,,,,80,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA16,,"St Saviour's Hosptial, Seabrook 
Road, Hythe",,,,,1.14 hectares,,,,,,,,50,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA17,,"Foxwood School, Seabrook Road, 
Hythe",,,,,5.9 hectares,,,,,,,,150,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA19,,"Hythe Swimming Pool, Hythe",,,,,0.5 hectares,,,,,,,,50,,,,,,,,,,,
