OrganisationURI,OrganisationLabel,Site Reference,Last Updated Date,Previously Part Of,Site Name Address,Ward,Source,Siteplan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed for PiP,Min Net Dwellings,Residential Development Description,Non Housing Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR1,,,"Gas Holder Site, Homesdale Road, Bromley, BR1 2UE",Bickley,LP Housing Trajectory/ LP Site Allocation/CFS,"Link to the site boundary of the Gas Holder Site, Homesdale Road, Bickley supporting the Site Allocation in the Local Plan",ETRS89,51.40075258,0.032183239,1,Unknown Ownership,Yes,Not permissioned,,,None relevant.,,60,The site is allocated for 60 residential units in Bromley's  Local Plan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR2,,,"Land adjacent to Bickley Station,BR1 2EB",Bickley,LP Housing Trajectory/ LP Site Allocation/CFS,Link to the site boundary of the Land adjacent to Bickley Station supporting the Site Allocation in the Local Plan,ETRS89,51.39967957,0.042702504,0.9,Unknown Ownership,Yes,Not permissioned,,,None relevant.,,30,The site is allocated for around 30 residential units in Bromley's Local Plan.,The allocation also seeks to ensure the reprovision of car parking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR3,,,Opportunity Site B Corner of Tweedy Road/London Road,Bromley Town,LP Housing Trajectory/BTCAAP,Link to Appendix 5 of Bromley Town Centre's Area Action Plan. A map of Opportunity Site B is included on p.155,ETRS89,51.40885202,0.012023238,0.37,Owned by the London Borough of Bromley,yes,Not permissioned,,,"Link to full planning permission 17/05084/FULL1 for 24 x 2 bed flats on land adjacent to Bromley College, London Road",,24,The site is included in the Local Plan's Housing Trajectory ( Appendix 10.1) for 24 units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR4,,,"Opportunity Site C, Old Town Hall, 30 Tweedy Road,  BR1 3FE",Bromley Town,LP Housing Trajectory /BTCAAP/PP,Link to the map of Bromley's Old Town Hall and Associated Carparking associated with Full planning permission 16/01175/FULL1,ETRS89,51.40662835,0.017921393,0.7,Owned by the London Borough of Bromley,Yes,Permissioned,Full Planning Permission,2016-08-11,Link to Full planning permission 16/01175/FULL1 for Old Town Hall 30 Tweedy Road,,53,Proposal for a residential apartment building (Class C3) containing 53 residential units.,"Part of a mixed use development which includes the partial demolition of Old Town Hall building(s) and replacement with ancillary extensions no greater than three storeys in (cumulative) height to facilitate change of use from office (Class B1) to 99 bedroom hotel use (Class C1) including hotel restaurant, conference, wedding and multi-function space and two independent restaurants (Class A3) fronting Widmore Road, Basement car and cycle parking upon the  South Street Car Park Site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR5,,,"Opportunity Site P, Sainsbury's  West Street, Bromley BR1 1TP",Bromley Town,LP Housing Trajectory /BTCAAP,Link to Appendix 5 of Bromley Town Centre's Area Action Plan. A map of Opportunity Site P is included on p.173,ETRS89,51.40715323,0.013544628,1.25,Unknown Ownership,No,Not permissioned,,,None relevant.,,20,Opportunity Site P is allocated for around 20 residential  units in Bromley Town Centre's Area Action Plan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR6,,,"Bromley Civic Centre, Stockwell Close, BR1 3UH",Bromley Town,LP Housing Trajectory/LP Site Allocation/BTCAAP,Link to the site boundary of the Bromley Civic Centre site supporting the Site Allocation in the Local Plan,ETRS89,51.40367621,0.021198841,5.75,Owned by the London Borough of Bromley,No,Not permissioned,,,None relevant.,,70,"Development Section B - Allocated for around 70 residential units, including the sensitive reuse of the Grade I Listed Palace in Bromley's  Local Plan.","Site A - The allocation is also for civic centre facilities, offices and related activities. 
Site C - Public Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR7,,,"West of Bromley High Street and Land at Bromley South, BR1/BR2",Bromley Town,LP  Housing Trajectory/LP Site Allocation/BTCAAP,Link to the site boundary of West of Bromley High Street and Land at Bromley South site associated with the Site Allocation in the Local Plan,ETRS89,51.40132401,0.015746875,4.54,Mixed ownership,No,Not permissioned,,,None relevant.,,1230,The site is allocated for 1230 residential units in Bromley's Local Plan.,"The allocation is also for offices, retail and a transport interchange.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR8,,,"Land adjacent to Bromley North Station, Tweedy Road, Bromley, BR1",Bromley Town/Plaistow and Sundridge,LP  Housing Trajectory as amended/LP Site Allocation/CFS,Link to the site boundary of  the Land adjacent to Bromley North associated with the Site Allocation in the Local Plan,ETRS89,51.40927164,0.017433937,3,Mixed ownership,Yes Part,Not permissioned,,,None relevant.,,525,The site is allocated for 525 residential units in Bromley's  Local Plan.,"The allocation is also for 2000 sqm of office accommodation, space for community use, 230 sqm caf‚/retail, transport interchange and parking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR9,,,"The Hill Car Park & Adjacent Lands,BR2 0DA",Bromley Town,LP Housing Trajectory/LP Site Allocation/CFS,Link to the site boundary of the Hill Muti Storey Car Park and Adjacent Sites associated with the Site Allocation in the Local Plan,ETRS89,51.40642665,0.011341532,1.25,Mixed ownership,No,Not permissioned,,,None relevant.,,150,The site is allocated for 150 residential units in Bromley's Local Plan.,The allocation is also for retail (150sqm) and car parking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR10,,,"Banbury House, Bushell Way, Chislehurst, BR7 6SF",Chislehurst,LP Housing Trajectory/LP Site Allocation/CFS,Link to the site boundary of Banbury House Bushell Way associated with the Site Allocation in the Local Plan,ETRS89,51.42306416,0.059481434,0.27,Owned by the London Borough of Bromley,Yes,Not permissioned,,,None relevant.,,25,The site is allocated for around 25 residential units in Bromley's Local Plan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR11,,,"Bromley Valley Gym and Adjacent Lands, Chipperfield Road, St Paul?s Cray, BR5 2QR",Chislehurst,LP Housing Trajectory/LP  Site Allocation/CFS,Link to the site boundary of Bromley Valley Gym and Adjacent Lands Chipperfield Road St Paul's Cray associated with the Site Allocation in the Local Plan,ETRS89,51.40546566,0.103479952,2.8,Owned by the London Borough of Bromley,No,Not permissioned,,,None relevant.,,200,The site is allocated for around 200 residential units in Bromley's Local Plan.,"The allocation also expects developments to provide public realm improvements, include appropriate parking and contribute to the aims of the Cray Valley Renewal Area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
