OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoX,GeoY,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/wyre-forest,AS/3,Service Station Chester Road South,Chester Road South Service Station siteplan,-2.239693,52.380518,0.41,not owned by a public authority,permissioned,outline planning permission,2018-02-21,17/0617/OUTL,yes,10.0,15.0,,Allocated for residential development under SAL.KSS1. 19/0573/full decision pending,2017-12-31,2019-12-04,
http://opendatacommunities.org/id/district-council/wyre-forest,AS/6,Lea Street School Lea Street,Lea Street School siteplan,-2.23826,52.387165,0.47,owned by a public authority,not permissioned,,,,yes,24.0,,,proposed residential allocation in pre-submission local plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,AS/7,Former Polish Club St.Georges Terrace,Former Polish Club siteplan,-2.241989,52.386663,0.11,not owned by a public authority,permissioned,full planning permission,2015-10-15,15/0487/FULL,yes,8.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,AS/8,Adjacent 78 Cherry Orchard,78 Cherry Orchard siteplan,-2.240838,52.385613,0.06,not owned by a public authority,permissioned,full planning permission,2019-05-31,19/0210/FULL,yes,5.0,7.0,,site under construction,2017-12-31,2017-12-31,2019-09-01
http://opendatacommunities.org/id/district-council/wyre-forest,AS/9,"Railway Corner, Stanklyn Lane",Railway Corner siteplan,-2.233795,52.361502,0.22,not owned by a public authority,not permissioned,,,,yes,6.0,10.0,,,2018-12-31,2018-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/7,93-94 New Road,93-94 New Road siteplan,-2.248122,52.384978,0.06,not owned by a public authority,permissioned,outline planning permission,2019-09-26,19/0467/OUTL,yes,8.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/8,site of British Heart Foundation Market Street,Former British Heart Foundation Market Street siteplan,-2.247773,52.385761,0.05,not owned by a public authority,not permissioned,,,,yes,10.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/10,Frank Stone Building Green Street,Frank Stone Building siteplan,-2.246467,52.383399,0.32,not owned by a public authority,not permissioned,,,,yes,16.0,,,Allocated for mixed of uses including housing under KCA.HP2,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/15,37 Park Lane,Former Parkers Arms Site siteplan,-2.251309,52.384863,0.05,not owned by a public authority,permissioned,full planning permission,2019-06-10,19/0033/FULL,yes,7.0,7.0,,site now cleared of buildings,2017-12-31,2019-12-04,
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/16,Timber Yard Park Lane,Timber Yard siteplan,-2.252964,52.386496,2.1,mixed ownership,not permissioned,,,,yes,55.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/17,Rock Works Park Lane,Rock Works siteplan,-2.253838,52.387645,0.358,mixed ownership,not permissioned,,,,yes,20.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/27/28,17-26 Vicar Street,Vicar Street siteplan,-2.249267,52.387493,0.2,not owned by a public authority,not permissioned,,,,yes,16.0,16.0,,Upper floors to be converted. Part of site is Listed Building - former carpet works. Permission now lapsed,2017-12-31,2019-12-04,
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/31,Woodfield House Bewdley Road,Blakebrook School and Woodfield House siteplan,-2.259771,52.387137,0.31,not owned by a public authority,permissioned,full planning permission,2019-09-24,19/0485/FULL,yes,9.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/33,Land at Mill Street,Land at Mill Street siteplan,-2.254786,52.389018,0.02,not owned by a public authority,permissioned,full planning permission,2017-12-01,17/0200/FULL,yes,5.0,5.0,,site under construction,2017-12-31,2017-12-31,2019-02-01
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/38,Kidderminster Fire Station Castle Road,Kidderminster Fire Station siteplan,-2.250023,52.383364,0.38,owned by a public authority,not permissioned,,,,yes,40.0,,,fire station due to relocate to new emergency services hub on Stourport Road,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/39,Boucher Building Green Street,Boucher Building Green Street siteplan,-2.246501,52.383956,0.03,not owned by a public authority,not permissioned,,,,yes,10.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/40,10-12 Bull Ring,Bull Ring siteplan,-2.249699,52.388491,0.02,not owned by a public authority,permissioned,full planning permission,2017-03-22,17/3006/PNRES,yes,6.0,6.0,,works completed and now occupied,2017-12-31,2017-12-31,2019-07-01
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/41,Tower Buildings Blackwell Street,Tower Buildings siteplan,-2.247162,52.389367,0.215,not owned by a public authority,permissioned,full planning permission,2017-10-16,17/3051/PNRES,yes,39.0,46.0,,stripping out works taking place,2017-12-31,2017-12-31,2019-06-01
http://opendatacommunities.org/id/district-council/wyre-forest,BHS/42,Rowland Hill Centre,Rowland Hill Centre siteplan,-2.248257,52.387319,0.321,owned by a public authority,not permissioned,,,,yes,50.0,70.0,,Site leased to third party,2018-12-31,2018-12-31,
