OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,A1513,,Chandlers BMW Site Water Lane Angmering,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=506931&y=104424&resolution=1.0&MapName=Helaa,ETRS89,-0.48301761,50.82947755,0.5,not owned by a public authority,yes,not permissioned,,,,,18,,,,18,20,,,,2017-11-10,2017-11-10,506931,104424,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,HP3,,S&G Motors Arundel Road Walberton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=495930&y=106877&resolution=1.0&MapName=Helaa,ETRS89,-0.638533927900,50.85345548,0.75,not owned by a public authority,yes,not permissioned,,,,,26,,,,26,28,,,,2017-11-10,2017-11-10,495930,106877,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU33,,Patterson Wilson Road Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=503132&y=102415&resolution=1.0&MapName=Helaa,ETRS89,-0.537506358600,50.81210531,0.54,not owned by a public authority,yes,not permissioned,,,,,14,,Allocated by the neighbourhood plan for housing and a business incubator.,,14,16,,,,2017-11-10,2017-11-10,503132,102415,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU33a,,Meadowfield House Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=503151&y=102381&resolution=1.0&MapName=Helaa,ETRS89,-0.537246328800,50.81179629,0.35,owned by a public authority,yes,not permissioned,,,,,11,,Allocated by the neighbourhood plan for housing and a business incubator.,,11,13,,,,2017-11-10,2017-11-10,503151,102381,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWBE10,,Bartons County Infants School Romney Broadwalk Bersted,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=492543&y=100908&resolution=1.0&MapName=Helaa,ETRS89,-0.688142790600,50.80034345,0.59,not owned by a public authority,yes,not permissioned,,,,,15,,,,15,17,,,,2017-11-10,2017-11-10,492543,100908,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,115,,Electronic Sub Station Ford Road Arundel,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=501295&y=106735&resolution=1.0&MapName=Helaa,ETRS89,-0.562379710000,50.85126516,0.43,not owned by a public authority,yes,not permissioned,,,,,36,,,,36,38,,,,2017-11-10,2017-11-10,501295,106735,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR19,,Regis Centre Site The Esplanade Bognor Regis,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=493742&y=98964&resolution=1.0&MapName=Helaa,ETRS89,-0.671628028700,50.78267344,1.57,owned by a public authority,yes,not permissioned,,,,,90,,"Development should be according to the Bognor Regis Masterplan which allocates leisure and some mixed use for the site. Due to economic conditions, it is uncertain when or exactly what type the development will be.",,90,100,,,,2017-11-10,2017-11-10,493742,98964,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWLU40,,Former Hospital Site Fitzalan Road / Church Street Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=503144&y=102037&resolution=1.0&MapName=Helaa,ETRS89,-0.537442378400,50.80870519,0.54,not owned by a public authority,yes,not permissioned,,,,,19,,,,,,,,,2017-11-10,2017-11-10,503144,102037,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR5,,Hothampton Car Park The Queensway Bognor Regis,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=493351&y=99130&resolution=1.0&MapName=Helaa,ETRS89,-0.677130634500,50.78422894,1.33,mixed ownership,yes,not permissioned,,,,,75,,"Development suitable in accordance with the Bognor Regis Masterplan which allocates some of this site for offices, health centre and open space.",,75,85,,,,2017-11-10,2017-11-10,493351,99130,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,PS12,,St Martins Car Park & Former Waitrose Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=502798&y=102243&resolution=1.0&MapName=Helaa,ETRS89,-0.542293694700,50.81061847,2.2,mixed ownership,yes,not permissioned,,,,,65,,The location is such that it would be suited to a mixture of uses.,,65,75,,,,2017-11-10,2017-11-10,502798,102243,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
