OrganisationURI,OrganisationLabel,SiteReference (also SHLAA Reference),PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,Ward Name,Ownership Information,Deliverable,Planning Status,Permission Type,Permission History,Min Net Dwellings,Development Description,FirstAddedDate,GF / PDL,Are there known ownership or tenancy issues?,Last UpdatedDate
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1019.0,,"Land adj 414 Knutsford Road, WA4 1DR",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361758.66,387489.68,0.08,Latchford West,Not owned by a Public Authority,No,Not Permissioned,,,8,See most recent planning history at warrington.gov.uk,2018-12-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1029.0,,"Land at John St/Winwick Street, Warrington, WA4 6NL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360690.33,388623.0,0.85,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Pending decision,Full Planning,2017/31394,362,See most recent planning history at warrington.gov.uk,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1050.0,,"114, Booths Hill Road, Lymm, Warrington, WA13 0EQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,367051.56,387107.52,0.11,Lymm South,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2017/30858,6,See most recent planning history at warrington.gov.uk,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1090.0,,"Beers Building Co, Station Road, Latchford, WA4 2AD",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362484.72,386927.52,1.48,Latchford East,Not owned by a Public Authority,No,Not Permissioned,,"(previous consents) 2008/12523, 2008/12578 and 2011/18363",158,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1108.0,,"Edwards Cheshire, Navigation Street, Warrington, WA1 2EL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361614.47,388089.01,0.56,Fairfield & Howley,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2007/10238,76,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1178.0,,"Cardinal Newman High School, Bridgewater Avenue, Latchford, WA4 1RX",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362685.48,388317.01,2.72,Latchford East,Owned by a Public Authority,No,Not Permissioned,Expired,2007/12025 and 2010/17569,110,See most recent planning history at warrington.gov.uk,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1201.0,,"New World Ltd, New World House, Thelwall Lane, Warrington, WA4 1NL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,363588.95,387559.5,14.06,Latchford East,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2007/11944 and 2009/14707 and 2010/17050,34,See most recent planning history at warrington.gov.uk,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1245.0,,"The Corner House, 98 Sandy Lane, Warrington, WA2 9HX",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360845.9,390959.52,0.08,Orford,Not owned by a Public Authority,No,Not Permissioned,Expired,2009/15652,11,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1322.0,,"Brook Place, Knutsford Road, Warrington, WA4 1PH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362194.08,387393.5,0.16,Latchford East,Not owned by a Public Authority,No,Not Permissioned,Expired,2006/08556,8,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1401.0,,"Land at Winwick Street/Tanners Lane/Dallam Lane, Warrington, WA2 7NG",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360532.42,388589.62,3.0,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,Expired,2005/07132,20,See most recent planning history at warrington.gov.uk,2017-06-01,,,2018-12-01
