OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PermissionHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,OSEasting,OSNorthing,SHELAACrossReference
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR2,,Jubilee Business Park Snarestone Road Appleby Magna,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.683438,-1.528459,2.02,Not Owned by a Public Authority,,Not Permissioned,,,,,38,,,,38,38,,,,43100,43830,431978,309631,Ap10
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR4,,Breedon Priory Nursery Ashby Road Breedon on the Hill,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.802722,-1.404124,2.55,Not Owned by a Public Authority,,Pending Decision,Full Planning Permission,,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=PJBLQVLRITD00,,35,"Demolition of existing buildings and redevelopment for 43 dwellings, a new village hall, formation of vehicular and pedestrian access points and associated infrastructure",the proposed village hall is included in the brownfield element of the site,,,,,,18/02198/FULM application site 5.8ha B/F element 1.95ha| Previous outstanding application is 16/01120/FULM application site 3.93ha - B/F element 2.55ha,43100,43830,440263,322966,Br4
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR5,,Stevenson House Ashby Road Coalville,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.727154,-1.380438,0.28,Not Owned by a Public Authority,,Not Permissioned,,,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=MHW68NLR63000,,14,Demolition of existing structures and the change of use of the land to residential with the erection 14 dwellings (Outline - All Matters reserved),,,14,14,,,13/00107/OUTM expired 2019/12/20,43100,43830,441939,314565,C12
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR6,,Former Needle Factory Wolsey Road Coalville,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.727335,-1.375331,2.06,Not Owned by a Public Authority,,Not Permissioned,,,,,38,,,,38,38,,,,43100,43830,442280,314593,C28
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR7,,The Piggeries North of Standard Hill Coalville,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.717178,-1.384043,0.65,Not Owned by a Public Authority,,Pending Decision,Full Planning Permission,,https://plans.nwleics.gov.uk/public-access/caseDetails.do?caseType=Application&keyVal=Q0ASJLLRIW600,,15,"Demolition of existing buildings and erection of 85 dwellings with associated infrastructure, landscaping and drainage features",,,,,,,19/02159/FULM application site 2.53ha B/F element 0.65ha,43100,43830,441711,313451,C50 (part)
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR8,,Workspace 17 Highfield Street Coalville,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.717334,-1.375982,0.56,Owned by a Public Authority,,Permissioned,Outline Planning Permission,42823,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=O5H5RMLRIQL00 | https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=O5H5UHLRIQN00,,18,Demolition of existing buildings and erection of up to 20 dwellings (outline - details of part access included) | Demolition of existing buildings and erection of up to 18 dwellings and retail convenience store (A1) (outline - details of part access included),retails store element in second option,,,,,,two applications approved on the same date 16/00414/OUTM is all residential 16/00415/OUTM has a retail element and some Discharge of Conditions,43100,43830,442247,313486,C62
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR11,,Car Park Moira Road Doninsthorpe,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.725932,-1.528041,0.25,Owned by a Public Authority,,Not Permissioned,,,,,18,,,,18,18,,,,43100,43830,431973,314351,D1
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR12,,MTS Logistics Mill Lane Heather,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.692155,-1.415146,1.05,Not Owned by a Public Authority,,Pending Decision,Full Planning Permission,,https://plans.nwleics.gov.uk/public-access/caseDetails.do?caseType=Application&keyVal=PQKPTILRJXL00,,14,Re-development of existing site (including demolition) to provide 14 residential dwellings with associated off-street parking and landscaping,,,,,,,19/00824/FULM pending decision | 14/00396/FULM permission lapsed 2019-03-04,43100,43830,439634,310651,PP11
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR13,,Former Garage 112-128 Melbourne Road Ibstock,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.687935,-1.401426,0.21,Not Owned by a Public Authority,,Not Permissioned,,,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=JLZMM0LR09O00,,12,Residential development - erection of 12 no. dwellings (Outline - layout and access),,,12,12,,,07/01200/OUT for 12 dwellings approved but has since lapsed,43100,43830,440558,310192,Ib19
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR14,,Brooks Machine Tools Derby Road Kegworth,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.836259,-1.278614,0.11,Not Owned by a Public Authority,,Permissioned,Full Planning Permission,39405,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=ID3ENTLRD3000,,16,Erection of 16 Flats,,,,,,,05/00405/FUL The site was granted planning permission in 2007 at appeal for the development of 16 flats. Whilst this development has been started none of the dwellings have been completed.,43100,43830,448693,326772,K9
