OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoX,GeoY,Hectares,OwnershipStatus,OrganisationLabel,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0002,"""Land off York Road, St Ann's, Rotherham, S65 1PN""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3228169.04,3012651.48,0.47,owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,,yes,15,30,,"Housing allocation in the Rotherham Local Plan,H20, LDF0065, RDF0061",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0004,"""Land at Boswell Street and Arundel Road, Herringthorpe, Rotherham""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3228562.99,3011427.40,0.46,unknown ownership,Rotherham Metropolitan Borough Council,not permissioned,,,,yes,11,15,,"H29, LDF0088, RDF0082",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0005,"""Land behind Bradgate Club, Bradgate Lane, Rotherham, S61 1QJ""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3225671.74,3012958.49,0.59,unknown ownership,Rotherham Metropolitan Borough Council,not permissioned,,,,,14,19,,"Housing allocation in the Rotherham Local Plan,H7, LDF0181, RDF0139",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0006,"""Timberyard, Outgang Lane, Dinnington, S25 3QX""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3236406.61,3004769.41,7.96,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2012/1643,yes,167,271,,"Housing allocation in the Rotherham Local Plan,H75, LDF0238, RDF0175",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0008,"""Tarmac site off Blyth Road, Maltby, Rotherham, S64 8HJ""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3237689.24,3009863.95,0.95,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,02/06/2017,http://rotherham.planportal.co.uk/?id=RB2015/1075,yes,18,25,,"Under Construction - Housing allocation in the Rotherham Local Plan,H68, LDF0409, RDF0268",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0009,"""North Farm Close, Harthill, S26 7YH""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3232452.53,2999434.70,0.75,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,,,14,17,,"Housing allocation in the Rotherham Local Plan,H94, LDF0551, RDF0360",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0010,"""128-130 Wellgate, Rotherham, S60 2LL""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227840.27,3011812.69,0.65,owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,29/11/2019,http://rotherham.planportal.co.uk/?id=RB2019/1035,yes,52,100,,"Housing allocation in the Rotherham Local Plan,H22, LDF0565, RDF0859",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0011,"""Moorgate House, Moorgate Road, Rotherham, S60 2AD""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227765.31,3011638.44,0.43,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2007/1136,yes,10,26,,"Housing allocation in the Rotherham Local Plan,H23, LDF0563, RDF1017",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0012,"""Land off Mansfield Road, North of A57, Aston, Rotherham""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3230047.80,3003069.05,0.78,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,10/09/2018,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2018/0021,yes,18,24,,"Under Construction, Housing allocation in the Rotherham Local Plan. Forms part of a wider allocation which in total is estimated to have capacity for 99 homes,H90, LDF0792, RDF1619",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0013,"""Land to the north west of Doncaster Road, Dalton, Rotherham""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3230427.09,3013259.33,0.63,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,,yes,15,38,,"Housing allocation in the Rotherham Local Plan,H25, LDF0134, RDF1671",29/09/2017,02/12/2019,
