OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,Part2,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,PA1Status,PA2MapNumber
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BK001,Heathside and Lethbridge Estate,51.47114,-0.0128,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,6.05,mixed ownership,permissioned,other,12/04/2019,,yes,679,679,,,"""DC/09/72554 dated 22 March 2010, as amended by: DC/10/75267 dated 29 September 2010, DC/10/75395 dated 27 January 2011, DC/12/81165 dated 24 January 2013, 14/087333, DC/14/087835 dated 18 August 2014, DC/14/087335 dated 28 October 2014, DC/15/090624 dated 21 April 2015, DC/15/092670 dated 21 August 2015, DC/17/101616 dated 19 June 2017, DC/17/101686 dated 24 August 2017, DC/17/104709 dated 1 December 2017 and DC/18/106053 dated 29 March 2018 for mixed use development including 2-6 phases with a total of 1,225 residential units minus 565 existing units, with phase 4 (236 units) still to be logged as completed and phases 5 (284 units) and 6 (159 units) still to be approved 18/107715 and s73 Minor Material Amendment  for an additional 34 residential units in Phases 5 and 6, up to 512m2 retail floorspace and 768m2 community floorspace""",30/11/2017,21/10/2019,,Approved site started construction,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BK007,1 Myron Place,51.46277,-0.0092,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.02,not owned by a public authority,permissioned,planning permission granted under an order,21/12/2016,,yes,12,12,,,16/099036 Prior Approval for residential development including 12 studio flats,30/11/2017,,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BK008,"""Our Lady of Lourdes School, Belmont Hill""",51.46321,-0.00218,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.26,not owned by a public authority,permissioned,full planning permission,08/01/2016,,yes,9,9,,,15/094157 for residential development including 9 x four bedroom town houses comprising three pairs of semi-detached houses and one terrace of three houses,30/11/2017,,,Approved site started construction,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BK009,Garages at 49-71 Dacre Park,51.46084,0.003934,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.09,owned by a public authority,permissioned,full planning permission,22/04/2015,,yes,5,5,,,14/89973 for residential development including 5 x two bedroom mews houses,30/11/2017,,,Approved site started construction,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BK010,17 Brandram Road,51.46022,0.001491,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,not permissioned,,,,,6,,,,Lapsed 07/65979 and Lapsed 09/73230 for residential development including 4 x one bedroom and 2 x two bedroom self-contained flats,30/11/2017,22/10/2018,,Lapsed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BK011,179 Lee High Road,51.458777,0.003479,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.26,not owned by a public authority,permissioned,full planning permission,14/03/2019,,yes,2,2,,,"""18/109368 for mixed use development including 3 x one bed flats, one commercial unit ( A1)""",21/10/2019,,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BK012,Merchant Taylors Almshouses Brandram Road,51.459479,0.002159,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.28,not owned by a public authority,permissioned,full planning permission,08/01/2016,,yes,5,5,,,10/74140 for residential development including 2 x three bedroom houses and 2 x two bedroom semi-detached houses,21/10/2019,,,Approved site started construction,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BL002,117 Dunfield Road,51.4245,-0.01676,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.04,not owned by a public authority,permissioned,full planning permission,19/05/2017,,yes,7,7,,,"""16/99506 for residential development including 4 x one bedroom, 3 x two bedroom and 1 x three bedroom self-contained flats""",30/11/2017,,,Approved site,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BL003,"""Kenton Court, 132 Adamsrill Road""",51.43023,-0.04084,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.2,owned by a public authority,permissioned,full planning permission,20/12/2017,,yes,25,25,,,"""17/103961 for residential development including 5 x one bedroom, 15 x two bedroom, 4 x three bedroom and 1 x four bedroom self contained flats""",22/10/2018,,,Approved site,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BL004,"""Home Park Housing Office, 129 Winchfield Road""",51.42521,-0.03969,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.24,mixed ownership,permissioned,full planning permission,20/08/2018,,yes,31,31,,,"""18/106485 for mixed use development including 8 x one bedroom, 16 x two bedroom, 7 x three bedroomed self-contained flats, one commercial unit""",22/10/2018,,,Approved site,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BL005,86-92 Bell Green,51.429209,-0.037628,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.04,not owned by a public authority,permissioned,full planning permission,08/03/2019,,yes,19,19,,,"""17/102792 for mixed use development including 23 residential units, 59m2 commercial ground floor space ( A1, A2 & B1)""",21/10/2019,,,Approved site,6
