OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,"Coordinate
ReferenceSystem",GeoX,GeoY,Hectares,OwnershipStatus,PlanningStatus,"MinNet
Dwellings","FirstAdded
Date","LastUpdated
Date",Ward
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/7101/FUL,"Sir Thomas Lipton Memorial Hospital, Osidge, 151 Chase Side, Southgate, London, N14 5HE",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,529026.0,194545.0,2.002,,permissioned,30,2019-11-26,2019-11-26,Brunswick Park
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/3377/FUL,"Garages Off Linden Road And Pine Road, London, N11 1ER",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,528035.0,193911.0,0.08,,permissioned,6,2019-11-26,2019-11-26,Brunswick Park
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,North London Business Park Planning Brief 2016,North London Business Park,https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.151803,51.625913,16.49,not owned by a public authority,not permissioned,1000,2019-11-26,2019-11-26,Brunswick Park
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/04442/FUL,"Imperial House, The Hyde, London, NW9 5AL",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,520621.0,189957.0,0.348,,permissioned,81,2019-11-26,2019-11-26,Burnt Oak
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/04474/14,"Granville Road Estate, Granville Road, Childs Hill London, NW2",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,524786.0,186629.0,2.323,,permissioned,132,2019-11-26,2019-11-26,Childs Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/05969/FUL,"Church Walk House, Church Walk, London, NW2 2TJ",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,524959.0,186257.0,0.42,,permissioned,35,2019-11-26,2019-11-26,Childs Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/2690/PNO,"220 The Vale, London, NW11 8SR",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,523959.0,186425.0,0.035,,permissioned,14,2019-11-26,2019-11-26,Childs Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/0233/FUL,"194 - 196 Cricklewood Broadway, London",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,523761.0,185820.0,0.612,,permissioned,97,2019-11-26,2019-11-26,Childs Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,14/07064/FUL,"Buildings D3 To D8, Beaufort Park, Aerodrome Road, Colindale, NW9",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,522064.0,189874.0,0.81,,permissioned,237,2019-11-26,2019-11-26,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/05828/14,"Homebase, Rookery Way, London, NW9 6SS",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,521604.0,188746.0,1.44,,permissioned,387,2019-11-26,2019-11-26,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,W01731JS/04,"Grahame Park Estate - Bounded By Lanacre Avenue To The West, Grahame Park Way To The South And Field Mead To The North London NW9",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,521650.0,190812.0,34.0,,permissioned,2977,2019-11-26,2019-11-26,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,W00198AA/04,"Former Raf East Camp Site, Aerodrome Road, Grahame Park Way, London NW9",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,521891.0,189978.0,10.0,,permissioned,2800,2019-11-26,2019-11-26,Colindale
