OrganisationURI,OrganisationLabel,SiteReference,AlternativeReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,Bab1,,,Land to rear of 50/52 Brackenhurst Road,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,432000,281430,0.28,unknown ownership,yes,not permissioned,,,,,8,Large existing residential plots. Site would require clearance of existing homes to allow its development. Previously granted permission on appeal - now expired. Development must consider the creation of appropraite access.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,Bab3,,,Garages off Bowness Close,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,432300,281900,0.12,unknown ownership,yes,not permissioned,,,,,10,"Derelict and underused parking provision, considered to be a viable redevelopment option that is available and unconstrained. Development will need to consider the loss of parking provision, and have regard to the nearby Springfield Brook and adjacent allotments.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,BW1,,,"""Parking area, Santos Close""",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,437651,277917,0.07,owned by a public authority,yes,not permissioned,,,,,5,Off road car park that is considered to be a viable redevelopment option that is available and unconstrained. Development will need to consider the loss of parking provision.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,BW3,,,Dunsmore Avenue Garages (rear of 412 and 440),http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,436214,276794,0.1,unknown ownership,yes,not permissioned,,,,,6,Open public space considered to be readily available. Development will need to conisder the loss of informal parking space.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,BW22,FUL/2016/1855,,Former Stretton Avenue Offices and vacant land to the south,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,436433,276671,0.72,owned by a public authority,yes,not permissioned,full planning permission,2016-10-28,http://planning.coventry.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=784784,,34,"Recently cleared former commercial building and office site with off street parking and open public space, considered to be a viable redevelopment option that is unconstrained. Development will need to satisfy the employment and community facilities protection policies of the coventry local plan 2016.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,BW35,,,"Former Chace Primary School, Robin Hood Road""",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,436262,276834,1.46,unknown ownership,yes,not permissioned,,,,,53,Site situated in established residential area and is considered suitable. Long-term redevelopment opportunity.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,BW36,,,"""Former Social Club, Grange Avenue""",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,437847,277060,0.51,mixed ownership,yes,not permissioned,,,,,20,"Community building with off street parking, considered to be a viable redevelopment option that is available. Development will beed to be mindful that the site is situated adjacent to a SSSI. Development will need to satisfy the loss of community facilities policy in the coventry local plan 2016.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,E1,,,"""Former Wisteria Lodge, Earlsdon Avenue South""",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,432322,277604,0.49,owned by a public authority,yes,not permissioned,,,,,12,Vacant site considered to be a viable redevelopment option that is available. Development will need to conisder the trees that could be identified for protection.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,E2a+b,,,Land at Sir Henry Parks Road (COVRAD and CoovPress),http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,430624,277874,6.1,unknown ownership,yes,not permissioned,,,,,110,Commercial / Industrial site considered to be a viable redevelopment option. Development will need to mitigate the proximity to the railway line and will need to satisfy employment land protection policies in the coventry local plan 2016.,Site offers opportunity for new modern employment provisions to link with adjoining business park.,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,E3,,,Former Spencer Sports and Social club,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,432352,278463,0.26,unknown ownership,yes,not permissioned,,,,,12,Spencer Sports and Social club with off road parking considered to be a viable redevelopment option that is available. Development will need to consider the noise from the railway line.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,E4,FUL/2014/0012,,"""Bob Mansfield Heating and Plumbing, Warwick Street""",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,431794,278016,0.17,unknown ownership,yes,not permissioned,full planning permission,2014-04-07,http://planning.coventry.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=752836,,19,Commercial building with off road car park considered to be a viable redevelopment option. Development will need to mitigate the proximity to the railway line and will need to satisfy employment land protection policies in the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F2,,,Training Centre between George Eliot Road (rear of 29-77) and canal,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,434722,281982,0.43,unknown ownership,yes,not permissioned,,,,,20,Training centre considered to be a viable redevelopment option. Development will need to ensure a suitable access is created and satisfy employment land protection policies in the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F3,,,"""Copper Beech Road, Rear of 37-49 Lythalls Lane""",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,434323,282294,0.1593,unknown ownership,yes,not permissioned,,,,,12,Vehicle storage yard considered to be a viable redevelopment option that is available. Development will need to mitigate noise concerns from the A4444.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F4,,,"""Burbidge and Son, Awson Street / Stoney Stanton Road""",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,434577,280933,0.89,unknown ownership,yes,not permissioned,,,,,42,Factory Unit. Development will need to mitigate noise concerns from nearby land uses and will need to satisfy employment land protection policies in the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F5,,,"""Cromwell Street, Bright Street""",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,434496,280605,0.57,unknown ownership,yes,not permissioned,,,,,27,Industrial and commercial units. Development will need  to satisfy employment land protection policies in the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F6,,,"""Warehouse, adjacent Royal Oak pub, Stoney Stanton Road""",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,434582,280741,0.33,unknown ownership,yes,not permissioned,,,,,15,Industrial building with off road car park. Development will need  to satisfy employment land protection policies in the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F7,H8:31,,Cromwell Street,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,434583,280742,0.57,unknown ownership,yes,not permissioned,,,,,27,Industrial Units. Redevelopment of the site is an excellent opportunity to improve the built environment and enhance the connectivity to the adjoining greenspace.,,,,,,,,,
