OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR001,"Land at Barnwood Manor, Barnwood Road, Barnwood",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.858536,-2.1991873,0.7,not owned by a public authority,not permissioned,,,,Y,20,31,,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR002,"Jordans Brook House, North Upton Lane, Barnwood",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.857133,-2.1997413,0.85,owned by a public authority,permissioned,full planning permission,08/10/2001,http://glcstrplnng12.co.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,15,20,,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR004,"Allstone site, off Myers Road, Elmbridge",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.862458,-2.2230492,5.5,not owned by a public authority,permissioned,outline planning permission,19/12/2018,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DFGHMLI000,Y,200,250,Y,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR005,"Cheltenham Surfacing, off Myers Road, Elmbridge",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.863061,-2.2275104,0.36,not owned by a public authority,not permissioned,,,,Y,5,10,Y,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR007,"Great Western Road Sidings, Great Western Road, Kingsholm and Wotton",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.863647,-2.2314924,4.5,owned by a public authority,not permissioned,,,,Y,150,200,Y,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR008,"Wessex House, Great Western Road, Kingsholm and Wotton",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.866061,-2.2380401,0.3,owned by a public authority,not permissioned,,,,Y,15,20,,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR015,"Land at St Oswalds, off Gavel Way, Westgate",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.872918,-2.252703,2.5,mixed ownership,not permissioned,,,,Y,200,300,Y,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR019,"Part of Kings Quarter, Westgate",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.865642,-2.2407536,2.84,owned by a public authority,permissioned,full planning permission,06/09/2017,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NTC4J0HM04701,Y,100,136,,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR021,"Gloucester Prison, the Quay, Westgate",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.865188,-2.2514252,1.45,not owned by a public authority,permissioned,full planning permission,06/12/2018,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NWGYWEHM04F00,Y,150,204,,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR022,"Quayside part of Blackfriars LDO, Quay Street, Westgate",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.866402,-2.2515046,2.9,owned by a public authority,permissioned,planning permission granted under an order,21/04/2017,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0010PDHMLI000,Y,40,50,,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR023,"Former MOD Oil Storage Depot, off Honeythorn Close, Hempsted, Westgate",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.856238,-2.2659141,4.42,not owned by a public authority,permissioned,outline planning permission,28/06/2017,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IP9Z2CHM74001,Y,70,85,Y,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR024,"104 Northgate Street, Westgate",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.866736,-2.242052,0.06,owned by a public authority,pending decision,full planning permission,,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0010MXHMLI000,Y,15,20,,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR025,"12-16 Quay Street, former Lansons, Westgate",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.867006,-2.2508109,0.17,not owned by a public authority,permissioned,full planning permission,10/01/2019,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0010PYHMLI000,Y,30,45,,site is permitted for 115 student units,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR026,"114 - 118 Eastgate Street, Westgate",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.862029,-2.2402406,0.13,not owned by a public authority,not permissioned,,,,Y,10,15,,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR029,"Friary House, Southgate Street, Westgate",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.864297,-2.2478478,0.08,not owned by a public authority,permissioned,other,10/07/2017,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001HXOHMLI000,Y,15,24,,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR031,"The Lodge, 19 Brunswick Square, Westgate",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.861031,-2.2489044,0.14,not owned by a public authority,permissioned,full planning permission,08/01/2016,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00105CHMLI000,Y,10,15,,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR033,"The former Fleece Hotel and Longsmith Street Carpark, Greater Blackfriars, Westgate",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.865629,-2.2473178,0.28,owned by a public authority,not permissioned,,,,Y,15,25,,,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR034,"67-69 London Road, Kingsholm and Wotton",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.868585,-2.2351196,0.35,not owned by a public authority,not permissioned,,,,Y,20,30,,,01/12/2019,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR035,"Part of West Quay, Westgate",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.86217,-2.2543272,0.7,not owned by a public authority,not permissioned,,,,Y,15,20,,,01/12/2019,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR036,"Former Colwell Youth and Community Centre, Barton & Tredworth",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.86132,-2.2305801,0.18,not owned by a public authority,not permissioned,,,,Y,15,20,,,01/12/2019,01/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,GLOSBR037,"Land north of Rudloe Drive, Kingsway",https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,51.81871,-2.273038,6.02,not owned by a public authority,permissioned,outline planning permission,05/02/2001,,Y,130,145,,145 is submitted as a suggested figure through SALA,01/12/2019,01/12/2019,
