OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/st-albans,298,Pan Autos and adjacent uses Dark Lane and Grove Road,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514533&y=213352&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.338574,51.806617,0.35,not owned by a public authority,yes,permissioned,outline planning permission,2019-09-04,,14,,,"Permission Granted 5/2018/2000- Outline application (access, layout and scale sought) for demolition of existing and construction of three blocks creating 39 dwellings with associated underground and surface level parking, amenity space and associated works; Adjacent site 299; Harpenden Neighbourhood Plan 2018 site allocation",2017-02-07,2019-12-31,
http://opendatacommunities.org/id/district-council/st-albans,299,Jewsons Dark Lane,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514483&y=213364&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.339303,51.806736,0.34,not owned by a public authority,yes,Not permissioned,,,,14,,,Adjacent site 298; Harpenden Neighbourhood Plan 2018 site allocation,2017-02-07,2019-12-31,
http://opendatacommunities.org/id/district-council/st-albans,331,The Red House Harpenden Memorial Hospital,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=513618&y=214637&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.351426,51.818349,1.62,owned by a public authority,yes,Not permissioned,,,,34,,,Mixed use. Allocated partially for healthcare in Harpenden Neighbourhood Plan 2018,2017-02-07,2019-12-31,
http://opendatacommunities.org/id/district-council/st-albans,235,72 High Street,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=518008&y=203955&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.291398,51.721429,0.66,not owned by a public authority,yes,Not permissioned,,,,6,,,,2017-02-07,2017-05-23,
http://opendatacommunities.org/id/district-council/st-albans,283,Haseldine Road car park,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=517683&y=204048&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.296072,51.722336,0.52,owned by a public authority,,Not permissioned,,,,9,,,Possible part use with some parking retained or development over car park,2017-02-07,2017-05-23,
http://opendatacommunities.org/id/district-council/st-albans,310,Hertfordshire Business Centre Alexander Road,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=517798&y=204385&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.294286,51.725333,0.28,owned by a public authority,yes,Not permissioned,,,,45,,,,2017-02-07,2017-05-23,
http://opendatacommunities.org/id/district-council/st-albans,80,Sphere industrial estate,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=516429&y=206977&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.313241,51.748925,1.35,not owned by a public authority,yes,Not permissioned,,,,120,,,,2017-02-07,2017-05-23,
http://opendatacommunities.org/id/district-council/st-albans,81,Morrisons car park,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=516561&y=207203&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.311251,51.750921,1.65,not owned by a public authority,,Not permissioned,,,,76,,,Possible part use with some parking retained or development over car park,2017-02-07,2017-05-23,
http://opendatacommunities.org/id/district-council/st-albans,83,Abbey Station,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514576&y=206387&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.340263,51.744003,0.94,owned by a public authority,,Not permissioned,,,,40,,,Requires rail relocation / development over rail,2017-02-07,2017-05-23,
http://opendatacommunities.org/id/district-council/st-albans,208,Civic Centre,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514989&y=207337&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.333966,51.752458,0.43,owned by a public authority,yes,Not permissioned,,,,70,,,Mixed use (SPD),2017-02-07,2017-05-23,
