Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,If permissioned,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Brownfield Register Reference,Local Plan reference/SLAA reference,Site Name,Site Address,Co-ordinate Reference System,Eastings,Northings,Area (ha),Ownership Status,Planning Status,Type of Permission,Date Permission Obtained,Date Permission Lapses,Planning Application Number and link to documents,Planning Application Link,Description of Proposed Development,Minimum amount of Dwellings,Maximum amount of Dwellings,Non-housing development,Additional Notes,Date Entered on Part 1 of Brownfield Register,Information Updated
BR01,BX3; BWT-GB-04,Broxbourne School,"High Road Broxbourne, Broxbourne, EN10 7DD",OSGB36,206552,536407,6.093,owned by a public authority,permissioned,Other,2017-04-28 00:00:00,2020-04-28 00:00:00,07/16/0512/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/0512/F&viewdocs=true,"Hybrid application compromising of part full, part outline, for: Redevelopment of existing school to provide an 8 form entry secondary school; new indoor/outdoor sports facilities; car parking with drop off/pick-up; landscaping; remodelling of existing accesses (Full Application); and
2) Redevelopment of existing school buildings and part-playing field area to the west for residential development comprising of up to 153 dwellings; internal access road; public open space; car parking; landscaping (outline application - all matters reserved except means of access).",153,153,Sports facilities to make a comunnity leisure hub,Local Plan Allocation - BX3: Broxbourne School,2017-12-15 00:00:00,
BR02,CG-GB-01,Former St Marys High School Site,"Churchgate, Cheshunt, EN8 9ED",OSGB36,534610,202448,3.055,not owned by a public authority,permissioned,Full Planning Permission,2015-01-08 00:00:00,2018-01-16 00:00:00,07/14/0076/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/14/0076/F&viewdocs=true,"Demolition of all existing buildings and replacement with the erection of 79 residential dwellings comprising 12 apartments and 67 houses, provision  of open spaces and landscaping, provision of an internal vehicular network and associated highway works and car parking, and creation of an attenuation pond",79,79,,This site is currently under construction. Construction began on  31/03/2017. it is anticipated that this site will be completed by mid-2018,2017-12-15 00:00:00,
BR03,CG-GB-107,Cheshunt Park Farm,"Park Lane Paradise, Cheshunt, EN7 6TD",OSGB36,204508,534405,2.238,not owned by a public authority,permissioned,Full Planning Permission,2017-01-27 00:00:00,2020-01-27 00:00:00,07/15/0715/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/15/0715/F&viewdocs=true,Residential development of 14 dwellings,14,14,,,2017-12-15 00:00:00,
BR04,CG-U-13,Land rear of 45-47 High Street,"Land rear of 45-47 high Street, Cheshunt, EN8 0BS",OSGB36,535755,203055,0.083,not owned by a public authority,permissioned,Full Planning Permission,2015-03-13 00:00:00,2018-03-13 00:00:00,07/14/1059/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/14/1059/F&viewdocs=true,Erection of a 2.5 storey block of 5 two bed flats with car port with one two bed flat over,6,6,,This site is currently under construction. Construction began on 20/03/2017. It is anticipated that this site will be completed by late 2018,2017-12-15 00:00:00,
BR05,CG-U-15,Fourfields,"Rosedale Way, Cheshunt, Waltham Cross, Hertfordshire, EN7 6HR",OSGB36,203476,534121,0.5224,owned by a public authority,permissioned,Outline Planning Permission,,,07/16/0557/O,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/0557/O&viewdocs=true,Outline application for residential development and associated development,15,15,,,2017-12-15 00:00:00,
BR06,CG-U-40,Wolsey Hall,"6 Windmill Lane, Cheshunt, EN8 9AA",OSGB36,202240,535975,0.158,owned by a public authority,permissioned,Full Planning Permission,,,07/17/0430/F,http://planning.broxbourne.gov.uk/Planning/lg/GFPlanningDocuments.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/17/0430/F&viewdocs=true,"24 two bedroom flats together with associated common areas, parking, refuse and recycling and storage areas",24,24,,,2017-12-15 00:00:00,
BR07,CG-U-56,Cheshunt Lakeside,"Delamare Road, Cheshunt",OSGB36,202608,536438,12.46,not owned by a public authority,not permissioned,,,,,,Redevelopment of site for residential and commercial,1750,1750,"B1 business uses, Primary School; strengthening of lcoal centre",,2017-12-15 00:00:00,
BR08,CH13: CG-U-54,Broxbourne Borough Council Offices and Car Park,"Bishops College, Churchgate, Cheshunt, EN8 9XG",OSGB36,202298,535071,1.911,owned by a public authority,not permissioned,,,,,,,50,50,,,2017-12-15 00:00:00,
BR09,CH7; CG-GB-100,Cheshunt Football Club,"Theobalds Lane, Cheshunt, Hertfordshire, EN8 8RU",OSGB36,201320,535468,5.304,owned by a public authority,not permissioned,Full Planning Permission,,,07/16/1369/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/1369/F&viewdocs=true,"Area 1 - New stadium, 66 no. 1 bedroom apartments, 70 no. 2 bedroom apartments, 22 no. 3 bedroom houses and 28 no. 4 bedroom houses, highway access works, internal roads and supporting infrastructure. Area 2 - Northern block - new facilities for Cheshunt Football Club in use classes D1, D2 and sui generis - matters relating to internal layout and appearance reserved.",165,165,"Stadium up to 5,192 seats and asscoaited facilities",Local Plan Allocation - CH7: Cheshunt Football Club. Only Area 1 is mapped as this is where the residential development and brownfield land is located.,2017-12-15 00:00:00,
