OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Eastings,Northings,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AS/1,,Former Carpet Auctions Comberton Place,http://www.wyreforestdc.gov.uk/media/3411897/AS1-Comberton-Place.png,ETRS89,-2.241773,52.384641,383641,276316,0.51,not owned by a public authority,yes,permissioned,full planning permission,2017-10-24,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0269/FULL,,23,Demolition of existing buildings to provide 23  new dwelling houses with associated landscaping and parking,,,23.0,,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0268/FULL 8 flats approved under separate application,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AS/3,,Service Station Chester Road South,http://www.wyreforestdc.gov.uk/media/3411848/AS3-Chester-Road-South-Service-Station.png,ETRS89,-2.239693,52.380518,383781,275857,0.41,not owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0617/OUTL,,10,Outline application for proposed residential development of 10 dwelling houses with all matter reserved,,,10.0,,,,Allocated for residential development under SAL.KSS1,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AS/6,,Lea Street School Lea Street,http://www.wyreforestdc.gov.uk/media/3411849/AS6-Lea-Street-School.png,ETRS89,-2.23826,52.387165,383881,276596,0.47,owned by a public authority,yes,not permissioned,,,,,24,,,,24.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AS/7,,Former Polish Club St.Georges Terrace,http://www.wyreforestdc.gov.uk/media/3411850/AS7-Former-Polish-Club.png,ETRS89,-2.241989,52.386663,383627,276541,0.11,not owned by a public authority,yes,permissioned,full planning permission,2015-10-15,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=15/0487/FULL,,8,Proposed re-development of existing Polish club building to Eight 1 bed apartments,,,8.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AS/8,,Adjacent 78 Cherry Orchard,http://www.wyreforestdc.gov.uk/media/3411851/AS8-78-Cherry-Orchard.png,ETRS89,-2.240838,52.385613,383705,276424,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-02-17,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=16/0705/FULL,,5,Proposed 5no One Bed Flats (Resubmission of Previously Approved Ref No. 09/0487/FULL),,,5.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/7,,93-94 New Road,http://www.wyreforestdc.gov.uk/media/3411852/BHS7-93-94-New-Road.png,ETRS89,-2.248122,52.384978,383209,276355,0.06,not owned by a public authority,yes,not permissioned,,,,,8,,,,8.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/8,,site of British Heart Foundation Market Street,http://www.wyreforestdc.gov.uk/media/3411853/BHS8-Former-British-Heart-Foundation-Market-Street.png,ETRS89,-2.247773,52.385761,383233,276442,0.05,not owned by a public authority,yes,not permissioned,,,,,10,,,,10.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/10,,Frank Stone Building Green Street,http://www.wyreforestdc.gov.uk/media/3411854/BHS10-Frank-Stone-Building.png,ETRS89,-2.246467,52.383399,383321,276179,0.32,not owned by a public authority,yes,not permissioned,,,,,16,,,,16.0,,,,Allocated for mixed of uses including housing under KCA.HP2,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/15,,37 Park Lane,http://www.wyreforestdc.gov.uk/media/3411856/BHS15-Former-Parkers-Arms-Site.png,ETRS89,-2.251309,52.384863,382992,276343,0.05,not owned by a public authority,yes,not permissioned,,,,,7,,,,7.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/16,,Timber Yard Park Lane,http://www.wyreforestdc.gov.uk/media/3411857/BHS16-Timber-Yard.png,ETRS89,-2.252964,52.386496,382880,276525,2.1,mixed ownership,yes,not permissioned,,,,,55,,,,55.0,,,,,2017-12-31,2017-12-31
