OBJECTID,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,GlobalID,AlternativeReferences,EndDate,Shape_STArea__,Shape_STLength__
5,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000025,Broadlands Park Marsh Road Lowestoft NR33 9JY,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PRJ372TBHJ300,ETRS89,1.706220320000000,52.469612060000003,0.237561437932367,not owned by a public authority,Yes,permissioned,full planning permission,10/07/2019 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PRJ372TBHJ300,1,1,,Planning application number BA/2019/0168/FUL,04/12/2019 00:00:00,04/12/2019 00:00:00,{C9D0D092-E27B-4F5C-A147-099004BA5B1F},BA/2019/0168/FUL,,0.000000312517564,0.011070869502568
23,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000013,The Old Stables Hall Farm Hall Lane Postwick NR13 5HQ,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OR7OJATBGJA00,ETRS89,1.388568310000000,52.614790900000003,1.32436644118416,not owned by a public authority,Yes,permissioned,full planning permission,24/08/2017 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OR7OJATBGJA00,1,1,,Planning application number: BA/2017/0191/FUL,20/12/2018 00:00:00,20/12/2018 00:00:00,{C168E7BF-BB7A-483A-8289-10AB2D52EB8B},BA/2017/0191/FUL,,0.000001747095247,0.025156808940393
10,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000006,"Former Waterside Rooms, Station Road, Hoveton.",https://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,ETRS89,1.408780480000000,52.712853889999998,0.100860389932506,not owned by a public authority,Yes,not permissioned,,,,0,,,Allocated in emerging Local Plan - Policy HOV3.,23/11/2017 00:00:00,20/12/2018 00:00:00,{709D03E1-73FC-480F-8D19-19AB8C254D52},Hoveton,,0.000000133358505,0.001935387705296
14,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000028,The Rhond Hoveton Norfolk NR12 8UE,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PF8T1BTB01U00,ETRS89,1.410637990000000,52.710224429999997,1.97874316828744E-02,not owned by a public authority,Yes,permissioned,full planning permission,18/04/2019 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PF8T1BTB01U00,1,1,,Planning application number BA/2018/0374/FUL,04/12/2019 00:00:00,04/12/2019 00:00:00,{25995A73-A232-498F-87AF-220276E75405},BA/2018/0374/FUL,,0.000000026161608,0.001296362789975
21,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000014,The Pyghtle Broad Road Ranworth Norwich Norfolk NR13 6HS,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OQCGB0TB01W00,ETRS89,1.486935060000000,52.679079049999999,0.118399356894872,not owned by a public authority,Yes,permissioned,full planning permission,23/08/2017 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQCGB0TB01W00,1,1,,Planning application number BA/2017/0170/HOUSEH,20/12/2018 00:00:00,20/12/2018 00:00:00,{5E7026F0-29BF-4BD0-B3B5-2DD516C0277D},BA/2017/0170/HOUSEH,,0.000000156447690,0.001877495787171
20,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000019,Land At The Manor Staithe Road Ludham Norfolk NR29 5AB,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NNWV80TBFJN00,ETRS89,1.536554160000000,52.709423129999998,0.178535865779919,not owned by a public authority,Yes,permissioned,full planning permission,03/11/2015 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NNWV80TBFJN00,1,1,,Planning application number BA/2015/0148/FUL,20/12/2018 00:00:00,20/12/2018 00:00:00,{B971DE91-060E-4EDD-9ADA-2FADE10D3AE5},BA/2015/0148/FUL,,0.000000236093619,0.002006809389995
18,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000018,Claxton Manor Barn Complex The Street Claxton Norfolk NR14 7AS,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NRM7AOTBFML00,ETRS89,1.446291000000000,52.581123280000000,0.489764202748871,not owned by a public authority,Yes,permissioned,full planning permission,12/11/2015 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRM7AOTBFML00,2,2,,Planning application number BA/2015/0246/FUL,20/12/2018 00:00:00,20/12/2018 00:00:00,{DAB85F9A-1EE4-43D1-BD30-38BC3BB0C2A8},BA/2015/0246/FUL,,0.000000645658154,0.005652128683899
9,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000015,Erequay The Rhond Hoveton Norfolk NR12 8UE,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OGFOMLTB01U00,ETRS89,1.410614820000000,52.710436399999999,7.89154953319372E-02,not owned by a public authority,Yes,permissioned,full planning permission,02/02/2017 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGFOMLTB01U00,2,2,,Planning application number BA/2016/0408/FUL,20/12/2018 00:00:00,20/12/2018 00:00:00,{93A15757-C98F-4A3B-8705-426CA2D1134E},BA/2016/0408/FUL,,0.000000104337339,0.002517669737157
1,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000008,"Former Pegasus/Hamptons Site, Coldecott Road, Oulton Broad, Suffolk",https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M96Z8STBT0000,ETRS89,1.708606560000000,52.477034199999999,1.70021330867661,not owned by a public authority,Yes,permissioned,full planning permission,14/07/2014 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?keyVal=M96Z8STBT0000&activeTab=summary,76,76,Yes,Was allocated in 2014 Site Specific Local Plan and allocated in emerging Local Plan policy OUL2. Details of the application (BA/2012/0271/FUL),23/11/2017 00:00:00,20/12/2018 00:00:00,{494E054A-D905-4901-A264-4CB848F6277B},Pegasus,,0.000002237057657,0.006749258826824
13,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000005,"Old Broads Hotel Site, Station Road, Hoveton",https://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,ETRS89,1.408404600000000,52.713662499999998,0.11374997959709,not owned by a public authority,Yes,not permissioned,,,,0,,,Allocated in emerging Local Plan - Policy HOV3.,23/11/2017 00:00:00,20/12/2018 00:00:00,{BB9E5888-54DE-4887-B52D-55328367508D},Hoveton,,0.000000150403920,0.001722235566955
