OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0005,Marine View Harbour Road Portishead,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=347254.622&y=176638.449&scale=2048,51.486145,-2.761509,0.97,not owned by a public authority,permissioned,full planning permission,2017-03-09,https://planning.n-somerset.gov.uk/online-applications/,Yes,126,126,,16/P/2855/F,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0006,South west of Severn Paper Mill site Portishead,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=347498.462&y=176691.010&scale=2048,51.486619,-2.757758,1.62,not owned by a public authority,permissioned,full planning permission,2017-11-07,https://planning.n-somerset.gov.uk/online-applications/,Yes,69,69,,16/P/1608/F,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0007,Bayside Hotel Manilla Crescent Weston-super-Mare,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=331388.324&y=162072.126&scale=2048,51.353495,-2.987194,0.15,not owned by a public authority,permissioned,full planning permission,2017-11-03,https://planning.n-somerset.gov.uk/online-applications/,Yes,24,24,,14/P/1791/F,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0009,Former Weston Library Boulevard Weston-super-Mare,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=332368.599&y=161680.410&scale=1024,51.350082,-2.972718,0.1,not owned by a public authority,permissioned,full planning permission,2017-02-22,https://planning.n-somerset.gov.uk/online-applications/,Yes,22,22,,16/P/0507/F,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0010,Oxford Plasma Technology North End Road Yatton,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=342399.003&y=166408.261&scale=4096,51.39357,-2.829765,1.41,not owned by a public authority,permissioned,outline planning permission,2017-11-15,https://planning.n-somerset.gov.uk/online-applications/,Yes,55,55,,15/P/1299/O,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0012,Winford Coach Station 10 High Street Winford,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=354021.187&y=165063.767&scale=4096,51.382559,-2.662492,0.24,not owned by a public authority,permissioned,reserved matters approval,2017-08-16,https://planning.n-somerset.gov.uk/online-applications/,Yes,11,11,,17/P/1146/RM,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0014,Land at Western Trade Centre Knightcott Road Banwell,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=338570.116&y=159224.142&scale=4096,51.329083,-2.88462,0.37,not owned by a public authority,permissioned,reserved matters approval,2019-06-04,https://planning.n-somerset.gov.uk/online-applications/,Yes,10,10,,19/P/0230/RM,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0015,Tickenham Garden Centre Clevedon Road Tickenham,http://map.n-omerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=346136.073&y=171781.995&scale=4096,51.442457,-2.777544,1.94,not owned by a public authority,permissioned,outline planning permission,2017-06-23,https://planning.n-somerset.gov.uk/online-applications/,Yes,32,32,,16/P/0032/O,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0016,Bleadon Quarry Bleadon,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=334246.414&y=156585.034&scale=8192,51.305194,-2.946448,3.42,not owned by a public authority,permissioned,outline planning permission,2016-08-08,https://planning.n-somerset.gov.uk/online-applications/,Yes,42,42,,14/P/0687/O,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0017,Royal Pier Hotel Birnbeck Road Weston-super-Mare,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=330877.148&y=162235.210&scale=1024,51.354973,-2.994277,0.17,not owned by a public authority,pending decision,,,https://planning.n-somerset.gov.uk/online-applications/,Yes,63,63,,11/P/0006/F,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0018,Harbour Road Gordano Gate site Portishead,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=347419.213&y=176290.843&scale=2048,51.483269,-2.758552,0.63,not owned by a public authority,permissioned,full planning permission,2018-02-07,https://planning.n-somerset.gov.uk/online-applications/,Yes,93,93,,16/P/2066/F,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0019,Barrow Hospital (1) Barrow Gurney,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=354158.049&y=168894.598&scale=8192,51.418103,-2.662675,5.54,not owned by a public authority,permissioned,full planning permission,2018-01-12,https://planning.n-somerset.gov.uk/online-applications/,Yes,66,66,,15/P/2301/F,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0020,Barrow Hospital (2) Barrow Gurney,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=354158.049&y=168894.598&scale=8192,51.416046,-2.662214,1.82,not owned by a public authority,permissioned,full planning permission,2018-01-12,https://planning.n-somerset.gov.uk/online-applications/,Yes,14,14,,15/P/2302/F,2017-12-31,2019-12-31,
