OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000031,BLR028,Westbury Estate,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.46984,-0.139441,2.84,owned by a public authority,permissioned,outline planning permission,2019-09-26,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P0T1RVBOIWV00,yes,181,181,,,2017-12-15,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,BLR001,"""Land Bounded By Somerleyton Road, Coldharbour Lane And Railway""",,51.460578,-0.109462,1.61,mixed ownership,permissioned,full planning permission,2017-03-23,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTFJUBO0I800|https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZRAVLBOJME00,yes,304,304,,,2017-12-15,2017-12-15,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000041,BLR038,Land to the rear of Colin Court at Woodfield Avenue,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.436606,-0.131703,0.16,not owned by a public authority,permissioned,full planning permission,2019-05-20,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P79Y2GBOJ2U00,yes,9,9,,,2018-12-17,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000026,BLR022,184 Larkhall Lane,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.469863,-0.131237,0.06,not owned by a public authority,permissioned,full planning permission,2018-04-06,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=makeComment&keyVal=O4G9WSBOK2J00,yes,14,14,,,2017-12-15,2018-12-17,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,BLR003,Fenwick Estate South,,51.463812,-0.127122,0.47,owned by a public authority,permissioned,full planning permission,2017-02-10,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTTNKBO0IB00,yes,55,55,,,2017-12-15,2017-12-15,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,BLR006,93 King's Avenue,,51.452703,-0.129232,0.29,not owned by a public authority,permissioned,full planning permission,2017-06-27,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONMVRYBOGKM00,yes,5,5,,,2017-12-15,2017-12-15,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000030,BLR027,Fenwick Estate,,51.464639,-0.127103,3.15,owned by a public authority,not permissioned,,,,,236,236,,,2017-12-15,2017-12-15,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,BLR007,"""Olive Morris House, 18 Brixton Hill""",,51.457805,-0.118156,0.28,owned by a public authority,permissioned,full planning permission,2015-10-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NMX66CBOJX200,yes,74,74,,,2017-12-15,2017-12-15,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,BLR005,12-20 Wyvil Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.481472,-0.124917,0.38,not owned by a public authority,permissioned,full planning permission,2017-09-06,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCIUJFBO0GI00,yes,278,278,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000046,BLR043,12G Leigham Court Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.435605,-0.123682,0.03,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P9W8F3BOM0G00,yes,6,6,,,2018-12-17,2018-12-17,,,
