OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0001,,Spring Road Riddings,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0692352277&lng=-1.3506579388,ETRS89,53.069235,-1.350658,1.27,not owned by a public authority,yes,permissioned,full planning permission,2004-07-06,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2004-0043,,14,14 new dwellings,,,14,14,,,The site is currently under construction,2017-12-06,2019-03-31
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0002,,Land at Greenhill Lane Leabrooks,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0755165967&lng=-1.3720578812,ETRS89,53.075517,-1.372058,2.02,not owned by a public authority,yes,permissioned,reserved matters approval,2007-11-15,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2004-1104,,24,Residential development with two planning applications,,,24,24,,,The site is currently under construction,2017-12-06,2019-03-31
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0005,,John Smedley Ltd Lea Road Lea Bridge,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.1040369302&lng=-1.5250554687,ETRS89,53.104037,-1.525055,0.46,not owned by a public authority,yes,permissioned,full planning permission,2015-12-11,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2014-0265,,26,Redevelopment of the site including conversion and new build to provide 26 dwellings,,,,,,,The site is currently under construction,2017-12-06,2019-03-31
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0007,,Land at Salcombe Road Alfreton,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.1005040651&lng=-1.3732924756,ETRS89,53.100504,-1.373292,0.34,not owned by a public authority,yes,permissioned,full planning permission,2015-05-14,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2014-0791,,21,erection of new 21 dwellings consisting of 13 two storey dwellings and 8 maisonettes,,,,,,,The site is currently under construction,2017-12-06,2019-03-31
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0010,,Bradshaw Avenue Ridding,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0685877201&lng=-1.3622487862,ETRS89,53.068588,-1.362249,2.5,owned by a public authority,yes,permissioned,full planning permission,2016-01-11,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2014-0553,,93,Two-storey residential dwellings,,,,,,,,2017-12-06,2019-03-31
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0014,,Land to rear of 27-41 Main Road Leabrooks,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0768114135&lng=-1.3721286348,ETRS89,53.076811,-1.372129,0.32,not owned by a public authority,,permissioned,outline planning permission,2016-11-02,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2015-0113,,18,Outline planning permission for upto 18 dwellings following demolition and site clearance,,,,,,,,2017-12-06,2019-03-31
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0017,,17 King Street Alfreton,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0967981203&lng=-1.3901619656,ETRS89,53.096798,-1.390162,1,not owned by a public authority,yes,permissioned,full planning permission,2015-11-11,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2015-0347,,11,"Conversion of buildings (17,19 and 21) into 11 flats",,,,,,,The site is currently under construction,2017-12-06,2019-03-31
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0018,,Former American Adventure Theme Park Pit Lane Shipley,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.9936392978&lng=-1.3382626567,ETRS89,52.993639,-1.338263,46.48,owned by a public authority,yes,permissioned,outline planning permission,2016-01-12,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2015-0403,,307,Sustainable mixed use development including upto 307 residential units,"retirement provision, retail, business, leisure/assembly/training and garden centres uses, pub and hotel/conference facility, health and crae uses",,,,,,Residential element as part of large mixed use development,2017-12-06,2019-03-31
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0021,,Marehay Garage Derby Road Marehay,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0317361246&lng=-1.4065426835,ETRS89,53.031736,-1.406543,0.42,not owned by a public authority,,permissioned,outline planning permission,2016-08-04,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2016-0055,,20,Outline planning permission for demolition of existing buildings and proposed residential re-development,,,,,,,,2017-12-06,2019-03-31
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0023,,Memory Lane Inn 72 Derby Road Heanor,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0135406622&lng=-1.3611515064,ETRS89,53.013541,-1.361152,0.12,not owned by a public authority,yes,permissioned,reserved matters approval,2017-10-03,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2017-0766,,13,"Reserved matters application for AVA/2016/1078. Appearance, Landscaping, layout, and scale",,,,,,,The site is currently under construction,2017-12-06,2019-03-31
