OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing,Unnamed: 30,Unnamed: 31,Unnamed: 32
http://opendatacommunities.org/id/district-council/arun,Arun District Council,A1513,,Chandlers BMW Site Water Lane Angmering,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=506931&y=104424&resolution=1.0&MapName=Helaa,ETRS89,50.82947755,-0.4830176096,0.5,not owned by a public authority,yes,not permissioned,,,,,18,,,,18.0,20.0,,,,2017-11-10,2017-11-10,506931,104424,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,HP3,,S&G Motors Arundel Road Walberton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=495930&y=106877&resolution=1.0&MapName=Helaa,ETRS89,50.8534554778,-0.6385339279,0.75,not owned by a public authority,yes,not permissioned,,,,,26,,,,26.0,28.0,,,,2017-11-10,2017-11-10,495930,106877,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU33,,Patterson Wilson Road Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=503132&y=102415&resolution=1.0&MapName=Helaa,ETRS89,50.812105306,-0.5375063586,0.54,not owned by a public authority,yes,not permissioned,,,,,14,,Allocated by the neighbourhood plan for housing and a business incubator.,,14.0,16.0,,,,2017-11-10,2017-11-10,503132,102415,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU33a,,Meadowfield House Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=503151&y=102381&resolution=1.0&MapName=Helaa,ETRS89,50.8117962912,-0.5372463288,0.35,owned by a public authority,yes,not permissioned,,,,,11,,Allocated by the neighbourhood plan for housing and a business incubator.,,11.0,13.0,,,,2017-11-10,2017-11-10,503151,102381,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWBE10,,Bartons County Infants School Romney Broadwalk Bersted,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=492543&y=100908&resolution=1.0&MapName=Helaa,ETRS89,50.8003434475,-0.6881427906,0.59,not owned by a public authority,yes,not permissioned,,,,,15,,,,15.0,17.0,,,,2017-11-10,2017-11-10,492543,100908,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,115,,Electronic Sub Station Ford Road Arundel,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=501295&y=106735&resolution=1.0&MapName=Helaa,ETRS89,50.8512651583,-0.56237971,0.43,not owned by a public authority,yes,not permissioned,,,,,36,,,,36.0,38.0,,,,2017-11-10,2017-11-10,501295,106735,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR19,,Regis Centre Site The Esplanade Bognor Regis,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=493742&y=98964&resolution=1.0&MapName=Helaa,ETRS89,50.7826734397,-0.6716280287,1.57,owned by a public authority,yes,not permissioned,,,,,90,,"Development should be according to the Bognor Regis Masterplan which allocates leisure and some mixed use for the site. Due to economic conditions, it is uncertain when or exactly what type the development will be.",,90.0,100.0,,,,2017-11-10,2017-11-10,493742,98964,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWLU40,,Former Hospital Site Fitzalan Road / Church Street Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=503144&y=102037&resolution=1.0&MapName=Helaa,ETRS89,50.8087051867,-0.5374423784,0.54,not owned by a public authority,yes,not permissioned,,,,,14,,,,14.0,16.0,,,,2017-11-10,2017-11-10,503144,102037,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR5,,Hothampton Car Park The Queensway Bognor Regis,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=493351&y=99130&resolution=1.0&MapName=Helaa,ETRS89,50.7842289435,-0.6771306345,1.33,mixed ownership,yes,not permissioned,,,,,75,,"Development suitable in accordance with the Bognor Regis Masterplan which allocates some of this site for offices, health centre and open space.",,75.0,85.0,,,,2017-11-10,2017-11-10,493351,99130,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,PS12,,St Martins Car Park & Former Waitrose Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=502798&y=102243&resolution=1.0&MapName=Helaa,ETRS89,50.8106184703,-0.5422936947,2.2,mixed ownership,yes,not permissioned,,,,,65,,The location is such that it would be suited to a mixture of uses.,,65.0,75.0,,,,2017-11-10,2017-11-10,502798,102243,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
