OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,Year put on register,Year taken off register,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR001,,2018.0,,"Former Leisure Centre, Park Road, Coleshill",,OSGB36,419785.0,288910.0,0.32,owned by a public authority,yes,permissioned,full planning permission,2019-02-13,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,23.0,Demolition of existing leisure centre and construction of twenty three new dwellings and ancillary site works,,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR002,,2018.0,,"Former Polesworth Learning Centre, High Street, Polesworth",,OSGB36,426363.0,302528.0,0.62,not owned by a public authority,yes,permissioned,full planning permission,2018-12-19,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,12.0,"Conversion of The Old School Building to 3 no. dwellinghouses, demolition of modern flat roofed buildings, construction of 9 no. dwellinghouses and formation of new vehicular access",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR003,,2018.0,,"Land at Spon Lane, Grendon (former Sparrowdale School and Former Recycling Centre)",,OSGB36,427619.0,299548.0,2.1,owned by a public authority,yes,permissioned,full planning permission,2019-05-17,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,56.0,"Construction of 56 residential dwellings (class C3) including; construction of new vehicular access to Spon Lane, formalisation of existing vehicular access to Spon Lane, pedestrian accesses to Spon Lane and A5 (Watling Street), drainage infrastructure, landscaping, public open space and other works",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR004,,2018.0,,"Water Orton Primary School, Attleborough Lane, Water Orton",,OSGB36,417596.0,290571.0,2.8,owned by a public authority,yes,not permissioned,,,,,48.0,"The land is allocated for residential development within the Submission Local Plan, reference H21",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR005,,2018.0,,"Land at Village Farm, Birmingham Road, Ansley",,OSGB36,429594.0,291905.0,0.6,not owned by a public authority,yes,not permissioned,,,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,7.0,"Outline application (all matters reserved) for the demolition of all modern farm buildings, conversion of traditional building into 2 dwellings, and erection of 5 new dwellings, garage block, parking areas and other associated works",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR007,,2018.0,,"Ansley Social Club, Birmingham Road, Ansley",,OSGB36,429981.0,291418.0,0.31,not owned by a public authority,yes,permissioned,outline planning permission,2017-10-04,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,10.0,"Outline application (all matters reserved) for the demolition of former social club and residential dwelling and the erection of up to 10 dwellings, along with associated open space and drainage infrastructure",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR008,,2018.0,,"Britannia Mill, Coleshill Road, Atherstone",,OSGB36,430657.0,297398.0,0.42,not owned by a public authority,yes,permissioned,full planning permission,2019-11-07,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,70.0,Erection of 70 apartments (use class C3) with extra care provision,,,,,,Listed Building,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR009,,2018.0,,"Durnos Nurseries, Old Holly Lane, Atherstone",,OSGB36,430481.0,298924.0,3.65,not owned by a public authority,yes,permissioned,full planning permission,,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,121.0,Demolition of Virginia House and nursery buildings and erection of 121 dwellings with public open space and associated infrastructure,,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR010,,2018.0,,"Phoenix Yard, Church Street, Atherstone",,OSGB36,430735.0,297927.0,0.6,not owned by a public authority,yes,permissioned,full planning permission,2007-10-16,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,73.0,"Planning Permission and Conservation Area Consent to demolish unlisted buildings within the Atherstone Conservation Area, and to redevelop the site so as to provide 73 residential units through conversion and new build, together with associated access and parking provision",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR012,,2018.0,,"Chapel End Social Club, Coleshill Road, Hartshill",,OSGB36,432575.0,293331.0,0.23,not owned by a public authority,yes,permissioned,full planning permission,2015-06-16,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,13.0,Demolition of existing social club & erection of 13 dwellings,,,,,,,,2018-12-10,2020-02-15
