Organisation URI,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site Plan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date,Alternative References,Owners,Housing Delivery Estimate,Site status
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/ASL/001,,"Cooper's scrapyard, Church Road, Aslacton",,OSGB36,616025.0,291035.0,0.82,Not owned by a public authority,Yes,Permissioned,Outline planning permission,2007-03-27,https://info.south-norfolk.gov.uk/online-applications/,,15.0,Redevelopment for residential development for 15 dwellings,,,,,,,Allocated site (ASL1) Outline planning permission (2006/0171) for 15 dwellings. ,2017-12-31,2017-12-31,ASL1,Not known,2021-22,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/CAR/001,,"Cook's Garage, Carleton Rode",,OSGB36,611881.0,291518.0,0.23,Not owned by a public authority,Yes,Permissioned,Full planning permission,2014-01-27,https://info.south-norfolk.gov.uk/online-applications/,,6.0,Redevelopment and conversionfor 6 dwellings,,,,,,,"Outline planning permission (2010/1776) and reserved matters (2013/0277 and 2013/1897) for 4 dwellings and conversion for 2 units.  Under construction, almost complete",2017-12-31,2017-12-31,,Not known,2017-18,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/COS/001,,Costessey: North of the River Tud/Queen's Hills,,OSGB36,615046.0,312116.0,?????,Not owned by a public authority,Yes,Permissioned,Full planning permission,2015-08-25,https://info.south-norfolk.gov.uk/online-applications/,,26.0,"Redevelopment for residential development for 304 dwellings, of which approx 87 units are on pdl",,,,,,,"Outline planning permissions (2007/1443, 2008/1569), reserved matters and full planning permission (2015/0570) for 304 dwellings of which approx 87 units are on pdl",2017-12-31,2017-12-31,,Not known,2018-2019,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/CRI/001,,"The Business Centre, Intwood Road, Cringleford",,OSGB36,619847.0,305736.0,0.65,Not owned by a public authority,,Permissioned,Other,2015-02-03,https://info.south-norfolk.gov.uk/online-applications/,,35.0,Prior approval for change of use from office to residential for 35 dwellings,,,,,,,Prior approval (2015/2843) for change of use from offices to 35 dwellings,2017-12-31,2017-12-31,,Not known,2022-2023,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/DIS/001,,"Former Haulage Depot, Park Road, Diss",,OSGB36,613110.0,279028.0,0.84,Not owned by a public authority,Yes,Permissioned,Full planning permission,2017-03-17,https://info.south-norfolk.gov.uk/online-applications/,,15.0,Residential development for 6 apartments,,,,,,,Allocated site (DIS5) and Full planning permission (2017/0042) on part of site,2017-12-31,2017-12-31,DIS5,Not known,2019-2020,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/DIS/002,,"Former Hamlin's Factory site, Diss",,OSGB36,611521.0,279564.0,1.51,Not owned by a public authority,,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,13.0,Mixed use development including residential (25% of site),"Allocation includes 75% of site for retail (non-food goods) leisure, offices (class A2)",,,,,,"Mixed use allocated site (DIS6) for retail (non-food goods) leisure, offices (class A2) and housing (25%) of site",2017-12-31,2017-12-31,DIS6,Not known ,2022-23,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/DIS/003,,"Feather Factory site, Diss",,OSGB36,611389.0,279535.0,2.13,Not owned by a public authority,,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,17.0,Mixed use development including residential (25% of site),"Allocation includes 75% of site for retail (non-food goods) leisure, offices (class A2)",,,,,,"Mixed use allocated site (DIS7)  for retail (non-food goods) leisure, offices (class A2) and housing (25%) of site",2017-12-31,2017-12-31,DIS7,Not known,2022-23,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/DIS/004,,"Rackham's Builders Yard, Diss",,OSGB36,610959.0,279637.0,0.16,Not owned by a public authority,,Permissioned,Full planning permission,2016-12-09,https://info.south-norfolk.gov.uk/online-applications/,,6.0,Redevelopment of site to provide 3 dwellings and conversion of offices to provide 3 units,,,,,,,Full planning permission (2016/2000) for 3 dwellings and conversion for 3 units,2017-12-31,2017-12-31,,Not known,2018-19,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/FOR/001,,"Old Station Yard, Station Road, Forncett",,OSGB36,617400.0,293454.0,1.77,Not owned by a public authority,,Permissioned,Reserved matters approval,2014-05-29,https://info.south-norfolk.gov.uk/online-applications/,,,Redevelopment of site to provide 17 dwellings,,,,,,,Outline permission (2011/0016) and reserved matters approval (2014/0290) for 17 dwellings; 16 completed,2017-12-31,2017-12-31,,Not known,2017-18,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/FRA/001,,"Long Lane, Framingham Earl",,OSGB36,626889.0,302815.0,1.23,Not owned by a public authority,Yes,Permissioned,Full planning permission,2016-12-02,https://info.south-norfolk.gov.uk/online-applications/,,7.0,Demolition and removal of former RAF buildings and residentialdevelopment of 7 dwellings,,,,,,,Outline permission (2013/1904) for 7 dwellings and reserved matters (2016/1329) for 4 of these,2017-12-31,2017-12-31,,Not known,2017-18,Started
