IncludeInBFR,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B71,,"Site 4, Club, Depot & 501-509, Hawthorne Road, Bootle",,OSGB36,334509.16636164,396521.4361748,4.88,Not owned by a public authority,Yes,Permissioned,,,,,100,,,,0,0,,,Planning application subject to resolution to approve subject to further details. Suitable for mixed use scheme with 100 plus dwellings. The mixed use part of the scheme would be subject to the NPPF town centre sequential and impact tests.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,F142,,"Mushroom Farm, 8-10, Cable Street, Formby",,OSGB36,330145.62443004,407715.45192113,1.03,Not owned by a public authority,Yes,Permissioned,Full planning permission,20040930,,,5,Partly developed site.,,,0,0,,,Nearly built out but last part is long term stalled. Left over area of land capable of 5 dwellings.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,L238,,"Site of Sefton Works, Field Lane, Netherton",,OSGB36,333173.82924595,398119.41875705,0.85,Not owned by a public authority,Yes,Permissioned,Full planning permission,20060112,,,20,Previously developed site in PRA,,,0,0,Y,,Large site with permission (DC/2014/00886). Development is currently stalled. And half built. Capacity for at least 20 more dwellings.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0096,,"Former Service Station, 146, Park Lane, Netherton",,OSGB36,335981.04993423,398620.52531679,0.10,Not owned by a public authority,Yes,Permissioned,Full planning permission,20131017,,Yes,5,,,,0,0,,,The figure of 10 is for flats and was approved in the recent planning application (DC/2016/02117).,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B1218,,"Former Johnsons Cleaners, Mildmay Road, Bootle",,OSGB36,333911.17681516,396427.29312297,1.81,Not owned by a public authority,Yes,Permissioned,Full planning permission,20071018,,,100,Previously developed former Johnsons Cleaners site in a residential area.,,,0,0,,,Former Johnsons site. Has permission and suitable for development. Has scope for mixed use with limited retail subject to NPPF sequential and impact tests. Minimum figure assumes a high number of apartments.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0120,,"51-53, Alexandra Road, Southport",,OSGB36,334632.54545596,417729.90531366,0.53,Not owned by a public authority,Yes,Permissioned,Full planning permission,20060629,,,5,Vacant site in the built up area.,,,0,0,,,Approved for a care home. Partial brownfield. DC/2016/02175.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,C0110,,"39a, St Johns Road, Crosby & Hightown",,OSGB36,331755.83539272,398433.27891551,0.33,Not owned by a public authority,Yes,Permissioned,Outline planning permission,20141017,,,10,,,,0,0,,,DC/2014/01354 - granted permission for 11 dwellings. Brownfield land by the railway. Former commercial uses.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,F0129,,"Former Dairy, 5, Marsh Brows, Formby",,OSGB36,329194.9441499,406933.7156908,0.11,Not owned by a public authority,,Permissioned,,20170831,,,5,Former dairy site.,,,0,0,,,,20181220,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0128,,"2, Well Lane, Bootle",,OSGB36,334648.40070846,395365.37709327,0.23,Not owned by a public authority,Yes,Permissioned,,20180807,,,10,Former industrial premises in a predominantly residential area.,,,0,0,,,DC/2018/00357,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0189,,"141b, Hart Street, Southport",,OSGB36,335591.14923982,416497.36812376,0.17,Not owned by a public authority,,Permissioned,,20180525,,,8,Small urban site.,,,0,0,,,Has permission (DC/2018/00040),20181220,20191101
