Reference,SiteNameAddress,SiteplanURL,Settlement,Locations Coordinates East West,Location Coordinates North South,Coordinate Reference System,Area of Land in Hectares,Name of Local Authority,Organisation URI,Ownership Status,Deliverable,Planning Status,PermissionDate,Permission Type,Development Description,Min-Max range of Net Dwellings,Min Net Dwellings,First Added Date,Last updated date
BF006,"""WarrenClose,Brandon""",My West Suffolk,Brandon,578568.0,286370.0,OSGB36,0.39,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,pending decision,,,"""Brownfield, previous library and preschool""",23,23,2017-09-01,2019-12-16
BF007,"""LandOffGasHouseLane,Brandon""",My West Suffolk,Brandon,578871.0,286573.0,OSGB36,0.35,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,permissioned,2019-01-09,outline planning permission,"""Brownfield, previous gasworks""",10,10,2017-09-01,2019-12-16
BF012,"""Landrearof65,69,73StationRoad,Lakenheath""",My West Suffolk,Lakenheath,571506.0,283664.0,OSGB36,0.81,WestSuffolkCouncil,West Suffolk,unknown ownership,yes,not permissioned,,,"""Brownfield- gardens within settlement boundary, but not town""",24,24,2017-09-01,2019-12-16
BF015,"""DistrictCouncilOffices,CollegeHeathRoad,Mildenhall""",My West Suffolk,Mildenhall,571688.0,274950.0,OSGB36,2.01,WestSuffolkCouncil,West Suffolk,owned by public authority,yes,not permissioned,,,"""Brownfield- Council offices""",89,89,2017-09-01,2019-12-16
BF016,"""LandAtWamilCourt,Mildenhall""",My West Suffolk,Mildenhall,570699.0,274509.0,OSGB36,0.62,WestSuffolkCouncil,West Suffolk,owned by public authority,yes,not permissioned,,,"""Brownfield - care home""",18,18,2017-09-01,2019-12-16
BF019,"""FormerSwimmingPoolSite,Newmarket""",My West Suffolk,Newmarket,563811.0,263057.0,OSGB36,0.26,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,permissioned,2016-03-10,outline planning permission,"""Brownfield - old swimming pool site and disused public house within settlement boundary""",14,14,2017-09-01,2019-12-16
BF020,"""StFelixMiddleSchoolSite,Newmarket""",My West Suffolk,Newmarket,563964.0,264804.0,OSGB36,1.39,WestSuffolkCouncil,West Suffolk,owned by public authority,yes,not permissioned,,,"""Mixed - outbuildings associated with school, in settlement boundary""",50,50,2017-09-01,2019-12-16
BF021,"""LandOffTurnpikeRoad,RedLodge""",My West Suffolk,Red Lodge,569376.0,270131.0,OSGB36,2.56,WestSuffolkCouncil,West Suffolk,mixed ownership,yes,not permissioned,,,"""Mixed - residential, haulage depot, garage""",132,132,2017-09-01,2019-12-16
BF031,"""BuryStEdmundsGardenCentre,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,586465.0,263202.0,OSGB36,1.37,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,not permissioned,,,"""Brownfield - garden centre""",30,30,2017-09-01,2019-12-16
BF032,"""GaragesAndBusDepot,CottonLane,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,585733.0,264460.0,OSGB36,0.65,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,not permissioned,,,"""Brownfield - bus depot and car repairs/ dealership""",50,50,2017-09-01,2019-12-16
