OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,Permission Date,Planning History,ProposedForPIP,MinNetDwellings,DevelopmentDescription,Non Housing Development,Part2,Net Dwellings Range From,Net Dwellings RangeTo,HazardousSubstances,Site Information,Notes,FirstAddedDate,LastUpdatedDate,additional field address 2,additional field calc area,additional field no at 30per ha,additional field no at 45perha
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,49,,High Street Aylburton,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora41&scale=1024,OSGB36,361702.8,201774.12,0.12476209481898695,not owned by a public authority,yes,not permissioned,,,,,5,new building or conversion of existing business premises,,,5,5,,,Redevelopment of business premises in a village centre with scope for small residential scheme.  Alternative business premises nearby.  The site is within the Conservation Area and close to two Listed Buildings.  The Cross which is on the boundary is an ancient monument,2017-10-31,2017-10-31,Aylburton,1247.6209481898695,3.49882467448432,5.24823701172648
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,52,,The Keys High Street Bream,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora47&scale=1024,OSGB36,360513.3560712,206137.2780062,0.11662748914947733,not owned by a public authority,yes,permissioned,full planning permission,2014-05-14,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MHHO98HI00T00,,5,permission for conversion to 5 dwellings,,,5,5,,,conversion to five dwellings,2017-10-31,2017-10-31,Bream,1166.2748914947733,5.639241809299914,8.458862713949872
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,42,,Lansdown Walk Bream,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora35&scale=1024,OSGB36,360625.33,205962.07,0.18797472697666381,not owned by a public authority,,not permissioned,,,,,5,new build to replace existing employment use,,,5,7,,,alternative use of site currently occupied by business premises,2017-10-31,2017-10-31,Bream,1879.747269766638,27.879818462010473,41.81972769301571
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,2,,High Street RFC Club Bream,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora1&scale=1024,OSGB36,360199.84,205743.03,0.9293272820670158,not owned by a public authority,yes,permissioned,outline planning permission,2014-10-06,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N81H8LHIGC900,,14,"Most of site covered by outline permission for demolition of existing clubhouse, associated changing rooms and outbuilding.  Redevelopment of the site to provide new dwellings (14 no) and new clubhouse and associated parking facilities.",,,14,25,,,permission has been given for the redevelopment of rugby club and hard standing to provide for its relocation and additionally 14 dwellings.  Remainder of site is suitable for redevelopment and possibly some element of conversion.,2017-10-31,2017-10-31,Bream,9293.272820670158,27.879818462010473,41.81972769301571
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,4,,Railway Tavern Station Street Cinderford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora4&scale=1024,OSGB36,365195.77,214020.16,0.08506888207048177,not owned by a public authority,yes,permissioned,full planning permission,2016-07-13,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O5MH6GHI0AF00,,8,permission for change of use of public house to 10 apartments,,,8,10,,,current permission for conversion of former pub to 10 flats.  Associated with larger Station Street site and allocated in AP,2017-10-31,2017-10-31,Cinderford,850.6888207048178,2.5520664621144533,3.82809969317168
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,0,,St Whites former school Cinderford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora42&scale=1024,OSGB36,365480.79,365480.79,0.19092358979992569,owned by a public authority,yes,pending decision,,,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OTQY0JHIMW800,,5,current application for conversion of former school,,,5,5,,,former school now subject to application for conversion close to school site referred to above but not contiguous with it,2017-10-31,2017-10-31,Cinderford,1909.2358979992568,12.25870909501455,18.388063642521825
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,14,,St Whites Old School West Cinderford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora9&scale=1024,OSGB36,365546.97,212854.43,0.408623636500485,owned by a public authority,yes,pending decision,,,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OSVRT1HIMRF00,,5,current application for redevelopment of site for new dwellings,,,5,8,,,former school now subject of planning application,2017-10-31,2017-10-31,Cinderford,4086.23636500485,12.888517785652075,19.332776678478112
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,46,,Newtown Road Cinderford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora3&scale=1024,OSGB36,364812.51,215625.79,0.42961725952173585,owned by a public authority,yes,not permissioned,,,,,12,previously developed part of a site allocated for housing under AAP,,,12,17,,,"part of site which is previously developed, owned by HCA and suitable for new housing.  Identified in AAP.  Some units deliverable within five years.",2017-10-31,2017-10-31,Cinderford,4296.172595217358,15.83189059969224,23.747835899538362
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,7,,Valley Road Junction Cinderford Valley Road,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora7&scale=1024,OSGB36,365018.11,213860.46,0.527729686656408,not owned by a public authority,yes,not permissioned,,,,,15,new housing on site used for employment related  use and residential,,,15,20,,,"A further parcel of land adjoins the former foundry site (listed elsewhere) and can be developed on its own or preferably in conjunction with it.  Not cleared but occupied by open storage and a single dwelling, could deliver some dwellings within five years",2017-10-31,2017-10-31,Cinderford,5277.29686656408,15.83189059969224,23.747835899538362
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,10,,Foxes Bridge Rd Cinderford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora49&scale=1024,OSGB36,365084.68,214272.02,0.7108595657599391,owned by a public authority,,not permissioned,,,,,17,new housing on former employment/ training site now vacant,,,17,21,,,former training/ employment use but vacant and suitable for redevelopment,2017-10-31,2017-10-31,Cinderford,7108.595657599391,25.941091072029433,38.91163660804415
