OrganisationURI,OrganisationLabel,SHLAA 2012 Reference,Site Reference,Address,Parish,App No.,Supersed'/ c' replace,Approved,Lapse date,Application Description/ Notes,Notes,Applica-tion is on Brown-field Land?,Site Area in ha,GeoX [East],GeoY [North],Hsg. No in Appl.,NET CHANGE; units developed so far,Outstanding development,Primary Source of Identification at DATE,Capacity min remaining,Capacity max remaining,Site Areaha [0.25ha min],"Ownership: PA_owner, not PA_own., mixed_o'ship, unknown",Plan_Status: permissd. / pending / no app.,Developed: extant/ commc'd./ part. compltd.,Planning History link,CoordinateReferenceSystem,Mapping link [SiteplanURL],Is the site available?,Supportg. 5+ dwellings or more than 0.25ha i.size,Capable of development?,Last Update,Part 2,Hazardous Substances [as identifiied in Appl. form],Proposed for PIP,Permission Types as req. by Gov.,PermissionType,UPRN,Contraints,SHLAA reference,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,All of SNC095 +  the 'Works' from site SNC452,BFL 1,"Land West of Ashton Rd., Roade,  NN7 2LF",Roade,S/2015/0664/MAR,S/2012/0382/MAO,10/09/2015,10/09/2018,Former Pianoforte Site: Reserved matters application pursuant to S/2012/0382/MAO (outline approval was an Environmental Impact Assessment application) (Demolition of existing buildings and residential development comprising of 292 dwellings with 0.5ha for employment and/or doctors surgery).,Former Pianoforte Site:vacant commercial site with more than two-thirds previously developed with less than a third Greenfield land located to the south of Roade. Site area 11.1ha with 0.5ha for employment and/or doctors surgery,Y,11.10,475851,251302,292,21,271,"Plg, Appl.",271,300,11.10,not PA_owned,permissioned,commc'd.,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data",no,no,no,Reserv. Matter approv.,MAR,,,All of SNC095 +  the 'Works' from site SNC452,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,,BFL 2,"Burcote Road, Towcester, NN12 6TF & NN12 6LX",Towcester,S/2015/2354/MAR,S/2012/1285/MAF,11/02/2016,11/02/2019,"Brownfield Site; Hybrid application. [2.75 Brownfield newbuilt; 0.99 Greenfield newbuilt]: OUTLINE APPLICATION FOR UP TO 90 DWELLINGS WITH ALL MATTERS RESERVED EXCEPT FOR ACCESS,INVOLVING THE DEMOLITION OF 6 BUILDINGS [Industrial Estate]: PROPOSED RESIDENTIAL DEVELOPMENT COMPRISING 90 DWELLINGS,GARAGES AND PARKING,ROADS AND SEWERS TOGETHER WITH POS.DETAILS FOR ACCESS,...EIA etc.",Brownfield Site; Hybrid application. [2.75 Brownfield newbuilt; 0.99 Greenfield newbuilt];,Y,3.74,469671,247914,90,0,90,"Plg, Appl.",80,90,3.74,not PA_owned,permissioned,Extant,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,\\snclive.gov.uk\AppData\DEF_FlatFiles\planning\S-2012-1285-MAF,yes,yes,yes,"21/11/2017,",no,no,no,Reserv. Matter approv.,MAR,,,none,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,"no site ref. in SHLAA 2012,         [south of SNC020]",BFL 3,"Brackley Sawmills, Northampton Road Brackley, NN13 7DL",Brackley,S/2014/0557/MAF,,16/07/2014,16/07/2017,"Former Brackley Sawmills : Erection of 53 dwellings with associated garaging, roads and sewers.",2nd built-out stage: Former Brackley Sawmills Northampton Road Brackley,Y,2.36,459023,469311,53,0,53,"Plg, Appl.",53,60,2.36,not PA_owned,permissioned,commc'd.,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data",no,no,no,Full Applict. approval,MAF,,,none,Our default coordinate system is OSGB 1986 British National Grid
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,,BFL 4,"Moat Lane, Towcester, NN12 6AD [58 units]",Towcester,S/2012/1476/MAF,S/2012/1476/MAF,31/07/2013,31/07/2016,"Regeneration of Moat Lane/ Northampton Road area, including new build and change of use for shop, cafe, drinking, workshop uses; offices, council building; hotel; dwellings; new public realm works, decked car park. All matters reserved. [58 residential units as identified on the application form to this full application, sect. 21]",Originally WNDC Outline Planning Permission - Outline application for regeneration of Moat Lane; residential development is just part of an otherwise dominantly comm. development site,Y,2.74,469311,248824,58,16,34,"Plg, Appl.",34,34,2.74,not PA_owned,permissioned,commc'd,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data",no,no,no,Full Applict. Approval,MAF,,,none,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,none,BFL 5,"Land south of Syresham Village Hall, Syresham, NN13 5HL [next to 42a High Sreet, Syresham ]",Syresham,S/2016/0848/MAR,S/2014/1701/MAO,31/08/2016,31/08/2019,"Land south of Syresham Village Hall (Land between Main Road and High Street Syresham): Approval of reserved matters for appearance, landscaping, layout and scale for the construction of 26 new dwellings and Village Hall pursuant to S/2014/1701/MAO.","Hybrid application: Green and brownfield land involved: Land contains old Village Hall!; 1.366ha covers the whole site for both, the res. & commun. Parts of the dev'mt.",Y,1.37,462800,241310,26,0,26,"Plg, Appl.",26,26,1.37,not PA_owned,permissioned,Extant,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017,",no,no,no,Reserv. Matter approv.,MAR,,,none,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,part-of SNC588 [SNC588 alr. partially built out],BFL 6,"Hayes Road, Deanshanger, MK19 6HP & MK19 6FA & MK19 6HR",Deanshanger,S/2014/1941/MAO,,03/11/2015,03/11/2018,"Redevelopment of the former Elementis Works site  (Site 1) for 15 custom-built detached dwellings, 3 live/work units, 7 self-contained employment units (approximately 842sq.m, use-class B1), construction of  parking spaces, areas of structured landscaping and all ancillary works, and improvements to the redundant section of Hayes Road (Outline planning application with appearance reserved for subsequent approval).",Redevelopment of the former Elementis Works site  (Site 1); [SNC588 partially built out with app. 2/2009/0411/P],Y,1.63,476565,239717,25,0,25,"Plg, Appl.",25,25,1.63,not PA_owned,permissioned,Extant,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017,",no,no,no,Outline Applict. Approval,MAO,,,part-of SNC588 [SNC588 alr. partially built out]none,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,,BFL 7,"Moat Lane, Towcester, NN12 6AD [17 units]",Towcester,S/2015/2925/MAF,,29/03/2016,29/03/2019,Hybrid application. The Regeneration of Moat Lane)(The original application was submitted with and Environmental Statement) to enable change of use from approved offices (B1 (a)) and light industrial (B1 (c)) units and reduction in floor space of the A3 use from 330sq m to 171sq m to create a further 17 residential units. [17 Dwellings [B1 convers.] under S/2015/2925/MAF],Comprising of 4 smaller commercial sites within previous Plg. application S/2012/1476/MAF,Y,0.50,469311,248831,17,0,17,"Plg, Appl.",17,17,0.50,not PA_owned,permissioned,commc'd.,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data",no,no,no,Full Applict. Approval,MAF,,,none,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,no site ref. in SHLAA 2012,BFL 8,"Britannia Works,  High Street & Maltings Row, Deanshanger, MK19 6HR",Deanshanger,S/2011/0782/MAF,,16/12/2013,16/12/2016,"Change of use of existing buildings from B2 [0.14ha net space?] to residential and the erection of new buildings to form a total of 14 dwellings, car parking, access and landscaping.","Former Britannia Works: no site ref. in SHLAA 2012, though site is in between SNC454 & SNC588]",Y,0.28,476445,239666,14,0,14,"Plg, Appl.",14,14,0.28,not PA_owned,permissioned,Commenced,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data",no,no,no,Full Applict. Approval,MAF,,,none,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,no site ref. in SHLAA 2012,BFL 11,"The Hunters, The Green Deanshanger, MK19 6HL",Deanshanger,S/2015/0968/MAF,S/2014/0407/PA & s/2014/1840/FUL,02/07/2015,02/07/2018,Two new detached dwellings and conversion of former ambulance headquarters (Use Class B1) to 11 apartments.,Conversion of former ambulance headquarters,Y,0.35,476606,239456,13,0,13,"Plg, Appl.",13,13,0.35,not PA_owned,permissioned,Extant,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017,",no,no,no,Full Applict. Approval,MAF,,,none,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,no site ref. in SHLAA 2012,BFL 13,"Sun Moon and Stars, 64 High Street Blisworth NN7 3BJ",Blisworth,S/2016/0303/FUL,,22/09/2016,22/09/2019,"Conversion of Sun, Moon and Stars to 6 Flats with the construction of 2 new Maisonettes and 1 new House [disused public house known as The Sun, Moon and Stars ]",Conversion of Public House,Y,1.08,472419,253433,9,0,9,"Plg, Appl.",9,9,1.08,not PA_owned,permissioned,Extant,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data",no,no,no,Full Applict. Approval,MAF,,,none,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,no site ref. in SHLAA 2012,BFL 14,"Aynhoe Park House, Aynhoe Park, Aynhoe, OX17 3BQ",Aynho,"S/2013/1208/MAF, 2 variations of condition to assoc. plansof house been successful approved; latest is S/2018/1442/MAF",,25/09/2018,25/09/2021,"Hybrid application. Change of use of part of the main house for holding events (weddings, parties etc.) and change of use of part of the house to Spa (Retrospective). Change of use of part of the main house from B1 (offices) to C3 (residential) including 7 self contained apartments. Change of use of garden building to an artisanal bakery.","Hybrid application: Proposed business use within [change of use of part of the main house] existing building and new residential, 5.41 whole site",Y,5.41,451395,233020,7,0,7,"Plg, Appl.",7,7,5.41,not PA_owned,permissioned,Check,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data",no,no,no,Full Applict. Approval,MAF,,,none,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,part-of SNC354,BFL 15,"Mill Lane, Brackley,  NN13 7AL [&NN13 7XU ]",Brackley,S/2015/2758/FUL,,16/02/2015,16/02/2019,Former Hawkins Salmon Site Mill Lane Brackley: Demolition of existing buildings and redevelopment comprising of 7 dwellings with associated landscaping and parking,Former Hawkins Salmon Site Mill Lane Brackley,Y,0.36,459436,237103,7,,7,"Plg, Appl.",7,7,0.36,not PA_owned,permissioned,Extant,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017,",no,no,no,Full Applict. Approval,MAF,,,part-of SNC354,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,no site ref. in SHLAA 2012,BFL 16,"100 High Street, Brackley, NN13 7DR",Brackley,S/2016/2512/FUL,,03/08/2017,03/08/2020,"Replace B1 office building with 5 no Almshouses , 2 no 2 bed flats and a new parking court.","Office to Res., applicants have not discharged conditions at 20/11/17",Y,0.73,458822,237551,7,,7,"Plg, Appl.",7,10,0.73,not PA_owned,permissioned,,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data",no,no,no,Full Applict. Approval,MAF,,,none,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,none,BFL 17,"Old School House, Station Road, Cogenhoe",Cogenhoe,S/2015/0914/FUL,,17/06/2015,17/06/2018,"Square Bear, The Old School House Station Road Cogenhoe: Change of use of the Old School (B1a Office) to residential use (C3) providing 5 No. one and two bedroom apartments.  External alterations (insertion of rooflights and doors, replacement of roof) and relocation of existing dropped kerb.","Change of Use of Square Bear, The Old School House Station Road",Y,0.73,482851,260619,5,,5,"Plg, Appl.",5,10,0.73,not PA_owned,permissioned,Commenced,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data",no,no,no,Full Applict. Approval,MAF,,,none,
http://opendatacommunities.org/id/district-council/southnorthants,SNH District Council,none,BFL 18,"50 Church Street, Cogenhoe",Cogenhoe,S/2016/0265/FUL,,14/06/2016,14/06/2019,"Manor Works 50 Church Street Cogenhoe NN7 1LS09/11/2017 Demolition of rear lean-to, conversion and extension of single-storey stone barn building from workshop (B1c use) to 2 no. dwellings (C3 use) and demolition of two-storey brick former office building and the erection of 3 no. dwellings (C3 use), including landscaping, car parking, bin and cycle stores and related works; area too small for BLR","Convers,/ Extention of former barn & new builts on former Manor Works",Y,0.15,483114,260889,5,0,5,"Plg, Appl.",5,5,0.15,not PA_owned,permissioned,Extant,https://www.publicaccess.cherwell.gov.uk/online-applications/,OSGB36,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017,",no,no,no,Full Applict. Approval,MAF,,,none,
