OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,G32,"Adderley Place, Glossop",53.443918,-1.97238,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,1.3,mixed ownership,not permissioned,,,,,48,48,,,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,BV002,Birch Vale Industrial Estate,52.0386, -2.436789,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,4.4,not owned by a public authority,not permissioned,,,,,100,100,,,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,TI001,Former Bridge Mills,53.469005, -1.972198,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,3.84,not owned by a public authority,permissioned,full planning permission,3/19/2018,,yes,119,119,,Site is under construction.,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,BW004,"Britannia Mills, Buxworth",53.337548, -1.975947,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,1.4,not owned by a public authority,not permissioned,,,,,50,50,,,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,GL043,"Charlestown Works, Glossop",53.433197,-1.94987,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,3.39,not owned by a public authority,permissioned,reserved matters approval,3/26/2018,,yes,97,97,,Site is under construction.,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,CI001,FORGE WORKS,53.335987,-1.934561,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,7.44,not owned by a public authority,permissioned,reserved matters approval,11/29/2017,,yes,153,153,,Site is under construction.,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,BX055,"Former Campus, Harpur Hill, Buxton",53.235712,-1.900778,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,4.65,not owned by a public authority,permissioned,full planning permission,7/3/2019,,yes,155,155,,Completions expected on site within 5 years,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,GL070,Former railway museum, 53.448655,-1.969877,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,3.9,not owned by a public authority,not permissioned,,,,,89,89,,,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,BX057,HARDWICK SQUARE SOUTH,53.256063,-1.912798,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.47,not owned by a public authority,permissioned,other,,,yes,28,28,,Site is under construction. Number of Prior approval applications.,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,GL056,"Hawkshead Mill, Hope Street", 53.451509,-1.936131,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.8,not owned by a public authority,permissioned,outline planning permission,6/27/2019,,yes,31,31,,Completions expected on site within 5 years,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,B3,"Hogshaw, Buxton", 53.264474, -1.909243,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,11.7,mixed ownership,not permissioned,,,,,68,68,,,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,CS001,"Holehouse Mill, Marple Road, Chisworth",53.427113, -2.002625,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,1.7,not owned by a public authority,not permissioned,,,,,22,22,,Permission on the site has lapsed,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,BX115,"LEEK ROAD, Buxton",53.252069,-1.936457,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.79,not owned by a public authority,permissioned,full planning permission,8/18/2017,,yes,8,8,,Completions expected on site within 5 years,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,BX051,"Market Street Depot, Buxton",53.367456, -2.002290,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.8,owned by a public authority,not permissioned,,,,yes,24,24,,Completions expected on site within 5 years,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,NM041,"Newtown Industrial Area, New Mills",53.359267,-2.005791,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,2.99,not owned by a public authority,not permissioned,,,,,15,15,,,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,GA001,OLD RAIL SIDINGS GLOSSOP ROAD GLOSSOP GAMESLEY (sanas romeo),53.444154,-1.982211,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,4.42,not owned by a public authority,permissioned,full planning permission,6/28/2019,,yes,93,93,,Site is under construction,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HD012,"Paradise Street, Hadfield",53.462893,-1.971554,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.35,mixed ownership,not permissioned,,,,,28,28,,Permission on the site has lapsed,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,CH012,"Roebuck Place, Chapel-en-le-Frith",53.323769, -1.916834,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.3,not owned by a public authority,not permissioned,,,,,14,14,,Permission on the site has lapsed,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,NM001,"Salem Mill, New Mills",53.369973,-1.997977,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.27,not owned by a public authority,permissioned,full planning permission,,,,15,15,,,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,B31,"Station Road, Buxton",53.361119,-2.004874,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.62,mixed ownership,permissioned,full planning permission,7/18/2019,,yes,30,30,,Permission is for extra care accommodation.,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,NM034,"Woodside Street, New Mills",53.361119,-2.004874,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.6,not owned by a public authority,not permissioned,,,,,25,25,,,11/30/2017,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,GL091,Ellison Street Glossop,53.443524,-1.948202,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.43,not owned by a public authority,permissioned,full planning permission,2/1/2018,,yes,22,22,,Site is under construction,11/30/2018,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,NM058,Queens Arms Hotel Church Road New Mills,53.363411,-2.000111,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.08,not owned by a public authority,permissioned,full planning permission,1/5/2018,,yes,9,9,,Completions expected on site within 5 years,11/30/2018,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,WB033,Gisbourne Road/ Old Road Whaley Bridge,53.326287,-1.983956,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.13,not owned by a public authority,permissioned,outline planning permission,1/25/2018,,yes,6,6,,Completions expected on site within 5 years,11/30/2018,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2017/0232,"Former White Lion, Spring Gardens, Buxton",53.259018,-1.909479,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.08,not owned by a public authority,permissioned,full planning permission,13/08/2018,,yes,13,13,,Completions expected on site within 5 years,12/9/2019,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2017/0536,"Land adj to 54 to 64 Buxton Road, Bridgemont, Whaley Bridge",53.324543,-1.984077,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.23,not owned by a public authority,permissioned,full planning permission,3/26/2018,,,13,13,,,12/9/2019,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2016/0550,"Former Ferro Alloys Site, Surrey Street, Glossop",53.445235,-1.95645,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.8,not owned by a public authority,permissioned,full planning permission,4/18/2018,,yes,51,51,,Site complete,12/9/2019,3/25/2020,3/31/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2018/0324,"90-94 Manchester Road, Chapel-en-le-Frith",53.320281,-1.929526,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.129,not owned by a public authority,permissioned,full planning permission,1/25/2019,,yes,6,6,,Site of former police station,12/9/2019,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2018/0089,"Former Derby House Nursing Home, Broad Walk, Buxton",53.255725, -1.917385,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.09,not owned by a public authority,permissioned,full planning permission,11/2/2018,,yes,6,6,,Former care home,12/9/2019,3/25/2020,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2017/0198,"Land at Woolley Bridge East of A57, Hadfield, Glossop",53.457916, -1.985187,https://www.highpeak.gov.uk/media/4697/Brownfield-Register-2019/pdf/HPBC_Brownfield_Register_2019_Maps.pdf?m=1576509189877,0.97,not owned by a public authority,permissioned,outline planning permission,1/31/2019,,yes,31,31,,Former petrol station,12/9/2019,3/25/2020,
