OBJECTID,ORGANISATI,ORGANISA_1,SITE_REFER,PREVIOUSLY,SITE_NAME_,SITEPLAN_U,COORDINATE,GEO_X,GEO_Y,HECTARES,OWNERSHIP_,DELIVERABL,PLANNING_S,PERMISSION,PERMISSI_1,PLANNING_H,PROPOSED_F,MIN_NET_DW,DEVELOPMEN,NON_HOUSIN,PART_2,NET_DWELLI,NET_DWEL_1,HAZARDOUS_,SITE_INFOR,NOTES,FIRST_ADDE,LAST_UPDAT
26,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P17/V3417/PDO,,"St Lawrence House, North Hinksey Lane, Botley OX2 0NB",http://www.whitehorsedc.gov.uk/sites/default/files/P17_V3417_PDO-V2.pdf,OSGB36,449404,205461,0.27,not owned by a public authority,yes,permissioned,other,2018-02-14,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V3417/PDO,,20,Change of use from Office (B1(a) to 20 residential flats (C3),,,0,0,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V3417/PDO,,2018-12-21,2018-12-21
22,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P17/V1310/O,P13/V2301/O,"5 Lechlade Road, Faringdon, SN7 8AL",http://www.whitehorsedc.gov.uk/sites/default/files/P17_V1310_O.pdf,OSGB36,428476,195522,0.36,not owned by a public authority,yes,permissioned,outline planning permission,2018-02-12,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V1310/O,,14,Erection of 14 dwellings with associated access (current permission ref. P13/V2301/O) (Amended planning statement received 23 November 2017),,,0,0,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V1310/O,This planning application supercedes a previous application,2017-12-08,2018-12-21
24,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P18/V0585/PDO,,"1 Stert Street, Abingdon, Oxon OX14 3JG",http://www.whitehorsedc.gov.uk/sites/default/files/P18_V0585_PDO.pdf,OSGB36,449833,197095,0.02,not owned by a public authority,yes,permissioned,other,2018-05-15,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P18/V0585/PDO,,6,Prior approval for the change of Use Class (B1a) (offices) to Use Class C3 (residential) in the form of 6 no. residential units.(amended Plans received 22 March 2018 reducing number of flats from seven to six).,,,0,0,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P18/V0585/PDO,,2018-12-21,2018-12-21
32,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P16/V0727/O,,Chowle Farm Industrial Estate Great Coxwell Faringdon SN7 7SR,http://www.whitehorsedc.gov.uk/sites/default/files/P16_V0727_O.pdf,OSGB36,427392,193146,1.03,not owned by a public authority,yes,pending decision,other,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P16/V0727/O,,18,"Outline Application for demolition of existing buildings used for class B1 and B8 purposes and erection of 18 new dwellings. (Amendments received 19 July 2016 - reduction in new dwellings numbers, amended location plan, acoustic assessment, air quality s",,,0,0,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P16/V0727/O,Site has a Resolution to Grant permission subject to the signing of an S106.,2018-12-21,2018-12-21
3,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P13/V0446/O,,Land West of Faringdon Road Cumnor OX2 9RE,http://www.whitehorsedc.gov.uk/sites/default/files/P13V0446O.png,OSGB36,446190,202383,1.54,not owned by a public authority,yes,permissioned,outline planning permission,2016-04-07,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P13/V0446/O,,22,Erection of up to 22 dwellings,,,0,0,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P13/V0446/O,,2017-12-08,2017-12-08
7,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P15/V0011/FUL,,"The Old Works Yard, Ardington",http://www.whitehorsedc.gov.uk/sites/default/files/P15V0011FUL.png,OSGB36,443157,188526,0.51,not owned by a public authority,yes,permissioned,full planning permission,2017-04-03,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P15/V0011/FUL,,9,Conversion of former works buildings to form six residential units. Demolition of existing storage building and erection of three new dwellings.,,,0,0,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P15/V0011/FUL,,2017-12-08,2017-12-08
8,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P15/V1304/O,,Land at former Didcot A Power Station Purchas Road Didcot,http://www.whitehorsedc.gov.uk/sites/default/files/P15V1304O.png,OSGB36,450920,191434,46.85,not owned by a public authority,yes,pending decision,outline planning permission,2019-02-21,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P15/V1304/O,,400,Up to 400 dwellings (C3),"110,000ms of Class B2/B8 units, 25,000m2 of Class B1 units, 13,000m2 Class A1 units (includes 1,500m2 convenience food store), 150 bed Class C1 hotel and 500m2 of Class A3/A4 pub/restaurant",,0,0,yes,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P15/V1304/O,Cross boundary application between Vale of White Horse and South Oxfordshire.,2017-12-08,2017-12-08
15,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P16/V0290/RM,,Land at Besselsleigh Road Wootton       OX13 6DX,http://www.whitehorsedc.gov.uk/sites/default/files/P16V0290RM.png,OSGB36,447008,201405,2.01,not owned by a public authority,yes,permissioned,reserved matters approval,2016-09-09,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P16/V0290/RM,,64,Reserved matters application for demolition of existing building and erection of 64 dwellings following grant of outline planning permission under reference P13/V0385/O,,,0,0,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P16/V0290/RM,,2017-12-08,2017-12-08
18,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P16/V3061/FUL,,"Land at Upper Farm Road, Chilton, OX11 0PJ",http://www.whitehorsedc.gov.uk/sites/default/files/P16V3061FUL.png,OSGB36,448478,185841,0.31,not owned by a public authority,yes,permissioned,full planning permission,2017-02-22,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P16/V3061/FUL,,5,Erection of three detached dwellings and two semi-detached dwellings.,,,0,0,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P16/V3061/FUL,,2017-12-08,2017-12-08
33,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P18/V2345/FUL,,Land and Buildings at 8 & 8A Church Street Wantage OX12 8BL,http://www.whitehorsedc.gov.uk/sites/default/files/P18_V2345_FUL.pdf,OSGB36,439825,187835,0.08,not owned by a public authority,yes,permissioned,full planning permission,2019-07-10,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P18/V2345/FUL,,7,"Demolish office extensions and existing steel and asbestos shop building, convert existing office buildings back into two dwellings, and erect five dwellings with parking and turning (amended plans received 6 June 2019).",,,0,0,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P18/V2345/FUL,,2019-12-01,2019-12-01
