OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00003,,"Ground, First and Second Floor, 328-330 High Road, Wembley, HA9 6AZ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.287413639,51.55366046,0.03,not owned by a public authority,,not permissioned,,,,,5,,,,227,6,,,,2017-12-15,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00004,,"Heron House, 109-115 Wembley Hill Road, Wembley, HA9 8DA",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.287560814,51.55726467,0.15,not owned by a public authority,Yes,permissioned,full planning permis,2018-05-24,https://pa.brent.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=DCAPR_82783&activeTab=summary&previousCaseNumber=05%2F2106&keyVal=PROPLPI_202147784_1,,40,"Demolition of the existing office building (Heron House) and the construction of a new four to seven storey mixed use building comprising 829sqm of commercial office space on the ground floor (Use class B1a), 40 self-contained flats (23 x 1bed, 7 x 2bed and 10 x 3bed) on the upper floors, a basement level for car and cycle parking, bin stores and associated landscaping and amenity space",829sqm of commercial office space on the ground floor (Use class B1a),,5,40,,,,2017-12-15,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00005,,"Stonebridge Primary School Annexe, Twybridge Way, London, NW10 0ST",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.266283417,51.54272316,0.6,owned by a public authority,Yes,permissioned,full planning permis,2016-06-07,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202085054_1,,55,"Outline planning permission for the demolition of the Former Day Centre and erection of up to 55 units comprising of 15 x houses up to 3-storeys in height (use class C3), one apartment block comprising 5 x 1bed and 7x 2bed flats up to 5-storeys in height (use class C3) and one apartment block comprising 28x 1bed flats up to 5-storeys in height with an element of care (use class C3b) and a new one-way access loop road and on-street parking bays with all matters reserved (as amended)",,,12,55,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00006,,"1 Olympic Way, Wembley, HA9 0NP",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.278971333,51.56199228,0.54,unknown ownership,Yes,permissioned,planning permission granted under an order,2017-12-19,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202060644_1&activeTab=summary&previousCaseUprn=202060644&previousCaseNumber=PROPLPI_202060644_1&keyVal=DCAPR_128190|https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202060644_1&activeTab=summary&previousCaseUprn=202060644&previousCaseNumber=PROPLPI_202060644_1&keyVal=DCAPR_136864,,227,Prior approval for change of use of floors 1-7 and 9-12 from offices (Use class B1) into residential (Use class C3) involving the creation of 68 one-bed flats and 159 studio flats,,,5,227,,,,2017-12-15,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00007,,"13, Christchurch Avenue, NW6 7QP",,ETRS89,-0.2063061414,51.5459381242,0.041,Unknown ownership,yes,permissioned,full planning permis,2018-07-05,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_136622,,1,Conversion of 3 garages into a detached single storey family dwellinghouse in the rear garden,,,1,1,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00008,,"Olympic Office Centre, 8 Fulton Road, Wembley, HA9 0NU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.279097776,51.55931014,0.75,unknown ownership,Yes,not permissioned,,,,,253,,,,5,253,,,,2017-12-15,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00009,,"205, 205A, 205B and Church Road car park and Building rear of 189-203 Church Road, London, NW10 9EP",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.249060746,51.54826228,0.3,not owned by a public authority,,permissioned,full planning permis,2017-02-10,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202114352_1,,34,Demolition of 205 Church Road and proposal of new market square to replace Eric Road. Demolition of 3 storey building to the rear of 203 Church Road and proposal of 34 residential dwellings and ground floor non-residential space (class A1/A3/B1/D1).,250 sq m A1,,5,34,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00010,,"Wembley Point, 1 Harrow Road, Wembley, HA9 6DE",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.274157348,51.54464389,0.92,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2017-01-11,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202152983_1,,382,Change of use floors 2nd to 20th (excluding part of 6th and 8th floors) and part of 21st floor from office (Use class B1a) to residential (Use class C3) involving the creation of 382 x studios,,,5,382,,,,2017-12-15,2018-12-12,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00011,,"Land rear of 234-240, Princes Avenue, London, NW9 9QU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.28071688,51.58929508,0.11,unknown ownership,Yes,permissioned,full planning permis,2018-09-14,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_139700,,6,"Erection of six family dwelling houses including the provision of new access from Princes Close, associated landscaping, car parking spaces, waste and cycle storage",,,5,6,,,,2017-12-15,2018-12-12,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00012,,"Oman Avenue Garages, Oman Avenue, London",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.227656555,51.55584779,0.42,unknown ownership,Yes,permissioned,full planning permis,2017-03-30,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202023029_1&activeTab=summary&previousCaseUprn=202023029&previousCaseNumber=PROPLPI_202023029_1&keyVal=DCAPR_132473,,5,"Demolition of existing garages and redevelopment to provide 4 x 2 bedroom bungalows and a 3 storey building adjacent to Midlothian House comprising 3 x 2 bedroom flats, with associated car parking, cycle storage, refuse storage, amenity space and landscaping",,,5,7,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00013,,"2 Atlip Road, Wembley, HA0 4LU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.297194304,51.54008385,2.58,not owned by a public authority,Yes,permissioned,full planning permis,2017-05-26,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=summary&keyVal=PROPLPI_202132569_1,,99,"Proposed demolition of existing former retail warehouse building and erection of development comprising a part 3 storey to part 10 storey building of 99 residential units (4 x studio, 31 x one-bedroom, 51 x two-bedroom and 13 x three-bedroom units).with associated cycle parking, x13 no. disabled only parking spaces at basement level with, x2 car club only spaces and new vehicle accesses off Atlip Road and associated landscaping (as amended) and subject to a Deed of Agreement dated 25 May 2017 under Section 106 of the Town and Country Planning Act 1990, as amended ",,,72,99,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00014,,"Harlesden Christian Centre & Land next to and rear of Harlesden Christian Centre, Winchelsea Road, London",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.25811931,51.53911317,0.85,unknown ownership,Yes,permissioned,full planning permis,2017-05-02,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_2021541673_1&activeTab=summary&previousCaseUprn=202214048&previousCaseNumber=PROPLPI_2021541673_1&keyVal=DCAPR_126682,,178,"Redevelopment of the site and surrounding land to include the demolition of the existing centre (Use class D1) and construction of five residential blocks ranging from 1 to 6 storeys high, comprising 178 residential units (67 x 1-bed, 60 x 2-bed flats, 24 x 2-bed maisonettes,14 x 3-bed flats, 3 x 4-bed maisonettes, 8 x 3-bed houses and 2 x 4-bed houses) with associated private and communal amenity space, parking, access, landscaping and ancillary works (as amended) and subject to a Deed of Agreement dated 26 April 2017 under Section 106 of the Town and Country Planning Act 1990, as amended",,,81,178,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00016,,"Warranty House and 82 & 82A Dudden Hill Lane, London, NW10 1DD",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.244991844,51.55366653,0.69,unknown ownership,Yes,permissioned,full planning permis,2017-07-25,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_130188,,136,"Proposed demolition of all existing buildings and construction of part five / part six / part seven / part eight / part nine storey buildings comprising 136 residential units (Use Class C3, comprising of 42 x 1 bed, 56 x 2 bed and 38 x 3 bed flats) and community/retail floorspace (Use Classes D1/A1/A3); related lower ground car park comprising 44 car parking spaces; cycle parking, vehicular access; footways; landscaping; plant and associated works and subject to a Deed of Agreement dated 21 July 2017 under Section 106 of the Town and Country Planning Act 1990, as amended","20 sq m D1, 70 sq m A1",,25,136,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00017,,"Albion House, 470 Church Lane, London, NW9 8UA",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.262257596,51.58166334,0.16,unknown ownership,Yes,permissioned,planning permission granted under an order,2015-09-03,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202205067_1,,17,"Prior approval for change of use of ground, first and second floor from office (Use Class B1) to residential (Use Class C3) involving the creation of 17 residential units (14 x one bed flats & 3 x studio flats)",,,12,17,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00018,,"3-5 INC, Watling Gate, Edgware Road, Kingsbury, London, NW9 6NB",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.254425183,51.58954232,0.12,unknown ownership,Yes,permissioned,planning permission granted under an order,2016-08-28,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_128402,,27,Prior approval for change of use of Units 2-5 inc from offices (Use class B1) into 27 residential units (Use class C3),,,5,27,,,,2017-12-15,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00019,,"301, Kingsbury Road, NW9 9PE",,ETRS89,-0.2665221843,51.5841795372,0.031,Unknown ownership,yes,permissioned,full planning permis,2017-11-28,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_136246,,5,"Loft conversion with rear dormer window, 2No. front rooflights to facilitate the change of use from Doctors Surgery (Use Class D1) to residential (Use Class C3) and the creation of 5 self-contained flats (1 x 2bed and 4 x 1bed) with associated waste storage, off-street parking and 8 cycle parking spaces",,,5,5,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00020,,"Land R/O 37-41, High Street, London, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.247182741,51.53640922,0.1,unknown ownership,,not permissioned,,,,,12,,,,1,12,,,,2017-12-15,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00021,,"348, Dollis Hill Lane, NW2 6HL",,ETRS89,-0.2243879424,51.5645581549,0.054,Unknown ownership,yes,permissioned,full planning permis,2018-02-23,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,5,"Demolition of the existing dwellinghouse and detached garage and erection of a 3 storey building comprising 6 self-contained flats (1 x studio, 2 x 1bed, 2 x 2bed and 1 x 3bed) with associated car and cycle parking spaces, bin stores, landscaping and amenity space",,,5,5,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00022,,"40, Sudbury Court Road, HA1 3SH",,ETRS89,-0.3251741175,51.5628826411,0.065,Unknown ownership,yes,permissioned,full planning permis,2018-01-23,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,5,"Demolition of existing residential building and erection of a four storey building to provide 6 self-contained flats (4x 2bed and 2x 3bed) with associated alterations including dropped kerb, provision for car parking spaces, bicycle store, bin stores and hard and soft landscaping",,,5,5,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00025,,"150-152 Walm Lane, London, NW2 4RU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.218638176,51.55144281,0.1,mixed ownership,Yes,permissioned,full planning permis,2017-07-06,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202033672_1,,5,"Conversion of existing hostel to 9x self-contained flats (6x two-bed and 3x one-bed); first floor rear extension with roof terraces; enlargement of 2 front rooflights; provision for car parking, bicycle store, bin store, landscaping and associated external alterations to the side and rear elevations",,,136,9,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00027,,"Raglan Court & Garages, Raglan Court, Empire Way, Wembley, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.284618409,51.55995499,1.4,unknown ownership,Yes,permissioned,full planning permis,2018-09-04,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_129546,,72,"Erection of roof extension comprising 2 additional floors over Block A and Block B to provide a total of 72 additional self-contained flats (36 x 1bed on each Block) with associated landscaping, ancillary servicing and plant, cycle parking and associated works, subject to a Deed of Agreement dated 30 August 2018 under Section 106 of the Town and Country Planning Act 1990, as amended.",,,47,72,,,,2017-12-15,2018-12-12,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00028,,"Storage Land next to 75, St Pauls Avenue, London, NW2 5TG",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.227357476,51.54972662,0.16,unknown ownership,,pending decision,full planning permis,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,81,"Demolition of MOT garage and erection of a part seven-storey and part four storey building with basement level to provide 70 self-contained flats (35 x 1 bed, 22 x 2 bed and 13 x 3 bed) with ground, third and fourth floor amenity spaces and ground floor play area, provision of basement car parking, cycle and refuse storage, alterations to vehicular accesses and associated landscaping",,,64,81,,,,2017-12-15,2017-12-15,,,
