OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EffectiveDate,UPRN,StrategicHousingLandAvailabilityAssessmentReference,LandAllocationsReference,PlanningReference,AreaOfOutstandingNaturalBeautyDevelopmentPlanDocumentReference,ExpiryOfPlanningPermission,CoordinateReferenceSystem,Easting,Northing,GeoPointLicensingURL
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR1,,"Former Cedar House School, Kirkby Lonsdale",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR01,ETRS89,-2.60457,54.20343,0.87,not owned by a public authority,yes,permissioned,other,13/04/2017,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2016/0317&ApplicationNumber=&AddressPrefix=cedar+house+school&Postcode=&Submit=Search,,20,Hybrid application for full planning permission for conversion of former school dining hall to six dwellings and part of the former main school building to two dwellings and outline planning permission for demolition of remaining former school buildings and erection of up to 12 residential dwellings with vehicular access.,,,,,,,"Hybrid application, part full, part outline (pending RM app SL/2017/0421)",01/12/2017,01/12/2017,14/12/2017,,,LA1.3,SL/2016/0317,,13/04/2020,OSGB36,360661,478799,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR2,,"Busher House, Busher Walk, Kendal",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR02,ETRS89,-2.74878,54.33282,0.17,owned by a public authority,yes,permissioned,other,19/01/2017,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=CU/2016/0014&ApplicationNumber=CU%2F2016%2F0014&AddressPrefix=&Postcode=&Submit=Search,,16,Change of use from Use Class B1 (a) Offices to C3 (Residential) - 16 units.,,,,,,,,01/12/2017,01/12/2017,14/12/2017,,,,CU/2016/0014,,19/01/2020,OSGB36,351407,493287,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR3,,"Sawyers Arms Hotel, Stricklandgate, Kendal",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR03,ETRS89,-2.74757,54.33103,0.03,not owned by a public authority,,permissioned,full planning permission,16/07/2015,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2015/0491&ApplicationNumber=SL%2F2015%2F0491&AddressPrefix=&Postcode=&Submit=Search,,8,"Conversion, demolition of rear extensions and extension of vacant public house to form 8 self-contained apartments.",,,,,,,,01/12/2017,01/12/2017,14/12/2017,,,,SL/2015/0491,,16/07/2018,OSGB36,351483,493087,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR4,,"Royal Hotel, Burton-in-Kendal",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR04,ETRS89,-2.72092,54.18181,0.26,not owned by a public authority,yes,permissioned,full planning permission,27/11/2014,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2010/0695&ApplicationNumber=SL%2F2010%2F0695&AddressPrefix=&Postcode=&Submit=Search|http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2017/0992&ApplicationNumber=&AddressPrefix=royal+hotel&Postcode=&Submit=Search,,6,"Demolition of outbuildings, conversion and alteration of redundant hotel to form 5 dwellings and construction of 10 dwellings with access road and car parking. (Permitted) Demolition of outbuildings, refurbishment and extension of public house and erection of six dwellings (Pending).",,,6,15,,,,01/12/2017,01/12/2017,14/12/2017,,,,SL/2010/0695,,27/11/2017,OSGB36,353047,476466,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR5,,"West End Nursery, Ulverston",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR05,ETRS89,-3.08393,54.18608,0.61,not owned by a public authority,yes,pending decision,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2017/0297&ApplicationNumber=SL%2F2017%2F0297&AddressPrefix=&Postcode=&Submit=Search,,8,"Demolition of existing building and site structures, erection of 87 dwellings (Use Class C3) with associated open space, landscaping and vehicular access.  Note: Permission covers greenfield and brownfield areas.",,,,,,,,01/12/2017,01/12/2017,14/12/2017,,,LA1.3,SL/2017/0297,,,OSGB36,329363,477244,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR6,,"Depot on the south side of Parkside Road, Kendal",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR06,ETRS89,-2.74216,54.31999,0.18,not owned by a public authority,,pending decision,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2016/0575&ApplicationNumber=2016%2F0575&AddressPrefix=&Postcode=&Submit=Search,,6,"Outline Planning Application with some matters reserved for the development
of 6no. dwellings on land south of Parkside Road, Kendal.",,,,,,,,01/12/2017,01/12/2017,14/12/2017,,808,,SL/2016/0575,,,OSGB36,351822,491855,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR7,,"Depot on the north side of Parkside Road, Kendal",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR07,ETRS89,-2.742,54.32108,1.17,not owned by a public authority,,pending decision,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2016/0574&ApplicationNumber=2016%2F0574&AddressPrefix=&Postcode=&Submit=Search,,43,"Outline Planning Application with all matters, except for access, reserved
for the development of 43no. Dwellings.",,,,,,,,01/12/2017,01/12/2017,14/12/2017,,807,,SL/2016/0574,,,OSGB36,351834,491976,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR8,,"Ulverston Town Hall, Queen St, Ulverston",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR08,ETRS89,-3.09627,54.19505,0.07,owned by a public authority,,pending decision,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2017/0737&ApplicationNumber=&AddressPrefix=ulverston+town+hall&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&DateReceivedStart=&DateReceivedEnd=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC,,17,Change of use of existing building into 9 apartments and erection of new apartment block to rear to provide a further 8 units.,,,,,,,,01/12/2017,01/12/2017,14/12/2017,,,,SL/2017/0737,,,OSGB36,328573,478254,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR9,,"Stables, Cartmel Racecourse, Cartmel",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR09,ETRS89,-2.95442,54.20233,0.48,not owned by a public authority,,not permissioned,,,,,15,,,,15,15,,,,01/12/2017,01/12/2017,14/12/2017,,,LA1.3,,,,OSGB36,337839,478932,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR10,,"Mixed use allocation at Berners Pool, Grange",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR10,ETRS89,-2.91383,54.18703,0.61,owned by a public authority,yes,not permissioned,,,,,20,,,,20,40,,,,01/12/2017,01/12/2017,14/12/2017,,,LA3.1,,,,OSGB36,340464,477192,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
