OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,PlanningStatus,PermissionNumber,DevelopmentDescription,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,ProposedForPIP,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 1,"Land West of Ashton Rd, Roade",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,475851,251302,11.1,not owned by a public authority,permissioned,S/2015/0664/MAR,Demolition of existing buildings and residential development comprising 292 dwellings,reserved matters approval,2015-09-10 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,292,292,,,Outline approval was an Environmental Impact Assessment application. 0.5ha of site permissioned for employment and/or doctors surgery.,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 2,"Burcote Road, Towcester",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,469671,247914,3.74,not owned by a public authority,permissioned,S/2015/2354/MAR,Residential development of 90 dwellings,reserved matters approval,2016-02-11 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,90,90,,,Consented site comprises 2.75ha brownfield land and 0.99ha greenfield land. The approved schemes includes commercial development.,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 4,"Moat Lane, Towcester",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,469311,248824,2.74,not owned by a public authority,permissioned,S/2015/2925/MAF,Mixed use regeneration scheme including 75 residential units,full planning permission,2016-03-29 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,75,75,,,"The original application was submitted with an Environmental Statement. The approved scheme is a mixed use regeneration project comprising a new community building, enhancements to a Scheduled Ancient Monument and a mixed use development comprising both new build elements and change of use to include offices, library, residential, retail, café/restaurant, and light industrial uses, with associated public realm works, demolition, landscaping, engineering works and car parking provision.",2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 6,"Hayes Road, Deanshanger",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,476565,239717,1.63,not owned by a public authority,permissioned,S/2014/1941/OUT,"Redevelopment of the former Elementis Works site  for 15 custom-built detached dwellings, 3 live/work units, 7 self-contained employment units",outline planning permission,2015-11-03 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,18,25,,,,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 11,"The Hunters, The Green, Deanshanger",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,476606,239456,0.35,not owned by a public authority,permissioned,S/2018/1839/FUL,Redevelopment of former ambulance / fire station to comprise 11 dwellings,full planning permission,2018-10-12 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,11,13,,,Site being constructed using various consents. Please refer to planning history.,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 13,"Sun Moon and Stars, 64 High Street, Blisworth",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,472419,253433,0.11,not owned by a public authority,permissioned,S/2016/0303/FUL,Conversion of former public house to 6 flats with the construction of 2 new maisonettes and 1 new house,full planning permission,2016-09-29 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,9,9,,,,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 15,"Mill Lane, Brackley (Stage 1)",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,459436,237103,0.36,not owned by a public authority,permissioned,S/2015/2758/FUL,Demolition of existing buildings and redevelopment of 7 dwellings,full planning permission,2016-02-16 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,7,7,,,,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 16,"100 High Street, Brackley",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,458822,237551,0.08,not owned by a public authority,permissioned,S/2016/2512/FUL,Replace office building with 5 almshouses and 2 flats,full planning permission,2017-08-14 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,7,7,,,,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 17,"Old School House, Station Road, Cogenhoe",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,482851,260619,0.07,not owned by a public authority,permissioned,S/2015/0914/FUL,Conversion of offices to 5 residential units,full planning permission,2015-06-17 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,5,5,,,,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 19,"Silverstone C of E Primary School, Green Lane, Silverstone",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,466770,243786,0.49,owned by a public authority,permissioned,S/2019/0711/RES,Conversion of school building to two dwellings. Demolition of other school buildings and erection of three additional dwellings,reserved matters approval,2019-06-12 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,5,5,,,,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 20,"Hartwell Road, Roade",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,476146,251411,0.47,not owned by a public authority,permissioned,S/2016/0417/FUL,Erection of four dwellings to replace existing buildings,full planning permission,2016-06-03 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,4,4,,,,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 21,"Silverstone Infants School, High Street, Silverstone",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,466748,244004,0.35,owned by a public authority,permissioned,S/2017/0626/OUT,Conversion of school building to two dwellings. Demolition of other school buildings and erection of two additional dwellings,outline planning permission,2017-04-27 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,4,8,,,,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 22,"Mill Lane, Brackley (Stage 2)",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,459436,237103,1.48,not owned by a public authority,not permissioned,,,,,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,30,40,,,Part of reference site SNC354 (SHLAA 2012).,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 24,"Short Lane, Cogenhoe",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,483090,260471,1.58,not owned by a public authority,not permissioned,,,,,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,32,32,,,"Reference site SNC241 (SHLAA 2012). Although site is currently in active commercial use, the current occupier of the site has expressed interest in relocating and it has been stated that the premises are reaching the end of their life.",2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 26,"Green Lane Nursery, Towcester",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,468405,248113,1.3,not owned by a public authority,not permissioned,,,,,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,,31,31,,,Reference Site SNC273 (SHLAA 2014). The commercial use of the nursery has ceased.,2017-11-21,2020-03-31,
http://opendatacommunities.org/id/district-council/south-northamptonshire,South Northamptonshire Council,BFL 27,"25 Manor Road, Brackley",https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,OSGB36,458547,237163,0.14,not owned by a public authority,permissioned,S/2016/1802/FUL,Demolition of existing garages / garage building and erection of 8 residential units,full planning permission,2017-07-28 00:00:00,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,yes,8,8,,,,2020-03-31,2020-03-31,
