SHLAA_REF,EASTING,NORTHING,SITENAME,UPRN,COORDREFER,HECTARES,PLANSTATUS,PLANHISTOR,CONSTRAINT,OWNERSHIP,OWNERS,MINHOMES,EVENTS,NOTES,FIRSTADDED,LASTUPDATE,INCLUDE,HSGESTIMAT,LATITUDE,LONGITUDE,ORGANISATI,ORGANISA_1,SHAPE_AREA,SHAPE_LEN
SHLAA0035,367562.7464,403362.8627,Rosedale Avenue/Water Street  Atherton,10090387276,OSGB36,0.80129598,Pending Decision,367362.74636772:403562.86273611:367762.74636772:403162.86273611,367362.74636772:403562.86273611:367762.74636772:403162.86273611,Not in Public Ownership,,37,,A/18/85712 refers,Apr-16,Nov-18,Include,,-2.49076563,53.52592027,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,8012.959795,479.8050737
SHLAA0056,358981.6941,405984.5058,Land at Coop Street Scholes Wigan,10009213424,OSGB36,0.259401687,Not Permissioned,358781.69414899:406184.50584921:359181.69414899:405784.50584921,358781.69414899:406184.50584921:359181.69414899:405784.50584921,Public Ownership,Wigan Council,18,,,Apr-16,Nov-18,Include,,-2.62054254,53.54888156,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2594.016869,210.8611424
SHLAA0195,353634.8917,404925.0623,Corporation Yard Orrell Road Orrell,10090386993,OSGB36,0.305647515,Permissioned,353434.89169702:405125.06231078:353834.89169702:404725.06231078,353434.89169702:405125.06231078:353834.89169702:404725.06231078,Public Ownership,Wigan Council,17,,A/15/81816 refers,Apr-16,Nov-18,Include,"4 two bed apartments 12 three bed and 1 two bed dwellings""""",-2.70107585,53.53891357,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,3056.475149,351.8353789
SHLAA0253,357917.7858,404587.8536,Shanghai Palace Poolstock Wigan,2.00005E+11,OSGB36,0.273252053,Permissioned,357717.78577608:404787.85360059:358117.78577608:404387.85360059,357717.78577608:404787.85360059:358117.78577608:404387.85360059,Not in Public Ownership,,23,,A/16/83089 refers,Apr-16,Nov-18,Include,"23 three bed dweliings""""""""",-2.63641019,53.53624433,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2732.520531,226.1942878
SHLAA0018,355558.3517,406001.8735,Corner Kitt Green Road and Pembroke Road Wigan,1.00013E+11,OSGB36,0.148535024,Not Permissioned,355358.35166779:406201.87348538:355758.35166779:405801.87348538,355358.35166779:406201.87348538:355758.35166779:405801.87348538,Not in Public Ownership,,8,,,Apr-16,Nov-18,Include,,-2.67220829,53.54875833,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1485.350235,160.7667033
SHLAA0287,356358.4325,406813.9956,Former Keepers Inn Woodhouse Lane Wigan,1.00013E+11,OSGB36,0.113137128,Not Permissioned,356158.43252687:407013.99557665:356558.43252687:406613.99557665,356158.43252687:407013.99557665:356558.43252687:406613.99557665,Not in Public Ownership,,14,,,Apr-16,Nov-18,Include,14 one bed apartments,-2.66024759,53.55612474,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1131.371277,137.2525166
SHLAA0322,357606.2368,405781.9668,Land at Frog Lane and Prescott Street Wigan,2.00005E+11,OSGB36,0.644896109,Not Permissioned,357406.23675986:405981.96676804:357806.23675986:405581.96676804,357406.23675986:405981.96676804:357806.23675986:405581.96676804,Public Ownership,Wigan Council,69,,,Apr-16,Nov-18,Include,,-2.64127279,53.54695164,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,6448.961088,366.2843199
SHLAA0075,353326.0114,405080.3827,Land adjacent to 234 Orrell Road Orrell,2.00003E+11,OSGB36,0.332294213,Not Permissioned,353126.01140561:405280.38265925:353526.01140561:404880.38265925,353126.01140561:405280.38265925:353526.01140561:404880.38265925,Not in Public Ownership,,21,,,Apr-16,Nov-18,Include,,-2.7057594,53.54028212,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,3322.942132,255.4433056
SHLAA0309,360500.0846,398028.4398,Site Of 86 To 94 High Street Golborne,1.00013E+11,OSGB36,0.127391487,Pending Decision,360300.08458846:398228.43982675:360700.08458846:397828.43982675,360300.08458846:398228.43982675:360700.08458846:397828.43982675,Not in Public Ownership,,18,,A/14/79339 refers,Apr-16,Nov-18,Include,"18 one bed apartments""""",-2.59662182,53.47749001,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1273.914873,166.1645109
SHLAA0012A,360247.4438,405651.9247,Belle Green Industrial Estate and adjacent land Belle Green Lane Ince,1.00013E+11,OSGB36,0.73996611,Not Permissioned,360047.44377792:405851.92468898:360447.44377792:405451.92468898,360047.44377792:405851.92468898:360447.44377792:405451.92468898,Not in Public Ownership,,22,,,Apr-16,Nov-18,Include,,-2.60139791,53.54599,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,7399.661099,426.1957539
SHLAA0064A,359645.4383,403685.6028,Former Ince St Marys CE Primary School Derby Street Ince,1.00013E+11,OSGB36,0.299115542,Not Permissioned,359445.43830221:403885.60279446:359845.43830221:403485.60279446,359445.43830221:403885.60279446:359845.43830221:403485.60279446,Not in Public Ownership,,9,,,Apr-16,Nov-18,Include,,-2.61095095,53.5283209,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2991.155421,235.9798441
SHLAA0046,369141.4248,403017.1555,Lancaster Avenue Tyldesley,1.00012E+11,OSGB36,0.229249783,Pending Decision,368941.42481635:403217.15549258:369341.42481635:402817.15549258,368941.42481635:403217.15549258:369341.42481635:402817.15549258,Public Ownership,Wigan Council,41,,A/17/84075 refers,Apr-16,Nov-18,Include,,-2.46754196,53.52313936,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2292.497829,208.9875686
SHLAA0355,360734.1545,403330.5384,Land Off Liverpool Road Platt Bridge Wigan,10024146017,OSGB36,0.388888556,Pending Decision,360534.15451035:403530.53840856:360934.15451035:403130.53840856,360534.15451035:403530.53840856:360934.15451035:403130.53840856,Not in Public Ownership,,18,,A/15/81702 refers,Apr-16,Nov-18,Include,,-2.59376103,53.52516241,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,3888.885556,335.3831312
SHLAA0356,360766.5373,403242.7471,Remaining land at Springbank Ind Est Liverpool Road Platt Bridge Wigan,10090388920,OSGB36,0.6498477,Not Permissioned,360566.53725408:403442.74709123:360966.53725408:403042.74709123,360566.53725408:403442.74709123:360966.53725408:403042.74709123,Not in Public Ownership,,20,,,Apr-16,Nov-18,Include,,-2.59326157,53.52437578,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,6498.477004,437.4784925
SHLAA0002,362458.1404,403175.4697,South of Hindley Wigan,2.00005E+11,OSGB36,109.0177816,Pending Decision,362258.13:403375.46:362658.13:402975.46,362258.13:403375.46:362658.13:402975.46,Not in Public Ownership,,2000,,A/18/85784 refers,Apr-16,Nov-18,Include,,-2.5677396,53.52389471,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1090177.816,7241.87405
SHLAA0237,356510.9386,406664.2932,Land Corner of Whitworth Way Wigan,10091699882,OSGB36,0.584642403,Not Permissioned,356310.93857661:406864.29323099:356710.93857661:406464.29323099,356310.93857661:406864.29323099:356710.93857661:406464.29323099,Not in Public Ownership,,17,,,Apr-16,Nov-18,Include,,-2.65792477,53.55479195,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,5846.424026,324.278695
SHLAA0200,365832.2016,399612.3405,Bridgewater Business Park West Bridgewater Street Leigh,10009210516,OSGB36,9.866946579,Permissioned,365632.20159445:399812.34049927:366032.20159445:399412.34049927,365632.20159445:399812.34049927:366032.20159445:399412.34049927,Not in Public Ownership,,372,,A/15/80681 refers,Apr-16,Nov-18,Include,,-2.51645854,53.49210042,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,98669.46579,1959.195661
SHLAA0074,361286.7154,403885.3297,Land at Liverpool Road and Harper Street Hindley,1.00013E+11,OSGB36,0.246399867,Not Permissioned,361086.71541466:404085.32966296:361486.71541466:403685.32966296,361086.71541466:404085.32966296:361486.71541466:403685.32966296,Part Public part Not in Public Ownership,,11,,,Apr-16,Nov-18,Include,,-2.58549541,53.53018993,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2463.998668,221.1123117
SHLAA0348,359801.2857,405349.554,Higher Ince Social Club Empress Ind Est Anderton Street Ince,1.00013E+11,OSGB36,0.145743468,Permissioned,359601.28569367:405549.55397378:360001.28569367:405149.55397378,359601.28569367:405549.55397378:360001.28569367:405149.55397378,Not in Public Ownership,,11,,A/16/81943 refers,Apr-16,Nov-18,Include,"8 two bed 3 three bed dwellings""""",-2.60809174,53.54323828,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1457.434684,171.2837735
