OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/braintree,BCBG144,"Carier Site, East Street, Braintree",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,51.878839,0.563915,2.13,not owned by a public authority,permissioned,reserved matters approval,30/11/2018,,yes,74,74,,"18/00613/REM - Application for approval of Reserved Matters for 'Access', 'Appearance', 'Landscaping', 'Layout', and 'Scale' for erection of 74 dwellings pursuant to outline planning permission",22/12/2017,22/12/2018,
http://opendatacommunities.org/id/district-council/braintree,BRS35,"The Rose and Crown, Masefield Road, Braintree",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,51.868169,0.555406,0.09,not owned by a public authority,not permissioned,,,,yes,14,14,,Allocated in emerging Local Plan. Previous application 14/01115/FUL has expired.,22/12/2017,18/12/2019,
http://opendatacommunities.org/id/district-council/braintree,GRYE 275,"Hunnable Industrial Estate, Great Yeldham",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,52.013376,0.562537,2.19,not owned by a public authority,permissioned,reserved matters approval,04/04/2019,,yes,60,60,,Site is now under construction,22/12/2017,18/12/2019,18/12/2019
http://opendatacommunities.org/id/district-council/braintree,15/01103/OUT,"Universal Garage, The Street, Hatfield Peverel",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,51.776791,0.598066,0.22,not owned by a public authority,permissioned,reserved matters approval,11/11/2019,,yes,9,9,,"Demolish workshop and vehicle sales buildings, cease vehicle sales use and erection of 7 no. two storey terrace dwellings and 2 no. detached dwellings, formation of new vehicular access on the The Street, layout parking spaces and form private amenity areas.",22/12/2017,18/12/2019,
http://opendatacommunities.org/id/district-council/braintree,16/00850/FUL,"Former Courtauld Boiler Building Factory, Lane West, Halstead",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,51.941767,0.637769,0.3,not owned by a public authority,permissioned,full planning permission,19/07/2017,,yes,22,22,,"Change of use of existing former Courtauld boiler buildings to create 22 flats together with commercial storage, landscaping and car parking",22/12/2017,22/12/2017,
http://opendatacommunities.org/id/district-council/braintree,16/01525/OUT,"4 Helions Road, Steeple Bumpstead",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,52.041388,0.440652,0.84,not owned by a public authority,permissioned,outline planning permission,12/01/2017,,yes,9,9,,Application for outline planning permission with all matters reserved - redevelopment of an agricultural machinery depot to residential development of 9no. three bedroom dwellings with associated works,22/12/2017,22/12/2017,
http://opendatacommunities.org/id/district-council/braintree,16/00661/FUL,"Garage Site, Lancaster Way, Braintree",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,51.886136,0.543869,0.14,not owned by a public authority,permissioned,full planning permission,26/11/2019,,yes,9,9,,19/01797/FUL - Demolition of existing garages and erection of 9 no. apartments,22/12/2017,18/12/2019,
http://opendatacommunities.org/id/district-council/braintree,17/01340/FUL,"28-30 Trinity Street, Halstead",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,51.943806,0.63265,0.02,not owned by a public authority,permissioned,full planning permission,23/11/2017,,yes,6,6,,"Change of use of building from commercial to 6 no. one bedroom flats and a commercial unit at ground floor level, together with internal and external alterations",22/12/2017,22/12/2017,
http://opendatacommunities.org/id/district-council/braintree,16/00418/FUL,"Units 1 and 2 Tey Grove, Gt Domseys Farm, Domsey Chase, Feering",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,51.862368,0.740376,0.26,not owned by a public authority,permissioned,full planning permission,10/06/2016,,yes,11,11,,Completed,22/12/2017,18/12/2019,18/12/2019
http://opendatacommunities.org/id/district-council/braintree,16/01470/FUL,"Bardfield Centre, Braintree Road, Great Bardfield",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,51.944817,0.439289,0.41,not owned by a public authority,permissioned,full planning permission,28/04/2017,,yes,8,8,,"The conversion of existing commercial buildings to form 8 no. residential units with associated landscaping, creation of vehicular access and demolition of Unit 13 and a storage building to facilitate amended car parking provision",22/12/2017,22/12/2017,
