OrganisationURI,OrganisationLabel,SiteReference (also SHLAA Reference),PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,Ward Name,Ownership Information,Deliverable,PlanningStatus,PermissionType,PermissionHistory,MinNetDwellings,DevelopmentDescription,FirstAddedDate,GF / PDL,Are there known ownership or tenancy issues?
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1029.0,,"Land at John St/Winwick Street, Warrington, WA4 6NL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360690.32725555,388622.99707948,0.84,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,Expired,2007/09937,42.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1050.0,,"Lymm Service Station, 114 Booths Hill Road, Lymm, WA13 0EQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,367051.35066974,387109.3903449,0.1,Lymm South,Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2014/24638,6.0,See most recent planning history at warrington.gov.uk,2017.0,Proposed construction of 6 no. town houses (2 1/2 storey),Inset village - Lymm
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1090.0,,"Beers Building Co, Station Road, Latchford, WA4 2AD",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362484.72463816,386927.52240405,1.75,Latchford East,Not owned by a Public Authority,No,Not Permissioned,,"(previous consents) 2008/12523, 2008/12578 and 2011/18363",158.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1091.0,,"Manchester Ship Canal, Mineral Railway, Thelwall Lane, Latchford, WA4 1NJ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,363148.68291851,387149.75878955,2.54,Latchford East,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2006/08928,24.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1108.0,,"Edwards Cheshire, Navigation Street, Warrington, WA1 2EL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361614.466684,388089.00993171,0.57,Fairfield & Howley,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2007/10238,76.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1178.0,,"Cardinal Newman High School, Bridgewater Avenue, Latchford, WA4 1RX",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362685.48363091,388317.01466603,2.72,Latchford East,Owned by a Public Authority,No,Permissioned,Outline Planning,2007/12025 and 2010/17569,110.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1201.0,,"New World Ltd, New World House, Thelwall Lane, Warrington, WA4 1NL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,363588.95269119,387559.50150192,13.9117,Latchford East,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2007/11944 and 2009/14707 and 2010/17050,27.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1245.0,,"The Corner House, 98 Sandy Lane, Warrington, WA2 9HX",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360845.90331346,390959.51825725,0.83,Orford,Not owned by a Public Authority,Yes,Not Permissioned,Expired,2009/15652,11.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1322.0,,"Brook Place, Knutsford Road, Warrington, WA4 1PH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362194.07798929,387393.49901964,0.16,Latchford East,Not owned by a Public Authority,No,Not Permissioned,Expired,(Previous consent) 2006/08556,8.0,See most recent planning history at warrington.gov.uk,2017.0,"(previous consent) Proposed erection of 8 apartments in 2, two storey blocks",Site is within the LPCS priority regeneration area of Inner Warrington (Policy CS9).
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1401.0,,"Land at Winwick Street, Tanners Lane, Dallam Lane, Warrington, WA2 7NG",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360532.41784534,388589.61663453,3.0,Bewsey & Whitecross,Not owned by a Public Authority,No,Permissioned,Full Planning,2005/07132,20.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
